"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Chilton County","AL","15.2","24.2","6.4","12.9","76.0","2719","7396","8.8","703","0.5","0.4","10.6","7.7","0.2","1.2","87.1","80.3","74.5","16232","19221","102600","2.67","4.1","41250","20701","19.5","78","5.2","692.85","7.4","88.8","0","31.8","50.8","3308","43643","43931","0.7","63.0","340","1551","3599","8496","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Choctaw County","AL","20.8","20.6","4.9","11.8","75.2","809","2900","1.4","255","0.2","0.3","42.4","0.8","0.0","0.5","56.6","56.1","83.7","5518","7231","58200","2.45","4.0","33941","20323","21.5","0","0.3","913.5","1.3","91.4","0","33.4","52.5","938","13859","13323","-3.9","15.2","113","529","846","5969","0.0","0.0","26.2","0.0","0.0","1102","44.1"
"Clarke County","AL","18.0","22.6","5.6","11.2","78.3","1640","6648","3.7","586","0.4","0.5","44.2","1.3","0.0","0.8","54.0","53.1","72.9","9631","12583","85600","2.63","6.8","29357","18979","29.3","11","0.3","1238.47","1.3","92.5","5714","25.5","52.8","1583","25833","24945","-3.5","20.9","235","858","3443","13034","0.0","0.0","0.0","0.0","0.0","2374","28.6"
"Clay County","AL","19.4","21.6","5.3","9.2","76.5","792","2993","4.6","190","0.6","0.3","14.5","3.4","0.0","1.8","82.8","79.7","75.0","5649","6736","79900","2.38","10.0","34002","18694","19.0","0","2.2","603.96","3.3","88.3","3308","30.7","50.6","1076","13932","13552","-2.7","23.1","43","0","705","5123","0.0","0.0","0.0","0.0","0.0","1005","0.0"
"Cleburne County","AL","18.4","23.3","5.7","9.0","76.0","930","1548","-4.8","152","0.4","0.2","3.6","2.5","0.1","1.2","94.5","92.3","77.6","5601","6690","100800","2.64","6.3","38019","19108","18.4","1","1.5","560.1","2.3","89.1","0","31.4","50.4","989","14972","15080","0.7","26.7","41","58","1334","9080","0.0","0.0","0.0","0.0","0.0","1280","17.7"
"Coffee County","AL","15.9","23.7","6.1","22.5","82.4","2602","12762","0.3","954","1.4","1.6","17.7","6.4","0.4","2.5","76.4","71.3","69.9","18820","22852","131000","2.65","13.5","43768","23380","18.6","58","5.1","678.97","7.5","83.3","6137","21.3","50.5","6066","49948","50909","1.9","73.6","500","1315","6396","13665","0.0","1.3","6.0","0.7","0.0","4032","29.3"
"Colbert County","AL","18.5","21.7","5.7","17.7","83.5","3630","19820","6.2","1226","0.6","0.5","16.3","2.6","0.1","1.7","80.8","78.8","72.1","22260","26192","99300","2.42","12.3","39077","21572","17.9","143","2.0","592.62","2.6","87.2","20831","22.7","51.8","4376","54428","54543","0.2","91.8","619","3513","8212","15040","0.0","0.0","0.0","0.0","0.0","4757","22.8"
"Conecuh County","AL","20.4","21.4","5.5","8.8","77.3","756","2197","-1.5","194","0.4","0.1","46.2","1.8","0.0","1.2","52.1","51.1","79.1","4994","7055","69600","2.61","7.2","24658","15605","32.7","3","0.6","850.16","2.2","96.9","1835","27.2","51.9","1101","13228","12670","-4.2","15.6","86","767","712","5430","0.0","0.0","0.0","0.0","0.0","980","23.0"
"Coosa County","AL","18.5","18.3","4.8","9.8","75.0","367","992","3.9","93","0.6","0.2","31.8","2.3","0.2","1.2","66.1","64.8","83.0","4506","6458","75100","2.42","3.0","37277","18493","20.9","0","1.8","650.93","3.3","87.2","895","30.2","49.5","934","11539","10886","-7.4","17.7","5","316","205","1904","0.0","0.0","0.0","0.0","0.0","545","0.0"
"Covington County","AL","19.8","22.1","5.9","14.2","78.4","2201","10824","0.7","834","0.6","0.5","13.0","1.6","0.0","1.6","84.3","83.1","75.1","15041","18778","88800","2.48","6.0","35869","20391","20.0","8","1.4","1030.46","2.1","86.7","5611","23.3","51.6","3433","37765","37914","0.4","36.6","302","3386","4248","11544","0.0","0.0","0.0","0.0","0.0","2957","0.0"
"Crenshaw County","AL","18.0","22.7","6.1","12.7","76.7","811","3139","1.0","211","0.5","1.8","24.0","1.7","0.1","1.6","72.0","70.6","69.9","5601","6708","70800","2.46","8.0","36275","21343","19.1","2","2.3","608.84","3.2","86.3","2708","30.3","51.1","1098","13906","13977","0.5","22.8","56","1318","754","5491","0.0","0.0","25.8","0.0","0.0","1027","30.2"
"Cullman County","AL","17.6","22.5","5.9","14.8","79.8","5549","22185","3.6","1714","0.6","0.5","1.4","4.4","0.0","1.2","96.2","92.1","75.0","31342","37131","106100","2.53","8.2","38847","20760","18.8","77","3.0","734.84","4.6","87.0","13934","26.4","50.5","6167","80406","81289","1.1","109.4","1022","0","8670","10757","0.0","1.1","1.1","0.0","0.0","7873","23.9"
"Dale County","AL","15.4","23.6","6.3","17.0","84.1","2444","11924","-1.6","766","0.8","1.3","19.7","6.1","0.1","2.8","75.2","70.2","61.1","19345","22832","99400","2.52","13.6","44889","22685","17.4","17","3.7","561.15","6.3","78.4","1149","20.9","50.5","6730","50251","49484","-1.5","89.6","372","693","3325","6889","0.0","0.0","0.0","0.0","0.0","2951","0.0"
"Dallas County","AL","15.6","25.2","6.7","14.2","77.5","2179","10420","-1.0","757","0.2","0.5","69.5","1.0","0.0","0.7","29.0","28.5","60.9","16173","20240","75700","2.63","19.3","26519","17245","35.5","17","0.8","978.7","1.3","86.7","11747","22.0","53.7","2897","43820","41711","-4.8","44.8","337","0","4373","10223","0.0","4.4","49.1","0.0","0.0","3148","28.8"
"DeKalb County","AL","15.7","24.7","6.2","10.7","70.6","4679","16841","3.9","1082","2.1","0.4","2.1","14.2","0.7","2.2","92.4","80.6","76.3","24923","31035","93400","2.82","6.7","37851","18149","19.9","31","7.5","777.09","11.2","90.9","18316","23.3","50.7","4371","71109","71065","-0.1","91.5","679","0","6351","9303","0.8","0.6","0.0","0.0","0.0","5908","25.8"
"Elmore County","AL","14.0","23.0","5.9","21.0","86.6","4850","14056","-2.3","1135","0.4","0.7","21.2","2.7","0.1","1.6","76.0","73.7","75.5","28324","33326","144600","2.62","8.1","54766","23856","13.4","259","2.1","618.49","3.6","85.4","7663","28.2","51.5","8364","79303","80977","2.1","128.2","478","1048","6183","7982","0.0","0.0","9.1","0.0","0.0","6513","28.3"
"Escambia County","AL","16.7","22.0","6.1","11.7","76.2","2111","9977","1.0","723","3.4","0.3","32.4","2.1","0.1","1.7","62.2","60.6","72.5","13681","16402","84100","2.59","9.0","30687","16540","25.4","26","0.6","945.08","1.4","93.4","6653","23.5","48.8","2995","38319","37733","-1.5","40.5","319","931","3795","10089","3.2","0.0","9.0","0.0","0.0","2765","21.3"
"Etowah County","AL","17.3","22.1","5.7","14.8","81.8","6988","29796","-0.5","2008","0.5","0.8","15.5","3.7","0.3","1.6","81.2","78.4","72.4","40217","47505","100000","2.55","12.1","38013","20204","19.0","79","2.2","534.99","3.1","85.0","12529","23.9","51.6","8638","104430","103531","-0.9","195.2","1379","5184","11148","10801","0.0","0.0","6.1","0.6","0.0","9147","25.7"
"Fayette County","AL","19.6","21.7","5.4","13.2","74.9","1073","3323","-3.8","306","0.4","0.3","11.9","1.4","0.0","1.1","86.2","85.0","74.9","6956","8404","71400","2.41","8.7","33838","18494","19.9","0","0.6","627.66","0.8","87.8","1862","27.5","50.5","1221","17241","16874","-2.1","27.5","108","224","1303","7433","0.0","0.0","5.1","0.0","0.0","1378","24.3"
"Franklin County","AL","15.9","24.3","6.6","11.0","72.5","1863","9369","-8.0","510","1.5","0.4","4.6","16.1","0.2","1.5","91.9","78.0","69.5","12437","14048","82300","2.52","12.0","36415","18888","21.9","13","8.4","633.82","13.2","86.4","6719","26.2","50.3","1860","31704","31601","-0.3","50.0","253","673","2690","8786","0.0","0.0","0.0","0.0","0.0","2357","23.2"
"Geneva County","AL","19.2","22.2","5.8","10.4","77.2","1584","3791","2.8","400","1.0","0.4","9.7","3.6","0.1","1.7","87.1","84.1","72.1","10945","12646","78100","2.43","5.6","35625","20199","21.2","8","1.8","574.41","3.0","82.7","1533","25.6","50.8","2336","26790","26712","-0.3","46.6","104","2316","1700","6612","0.0","0.0","0.0","0.0","0.0","1736","0.0"
"Greene County","AL","17.9","23.3","5.9","12.8","76.2","506","1379","16.3","99","0.2","0.2","80.5","1.0","0.0","0.6","18.5","17.9","73.2","3264","4988","72700","2.72","8.9","24226","14930","32.9","4","0.2","647.11","1.4","92.4","0","28.0","52.5","502","9045","8553","-5.4","14.0","12","0","336","3697","0.0","0.0","60.3","0.0","0.0","657","36.1"
"Hale County","AL","17.3","23.3","6.2","12.8","77.4","762","1966","0.2","195","0.2","0.3","58.1","1.3","0.0","0.6","40.8","40.0","78.0","5969","7639","79900","2.56","6.1","30051","18812","26.6","8","1.2","643.94","2.7","90.6","0","27.1","52.8","995","15760","15184","-3.7","24.5","31","0","867","4794","0.0","0.0","0.0","0.0","0.0","882","0.0"
"Henry County","AL","20.8","21.2","5.5","16.6","80.1","1034","2754","-2.4","293","0.3","0.7","27.3","2.6","0.0","1.2","70.4","68.4","77.7","7001","8961","97000","2.44","4.6","41650","21924","14.4","17","2.9","561.75","5.0","91.9","4258","26.0","51.8","1497","17302","17190","-0.6","30.8","74","0","925","5559","0.0","0.0","0.0","0.0","0.0","1091","18.2"
"Houston County","AL","16.1","23.7","6.2","19.7","83.9","6819","43139","0.5","2702","0.5","0.9","26.7","3.3","0.1","1.8","70.0","67.3","64.6","39250","46442","122300","2.58","14.6","40948","23316","18.0","311","2.4","579.82","4.4","86.3","13106","20.8","52.1","9254","101547","104193","2.6","175.1","1772","0","19096","19608","0.0","1.4","12.1","1.3","0.0","10151","25.5"
"Jackson County","AL","18.6","21.7","5.4","13.0","74.6","3098","12440","4.2","856","1.6","0.5","3.6","2.9","0.1","2.6","91.5","89.4","75.2","20765","24755","93400","2.53","6.9","37634","20486","16.0","39","2.2","1077.87","3.4","91.2","15253","26.4","50.7","4000","53227","52665","-1.1","49.4","393","0","4109","7784","4.3","0.0","0.0","0.0","0.0","4337","26.8"
"Jefferson County","AL","14.3","23.1","6.6","30.0","87.4","44987","319199","2.0","16232","0.3","1.6","42.9","3.8","0.1","1.1","54.0","50.8","64.7","259634","305040","140800","2.48","24.2","45429","26906","18.0","2280","4.1","1111.28","5.9","83.8","102609","23.4","52.8","46613","658466","660793","0.4","592.5","12681","137567","110663","16730","0.4","2.4","23.4","1.3","0.0","55470","29.8"
"Lamar County","AL","20.5","21.7","5.0","9.5","76.1","932","2943","4.6","241","0.2","0.1","11.3","1.4","0.0","1.4","87.1","85.8","71.5","6084","7326","66800","2.32","9.0","36028","19026","22.3","0","0.6","604.85","1.0","87.8","2349","25.7","51.2","1127","14564","14086","-3.3","24.1","60","0","707","4887","0.0","0.0","0.0","0.0","0.0","1340","25.8"
"Lauderdale County","AL","18.2","20.5","5.2","21.1","83.8","6576","25839","3.4","1967","0.5","0.9","10.4","2.4","0.1","1.5","86.7","84.7","69.9","38458","44353","114300","2.36","15.4","42844","23510","17.2","54","2.1","667.7","3.0","86.1","10836","24.5","52.1","7000","92709","93096","0.4","138.8","1365","5145","11315","12783","0.0","0.8","5.5","0.0","0.0","8317","27.6"
"Lawrence County","AL","16.8","21.7","5.3","11.9","77.1","1990","4232","-6.3","407","5.8","0.2","11.4","2.2","0.0","4.4","78.1","76.4","80.1","13382","15171","94200","2.52","5.9","38551","20181","17.5","0","1.0","690.68","1.9","90.5","0","27.8","51.3","1891","34339","33477","-2.5","49.7","227","237","1669","4889","0.0","0.0","0.0","1.1","0.0","2289","0.0"
"Lee County","AL","10.3","21.6","5.8","32.5","86.7","9361","38782","3.4","2500","0.4","3.3","23.7","3.9","0.1","1.5","70.9","67.7","61.7","55864","65566","146900","2.49","23.8","43542","23506","22.0","943","5.1","607.54","6.9","76.4","0","21.4","50.7","10045","140247","154255","9.9","230.8","2012","0","14516","11099","0.0","2.0","16.2","0.0","0.4","10319","28.2"
"Limestone County","AL","13.8","23.4","5.9","22.7","81.5","5417","15305","1.3","1308","0.8","1.4","13.5","5.8","0.2","2.1","82.0","77.2","76.6","31794","35445","134500","2.56","8.9","48619","25020","14.7","140","4.3","559.94","6.4","88.1","9472","26.3","49.7","6964","82782","90787","9.7","147.8","681","2482","7232","9785","1.1","0.8","4.8","1.3","0.0","5914","25.8"
"Lowndes County","AL","17.4","23.1","6.7","14.4","73.9","685","1835","-1.3","98","0.3","0.2","72.9","1.2","0.0","0.8","25.8","25.3","74.9","4212","5089","71400","2.61","9.5","26230","18368","26.7","5","0.2","715.91","0.7","90.4","11568","30.4","52.3","626","11299","10580","-6.4","15.8","5","0","1036","8184","0.0","0.0","57.3","0.0","0.0","682","35.2"
"Macon County","AL","16.8","18.3","4.7","19.6","80.0","1166","5381","3.2","217","0.2","0.3","81.5","1.5","0.0","1.4","16.7","16.2","65.7","8107","10217","75700","2.29","15.5","30724","16826","27.3","1","1.1","608.89","4.2","83.8","0","23.1","54.2","1662","21452","19425","-9.4","35.2","193","0","875","3932","0.0","0.0","66.7","0.0","0.0","1584","0.0"
"Madison County","AL","13.7","22.4","5.8","38.5","90.0","22681","153304","0.8","8095","0.8","2.6","24.6","4.7","0.1","2.5","69.4","65.5","69.3","132975","154452","164500","2.5","21.4","58434","31933","12.8","2677","5.4","801.59","7.1","84.7","86507","21.0","51.2","34203","334811","350299","4.6","417.7","5963","29704","44386","14145","1.4","3.5","12.3","1.3","0.0","26467","29.2"
"Marengo County","AL","18.6","23.0","6.0","17.4","83.7","1019","5876","1.8","478","0.3","0.3","51.0","2.4","0.2","0.8","47.4","45.6","71.3","8464","10207","89600","2.42","9.1","35079","22072","24.0","0","0.7","976.88","1.2","87.4","5421","22.4","53.2","1462","21027","20110","-4.4","21.5","166","645","1972","9274","0.0","0.0","0.0","0.0","0.0","1604","21.4"
"Marion County","AL","20.1","21.2","5.4","9.5","74.6","1828","8006","5.0","547","0.3","0.3","4.2","2.5","0.1","1.2","93.9","91.7","75.9","12700","14704","78700","2.34","9.6","32888","19576","20.9","0","1.0","742.29","2.5","86.6","7944","24.0","50.4","2287","30776","30271","-1.6","41.5","190","1625","2099","7116","0.0","0.0","0.0","0.0","0.0","2224","0.0"
"Marshall County","AL","16.3","24.5","6.6","15.2","76.2","6781","30306","0.1","1795","1.1","0.7","2.7","12.9","0.3","1.6","93.7","82.3","71.9","34250","40328","114000","2.7","9.5","39526","20382","19.5","28","8.0","565.84","11.5","86.1","30294","23.9","50.9","7192","93019","94636","1.7","164.4","1035","11387","13576","15434","0.0","0.9","0.0","1.0","0.0","8700","24.9"
"Mobile County","AL","14.5","24.0","6.7","20.7","83.9","29500","147574","-0.4","8567","1.0","2.0","35.3","2.8","0.1","1.5","60.1","57.8","66.6","155178","181611","124300","2.6","17.4","43028","22501","19.8","746","3.2","1229.44","5.0","85.8","124071","23.9","52.2","33586","412992","415123","0.5","335.9","5624","32687","52254","12895","0.0","2.4","18.8","1.2","0.0","34836","29.5"
"Monroe County","AL","17.9","23.4","5.5","10.6","76.1","1265","5029","-1.8","393","1.3","0.4","41.1","1.2","0.0","1.6","55.5","54.7","74.0","8333","11274","76900","2.71","6.8","29203","15749","28.6","0","0.9","1025.68","1.3","91.8","12519","23.3","52.6","1237","23068","21947","-4.9","22.5","147","928","2126","9342","0.0","0.0","23.6","0.0","0.0","2257","24.5"
"Montgomery County","AL","13.3","24.0","6.8","31.5","85.6","15129","101517","1.2","5533","0.3","2.6","56.7","3.4","0.1","1.3","38.9","36.3","61.4","88844","103434","122900","2.49","22.4","44790","24975","21.2","734","4.3","784.25","5.7","78.1","79566","19.3","52.6","20008","229363","226189","-1.4","292.5","4028","32755","32381","14351","0.7","2.4","35.6","1.3","0.0","21463","30.9"
"Morgan County","AL","15.9","23.1","6.0","19.9","81.4","7506","42569","2.0","2589","1.1","0.7","12.5","7.9","0.1","2.0","83.5","76.6","71.5","46192","51496","120500","2.55","15.1","44800","23764","15.7","136","5.1","579.34","8.0","86.4","0","23.7","50.8","9518","119490","119607","0.1","206.3","1547","12139","16376","14222","1.8","1.0","5.9","0.0","0.0","10034","21.3"
"Perry County","AL","17.9","22.4","5.5","10.4","70.2","488","1570","4.0","125","0.2","0.4","67.5","1.3","0.1","0.7","31.1","30.3","67.0","3400","4691","58000","2.84","11.0","28209","13716","25.6","0","0.5","719.66","0.8","92.2","0","26.8","53.4","670","10591","9826","-7.1","14.7","26","103","341","3181","0.0","0.0","55.7","0.0","0.0","854","41.3"
"Pickens County","AL","17.8","20.5","5.2","11.0","79.7","1073","2707","-1.2","266","0.2","0.3","40.2","4.1","0.4","0.9","58.1","54.7","72.0","7926","9441","81900","2.42","10.7","28741","17153","27.2","3","0.3","881.41","2.6","91.9","1076","29.3","50.6","1610","19746","20365","3.1","22.4","63","365","1132","5805","0.0","0.0","0.0","0.0","0.0","1268","10.0"
"Pike County","AL","14.1","19.4","5.7","23.0","81.0","1970","11009","1.4","628","0.7","2.2","36.9","2.2","0.1","1.6","58.5","57.1","57.8","12959","15807","101000","2.4","18.5","33090","19715","27.6","44","4.0","672.09","5.8","79.3","0","18.7","51.9","2516","32899","33389","1.5","48.9","456","0","3679","12189","0.0","0.0","0.0","0.0","0.0","2527","0.0"
"Randolph County","AL","19.6","22.0","5.7","11.1","72.6","1388","3481","0.0","340","0.5","0.3","20.2","2.9","0.1","1.4","77.6","75.0","72.3","9013","11928","88600","2.48","5.7","35213","19830","24.5","0","1.7","580.55","3.4","87.9","4016","26.8","51.4","1598","22913","22539","-1.6","39.5","92","267","1614","7209","0.0","0.0","7.1","0.0","0.0","1550","0.0"
"Russell County","AL","12.5","25.3","7.6","16.0","80.4","3523","10489","-1.9","783","0.6","0.8","42.9","5.0","0.2","2.4","53.1","49.5","61.3","21142","26787","104400","2.6","19.8","36143","19678","22.0","244","2.2","641.14","5.0","81.7","0","23.6","51.3","5977","52947","59608","12.6","82.6","563","0","4282","8526","0.0","0.0","33.9","1.0","0.0","3823","32.4"
"St. Clair County","AL","15.3","23.0","6.1","15.5","82.0","5172","15265","1.0","1266","0.4","0.8","9.5","2.3","0.1","1.3","87.9","85.9","81.5","31353","35844","134600","2.63","5.1","50786","23872","15.2","80","1.8","631.9","2.5","86.8","9854","30.0","50.1","6928","83593","86697","3.7","132.3","702","3174","5813","7404","1.0","1.4","2.4","0.0","0.0","6061","28.1"
"Shelby County","AL","13.0","24.4","6.0","40.3","91.2","15634","76137","2.1","4845","0.4","2.2","12.1","6.0","0.0","1.3","84.0","78.5","79.0","74144","83498","193000","2.64","12.1","68770","33313","7.9","896","6.0","784.93","8.3","86.6","17230","29.0","51.2","13991","195085","206655","5.9","248.5","3018","43855","25204","13737","0.6","0.0","5.7","2.0","0.0","18393","30.5"
"Sumter County","AL","16.3","19.7","4.8","14.9","75.5","823","2966","8.1","202","0.1","0.4","73.5","1.1","0.0","0.5","25.5","24.8","64.7","5060","6748","74100","2.57","16.3","22186","14156","38.0","3","0.9","903.89","1.9","87.9","0","23.4","55.0","706","13763","13166","-4.3","15.2","81","764","596","4494","0.0","0.0","57.5","0.0","0.0","730","0.0"
"Talladega County","AL","16.1","22.3","5.5","13.0","78.9","3988","23763","4.8","1230","0.4","0.4","32.5","2.3","0.0","1.5","65.2","63.4","71.2","31486","37177","92600","2.5","11.6","35439","19410","22.9","65","1.6","736.78","2.8","85.0","90542","23.9","51.4","6691","82291","81322","-1.2","111.7","670","0","7307","9113","0.0","1.5","0.0","0.0","0.0","4872","26.6"
"Tallapoosa County","AL","19.6","21.1","5.8","16.3","79.2","2478","10771","4.1","721","0.4","0.5","27.3","2.3","0.0","1.2","70.6","68.9","72.2","16373","22029","94900","2.49","10.1","39130","21434","19.8","16","1.9","716.52","2.9","86.0","0","23.9","51.4","3631","41616","41165","-1.1","58.1","282","0","3623","8881","0.0","0.0","13.0","0.0","0.0","3528","35.0"
"Tuscaloosa County","AL","11.7","21.1","6.0","27.0","86.6","11107","72917","3.0","4009","0.3","1.5","31.0","3.3","0.1","1.1","66.0","63.2","64.4","67882","87795","153300","2.76","27.9","45408","22637","18.9","1375","3.5","1321.76","5.8","81.2","108524","21.8","51.7","12198","194656","202212","3.9","147.3","3274","7606","24458","13664","0.9","0.0","13.3","0.0","0.0","14729","22.5"
"Walker County","AL","18.2","22.1","5.8","10.5","76.4","3509","15669","4.1","1250","0.5","0.4","6.4","2.3","0.1","1.3","91.3","89.4","75.0","25751","30669","82100","2.55","5.7","37566","20698","20.9","8","1.2","791.19","1.4","85.3","3148","29.3","51.4","5353","67023","65471","-2.3","84.7","738","2563","9036","13162","0.0","0.6","0.0","0.0","0.0","5365","23.8"
"Washington County","AL","17.0","22.5","4.9","9.5","80.5","1031","5756","-4.7","217","7.9","0.1","24.6","1.4","0.1","1.3","66.0","65.1","86.5","6620","8377","83900","2.59","2.0","42156","20395","18.4","2","0.9","1080.21","1.9","91.3","11534","31.8","51.2","1025","17581","16834","-4.3","16.3","0","328","763","4458","0.0","0.0","0.0","0.0","0.0","1288","25.6"
