total_cup_points,species,owner,country_of_origin,farm_name,company,region,producer,number_of_bags,bag_weight,harvest_year,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
86.92,Arabica,nucoffee,Brazil,fazenda kaquend,nucoffee,south of minas,Ralph Junqueira,3,60 kg,2011,Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,0.12,Green,1250,1250,1250
86.42,Arabica,nucoffee,Brazil,fazenda recreio,nucoffee,vale da grama,Homero Texeira de Macedo Junior,29,60 kg,2011,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,0.12,Green,1300,1300,1300
86.08,Arabica,nucoffee,Brazil,fazenda kaquend,nucoffee,south of minas,Ralph Junqueira,7,60 kg,2011,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,0.11,Blue-Green,1250,1250,1250
85.42,Arabica,nucoffee,Brazil,fazenda serra de três barras,nucoffee,south of minas,José Vagner Ribeiro Junqueira,5,60 kg,2011,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,0.11,Blue-Green,1250,1250,1250
84.92,Arabica,nucoffee,Brazil,fazenda grota funda,nucoffee,south of minas,Glaucio Carneiro Pinto,4,60 kg,2011,Bourbon,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,0.11,Green,1200,1200,1200
84.92,Arabica,nucoffee,Brazil,sitio claro,nucoffee,south of minas,Ricardo Luiz Ferreira,10,60 kg,2011,Catuai,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,0.12,Green,1000,1000,1000
84.58,Arabica,nucoffee,Brazil,fazenda recreio,nucoffee,vale da grama,Homero Texeira de Macedo Junior,37,60 kg,2011,Bourbon,Semi-washed / Semi-pulped,8,8,7.75,7.75,7.58,7.75,10,10,0.12,Green,1300,1300,1300
84.58,Arabica,nucoffee,Brazil,fazenda vista alegre,nucoffee,mountains of minas gerais,Geraldo Paixão,35,60 kg,2011,Catuai,Semi-washed / Semi-pulped,8.5,8,7.5,7.75,7.5,7.83,10,10,0.11,Blue-Green,1100,1100,1100
84.33,Arabica,nucoffee,Brazil,santa alina,NA,vale da grama,Lucia Maria da Silva Dias,75,60 kg,2011,Yellow Bourbon,NA,8.17,8,7.5,7.75,7.5,7.67,10,10,0,NA,1200,1350,1275
84.33,Arabica,nucoffee,Brazil,fazenda baipendi,NA,south of minas,Antônio Pelucio,80,60 kg,2011,NA,NA,8,8,7.5,7.5,7.67,7.75,10,10,0.02,NA,900,1200,1050
84,Arabica,doi tung development project,Thailand,doi tung development project,NA,NA,NA,1,60 kg,2011,NA,NA,7.58,7.75,7.58,7.75,7.58,7.75,10,10,0.06,NA,NA,NA,NA
83.83,Arabica,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",NA,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,175,50 kg,2011,NA,NA,7.75,7.75,7.58,8,7.67,7.58,10,10,0.02,NA,1499.9208,1499.9208,1499.9208
83.83,Arabica,doi tung development project,Thailand,doi tung development project,NA,NA,NA,1,60 kg,2011,NA,NA,7.5,7.83,7.58,7.58,7.75,7.83,10,10,0.01,NA,NA,NA,NA
83.17,Arabica,nucoffee,Brazil,fazenda do lobo,nucoffee,south of minas,Andrea Galvão Noqueira,25,60 kg,2011,Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10,10,0.12,Blue-Green,1000,1000,1000
83.17,Arabica,nucoffee,Brazil,olhos d'agua,NA,south of minas,Mario Dornelles Alvarenga,90,60 kg,2011,NA,NA,7.58,7.75,7.67,7.5,7.67,7.58,10,10,0.02,NA,900,900,900
83,Arabica,racafe & cia s.c.a,Colombia,NA,c.i.racafe & cia s.c.a,la plata,LA PLATA,121,1 kg,2011,Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10,10,0.12,Bluish-Green,1600,1950,1775
83,Arabica,doi tung development project,Thailand,doi tung development project,NA,NA,NA,1,60 kg,2011,NA,NA,7.33,7.67,7.58,7.5,7.75,7.67,10,10,0.28,NA,NA,NA,NA
82.58,Arabica,nucoffee,Brazil,fazenda chamusca,NA,south of minas,Mario Garcia Reis Neto,42,60 kg,2011,Mundo Novo,NA,7.58,7.5,7.33,7.75,7.5,7.5,10,10,0,NA,900,1050,975
82.42,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,250,70 kg,2011,Caturra,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10,10,0,Green,1750,1750,1750
81.83,Arabica,nucoffee,Brazil,cianorte,NA,cerrado,Marilsa de Fatima Peternela,58,60 kg,2011,Mundo Novo,NA,7.33,7.67,7.25,7.5,7.5,7.25,10,10,0.02,NA,900,950,925
81.75,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,250,70 kg,2011,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10,10,0,Green,1750,1750,1750
81.58,Arabica,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",NA,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,12,50 kg,2011,NA,NA,7.08,7.33,7.58,7.58,7.17,7.5,10,10,0.01,NA,1499.9208,1499.9208,1499.9208
81.58,Arabica,doi tung development project,Thailand,doi tung development project,NA,NA,NA,1,60 kg,2011,NA,NA,7.33,7.33,7.17,7.5,7.58,7.33,10,10,0.2,NA,NA,NA,NA
81.42,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,Exportadora de cafe condor s.a,250,70 kg,2011,Caturra,Natural / Dry,7.5,7.42,7.25,7.17,7.17,7.75,10,10,0.11,Green,1750,1750,1750
80.75,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,3,2 lbs,2011,Arusha,Natural / Dry,7.08,7.33,7.17,7.25,7.33,7.67,10,10,0.13,Bluish-Green,NA,NA,NA
76.17,Arabica,william ho,Indonesia,1,NA,indonesia,1,15,2 kg,2011,Other,Natural / Dry,7.33,7,6.5,6.08,7.58,6.33,9.33,9.33,0.12,None,3500,3500,3500
88.75,Arabica,hugo valdivia,Peru,NA,richmond investment-coffee department,NA,HVC,100,69 kg,2012,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,0.11,Bluish-Green,NA,NA,NA
87.17,Arabica,roberto licona franco,Mexico,la herradura,NA,xalapa,ROBERTO LICONA FRANCO,14,1 kg,2012,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,0.13,Green,1320,1320,1320
86.5,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",NA,NA,NA,NA,100,60 kg,2012,NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,0.11,Bluish-Green,NA,NA,NA
86.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,10,100 lbs,2012,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,0,NA,NA,NA,NA
86.17,Arabica,itdp international,Thailand,co-op #12,lanna cafe,chiang rai,ITDP,53,1 kg,2012,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,0.1,Green,1300,1300,1300
86,Arabica,afca,Uganda,NA,kawacom uganda ltd,"sipi, mt elgon",Kawacom,1,60 kg,2012,Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,0.1,Blue-Green,1400,1900,1650
85.83,Arabica,juan luis alvarado romero,Guatemala,valparaiso,sertrasa,acatenango,SERTRASA,150,1 kg,2012,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,0.12,Green,1524,1524,1524
85.83,Arabica,juan luis alvarado romero,Guatemala,finca el limon,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,2012,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,0.1,Bluish-Green,1417.32,1417.32,1417.32
85.75,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60 kg,2012,NA,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,10,0.12,Bluish-Green,1700,1700,1700
85.58,Arabica,lusso lab,El Salvador,finca la esmeralda,lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,2012,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,0.11,None,1300,1400,1350
85.58,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,8,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,0,NA,NA,NA,NA
85.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,8,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,0,NA,NA,NA,NA
85.33,Arabica,rashid moledina & co. (msa) ltd.,Kenya,NA,rashid moledina & co. (msa) ltd,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60 kg,2012,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,0,Green,1600,1600,1600
85.33,Arabica,ibero kenya limited,Kenya,NA,ibero kenya limited,central kenya,Blend from various Producers,300,60 kg,2012,SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,0,Green,1200,1200,1200
85.17,Arabica,"nomura trading co., ltd.",Indonesia,NA,"nomura trading co., ltd.",lintong,NA,54,60 kg,2012,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,0.11,Green,1250,1400,1325
85.17,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,the coffee source inc.,huehuetenango,Coop. Hoja Blanca - Fedecocagua,250,1 kg,2012,Caturra,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,0,NA,1400,1400,1400
85.08,Arabica,carcafe ltda ci,Colombia,NA,carcafe ltda,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,250,70 kg,2012,Caturra,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,0.11,Green,2136,2136,2136
85,Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,rashid moledina & co. (msa) ltd,central kenya,NA,38,60 kg,2012,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,0,Green,1580,1580,1580
85,Arabica,nucoffee,Brazil,sitío são geraldo,nucoffee,grama valley,Idalina M. De Andrade Ferreira,31,60 kg,2012,Mundo Novo,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,0.12,Green,1100,1100,1100
84.92,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,LA PLATA,50,70 kg,2012,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,0.11,Green,1600,1950,1775
84.92,Arabica,artemio zapata tejeda,Mexico,el suspiro,NA,coatepec,ARTEMIO ZAPATA TEJEDA,25,1 kg,2012,Typica,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,0.11,NA,1200,1200,1200
84.83,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,14,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,0,NA,NA,NA,NA
84.67,Arabica,rob tuttle,Costa Rica,NA,thrive farmers,NA,NA,1,2 kg,2012,NA,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8,10,9.33,0,Green,NA,NA,NA
84.67,Arabica,dream together,Kenya,NA,dream together inc.,nyeri,Sasini,235,60 kg,2012,SL28,Washed / Wet,7.75,7.92,7.83,8,7.58,7.75,10,10,0.11,Bluish-Green,2000,2000,2000
84.67,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1 kg,2012,Bourbon,Washed / Wet,8,7.83,7.67,7.83,7.67,8,10,10,0.11,Green,1310.64,1310.64,1310.64
84.67,Arabica,juan luis alvarado romero,Guatemala,valparaiso,sertrasa,acatenango,SERTRASA,125,1 kg,2012,Bourbon,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,0.12,Green,1524,1524,1524
84.67,Arabica,organizaciones de productores de cafe colimense,Mexico,"el nogal, la higuera, los laureles",organizaciones de productores de cafe colimense sa de cv,el remudadero,"JORGE TORRES BELTRAN, VICENTE HERNANDEZ OCHOA, IGNACIO TORRES",80,1 kg,2012,Typica,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10,10,0.13,NA,1200,1200,1200
84.67,Arabica,afca,Uganda,NA,ugacof ltd,mbale,NA,320,60 kg,2012,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10,10,0.11,Blue-Green,1700,1850,1775
84.58,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,250,70 kg,2012,Caturra,Washed / Wet,7.67,7.83,7.83,8,7.58,7.92,10,10,0,Green,1750,1750,1750
84.58,Arabica,lusso lab,Costa Rica,la chaparral,lusso coffee lab,tres rios,NA,1,1 kg,2012,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8,7.83,7.67,10,10,0.12,Bluish-Green,1450,1700,1575
84.58,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,huila,varios,250,70 kg,2012,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,0.11,Green,1800,1800,1800
84.5,Arabica,dream together,Kenya,rumukia farmers,dream together co. ltd,nyeri,NA,235,60 kg,2012,SL28,Washed / Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,0.11,Blue-Green,2000,2000,2000
84.5,Arabica,maria imelda uscanga martinez,Mexico,la barranca,NA,hustusco,MARIA IMELDA USCANGA MARTINEZ,56,1 kg,2012,Typica,Washed / Wet,8,7.92,7.42,8.08,7.5,7.67,10,10,0.12,Green,1350,1350,1350
84.5,Arabica,alfredo bojalil,Mexico,finca el retiro,ecomtrading,jaltenango,SANTIAGO JOSE ARGUELLO CAMPOS,250,1 kg,2012,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,0.11,NA,1500,1500,1500
84.5,Arabica,juan luis alvarado romero,Guatemala,nueva granada,"transcafe, s.a","el tumbador, san marcos","AGRICOLA NUEVA GRANADA, S.A",250,69 kg,2012,Bourbon,Washed / Wet,7.67,8,7.67,8,7.5,7.83,10,10,0.11,Green,NA,NA,NA
84.42,Arabica,kao ming lee,Taiwan,tropica galliard,tropica galliard,"mountain ali, taiwan",Kao Ming Lee,2,2 kg,2012,Typica,Washed / Wet,7.83,7.83,7.75,8,7.5,7.75,10,10,0.11,Blue-Green,1200,1200,1200
84.42,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,5,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10,10,0.11,Blue-Green,NA,NA,NA
84.42,Arabica,maria amalia guadalupe toriello elorza,Mexico,finca la chiripa,finca hamburgo,tapachula,MARIA AMALIA GUADALUPE TORIELLO ELORZA,69,1 kg,2012,Pacamara,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10,10,0.12,NA,900,900,900
84.33,Arabica,victor hugo melchor cordova,Mexico,la distancia,NA,tuxtla gutierrez,VICTOR HUGO MELCHOR CORDOVA,100,80 kg,2012,Typica,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,0.12,Blue-Green,1700,1700,1700
84.25,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,7,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10,9.33,0.11,Bluish-Green,NA,NA,NA
84.25,Arabica,jesus salazar velasco,Mexico,pante carajillo,carajillo café sa de cv,san pedro cotzilnam,JESUS SALAZAR VELASCO,10,1 kg,2012,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10,10,0.12,Green,1450,1450,1450
84.25,Arabica,manuel herrera juarez,Mexico,finca los barreales,NA,veracruz,MANUEL HERRERA JUAREZ,20,1 kg,2012,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10,10,0.12,Green,1170,1170,1170
84.25,Arabica,alfredo bojalil,Mexico,finca santa teresa,ecomtrading,"la concordia, chiapas",ERNST POHLENZ AGUILAR,250,1 kg,2012,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10,10,0.1,Bluish-Green,1400,1400,1400
84.25,Arabica,afca,Uganda,NA,bukonzo joint cfs,kasese,NA,1,60 kg,2012,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10,10,0.13,Green,1700,1700,1700
84.17,Arabica,owen carver,Brazil,café do paraíso,café do paraíso,"minas gerais, br",Café do Paraíso,1,2 kg,2012,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8,10,10,0.11,Green,894,1183,1038.5
84.17,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,250,70 kg,2012,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,0,Green,1750,1750,1750
84.17,Arabica,juan luis alvarado romero,Guatemala,el limon,unicafe,guatemala,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,2012,Catuai,Natural / Dry,7.83,7.5,7.5,8,7.83,7.83,10,10,0.11,Bluish-Green,NA,NA,NA
84.17,Arabica,afca,Uganda,NA,great lakes coffee,mt. rwenzori,NA,320,60 kg,2012,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10,10,0.11,Green,1500,1700,1600
84.08,Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,14,100 lbs,2012,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,0.11,Green,NA,NA,NA
84.08,Arabica,andres martinez leon,Mexico,la lagunilla,NA,santo domingo cacalotepec,ANDRES MARTINEZ LEON,300,1 kg,2012,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10,10,0.11,Green,1480,1480,1480
84.08,Arabica,steven kil,Ethiopia,NA,the specialty coffee appraisers institute of asia,"ethiopia, sidamo",NA,100,60 kg,2012,Other,Natural / Dry,7.92,7.92,7.83,8,7.92,7.92,10,8.67,0.09,NA,1800,1800,1800
84,Arabica,ibero kenya limited,Kenya,NA,ibero kenya limited,blend,Blend of various producers,300,60 kg,2012,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,0,Green,1200,1200,1200
84,Arabica,doi tung development project,Thailand,doi tung development project,mae fah luang foundation,thailand,Doi Tung Development Project,2,1 kg,2012,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,9.33,0.12,Green,NA,NA,NA
84,Arabica,taylor winch (coffee) ltd.,Kenya,-,taylor winch (coffee) ltd,central kenya,-,150,9000 kg,2012,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,0,Bluish-Green,1650,1650,1650
84,Arabica,afca,Uganda,NA,bukonzo joint cfs,kasese,NA,320,60 kg,2012,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10,10,0.1,Green,1700,1700,1700
83.92,Arabica,oscar ortega carballo,Mexico,finca cuetzalingo,agro xicotepec 2000,xicotepec de juarez,OSCAR ORTEGA CARBALLO,48,1 kg,2012,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10,10,0.12,Blue-Green,900,900,900
83.92,Arabica,alfredo bojalil,Mexico,finca sant rosa,ecomtrading,la concordia,ARTURO LIEVANO MORENO,250,1 kg,2012,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10,10,0.11,NA,1500,1500,1500
83.92,Arabica,organizaciones de productores de cafe colimense,Mexico,comunidad la yerbabuena,organizaciones de productores de cafe colimense sa de cv,la yerbabuena,coop,20,1 kg,2012,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,0,Green,1400,1400,1400
83.83,Arabica,filemon mendoza campos,Mexico,predio cañada del encino,NA,petatlan,FILEMON MENDOZA CAMPOS,20,1 kg,2012,Bourbon,Natural / Dry,7.67,8,7.67,7.42,7.67,7.5,10,10,0.1,Green,1218,1218,1218
83.83,Arabica,alfredo bojalil,Mexico,finca santa teresa,ecomtrading,"la concordia, chiapas",ERNST POHLENZ AGUILAR,250,1 kg,2012,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10,10,0.11,NA,1300,1300,1300
83.75,Arabica,saul m. hernandez ramirez,Mexico,naranjal,NA,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",10,1 kg,2012,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10,10,0.13,None,700,700,700
83.75,Arabica,the coffee source inc.,Guatemala,several farms,the coffee source inc.,quetzaltenango,Several producres,250,3 lbs,2012,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10,10,0.11,Bluish-Green,1300,1300,1300
83.67,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,250,70 kg,2012,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10,10,0.11,Green,1750,1750,1750
83.67,Arabica,the coffee source inc.,Guatemala,finca quequesquez,the coffee source inc.,oriente,Finca Quequesquez,250,1 kg,2012,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,0.11,Green,1450,1450,1450
83.67,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1 kg,2012,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10,10,0.11,Green,1310.64,1310.64,1310.64
83.67,Arabica,juan luis ortega carballo,Mexico,finca apoxtla,NA,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,48,1 kg,2012,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10,10,0.12,Green,1100,1100,1100
83.67,Arabica,ekai international company ltd.,Indonesia,"ijen highland, east java",scai,east java,PT. Perkebunan Nusantara XII,10,60 kg,2012,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10,10,0.12,Green,1200,1600,1400
83.67,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.","sacatepequez, guatemala","SIEMBRAS VISION, S.A",250,69 kg,2012,Caturra,Washed / Wet,7.67,7.5,7.33,8,7.67,7.67,10,10,0.1,Green,1524,1524,1524
83.58,Arabica,racafe & cia s.c.a,Colombia,NA,c.i.racafe & cia s.c.a,huila,LA PLATA,275,70 kg,2012,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10,10,0.11,Green,1600,1950,1775
83.58,Arabica,alfredo bojalil,Mexico,ojo de agua,ecomtrading,xalapa,JULIAN ALBERTO URRUTIA MOYA,250,1 kg,2012,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10,10,0.12,NA,1000,1000,1000
83.58,Arabica,carcafe ltda ci,Colombia,NA,carcafe ltda,cundinamarca,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,250,70 kg,2012,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10,10,0.11,Green,2136,2136,2136
83.58,Arabica,nucoffee,Brazil,fazenda jericó,nucoffee,south of minas,Alvaro Resende Aguiar,33,60 kg,2012,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10,10,0.12,Blue-Green,1100,1100,1100
83.5,Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,finca los barreales,xalapa,MANUEL HERRERA JUAREZ,10,1 kg,2012,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10,10,0.13,Green,1170,1170,1170
83.5,Arabica,miguel cortes moreno,Mexico,NA,estrategias constructivas corzu s.a. de c.v.,chilón,ARMANDO GUTIERREZ GUZMAN,10,1 kg,2012,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10,10,0.11,Green,940,940,940
