"id","material","name","location.city","location.city_id","location.country","location.country id","location.latitude","location.longitude","purposes.abandoned","purposes.air traffic control tower","purposes.belltower","purposes.bridge","purposes.casino","purposes.commercial","purposes.education","purposes.exhibition","purposes.government","purposes.hospital","purposes.hotel","purposes.industrial","purposes.library","purposes.multiple","purposes.museum","purposes.observation","purposes.office","purposes.other","purposes.religious","purposes.residential","purposes.retail","purposes.serviced apartments","purposes.telecommunications","statistics.floors above","statistics.height","statistics.number of purposes","statistics.rank","status.current","status.completed.is completed","status.completed.year","status.started.is started","status.started.year"
"13227","concrete","432 Park Avenue","New York City","1641","US","163","40.761558532715","-73.971862792969","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","85","425.5","1","11","completed","True","2015","True","2011"
"203","concrete","Trump International Hotel & Tower","Chicago","1539","US","163","41.888870239258","-87.626426696777","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","98","423.2200012207","2","12","completed","True","2009","True","2005"
"200","steel","One World Trade Center","New York City","1641","US","163","40.712089538574","-74.013221740723","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","110","417.0","1","13","demolished","True","1972","True","1966"
"202","steel","Two World Trade Center","New York City","1641","US","163","40.710990905762","-74.013130187988","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","110","415.14001464844","1","14","demolished","True","1973","True","1966"
"209","composite","2 World Trade Center","New York City","1641","US","163","40.712139129639","-74.011268615723","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","79","411.0","1","15","never completed","True","0","True","2010"
"19928","composite","2 World Trade Center","New York City","1641","US","163","40.712139129639","-74.011268615723","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","82","403.25","1","16","proposed","True","2020","True","2016"
"13325","steel/concrete","30 Hudson Yards","New York City","1641","US","163","40.754020690918","-74.000831604004","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","73","386.60998535156","1","17","under construction","True","2019","True","2014"
"261","steel","Empire State Building","New York City","1641","US","163","40.748420715332","-73.98560333252","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","102","381.0","1","18","completed","True","1931","True","1930"
"282","steel","Larkin Building","New York City","1641","US","163","40.757579803467","-73.991600036621","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","110","368.20001220703","1","19","vision","True","0","True","0"
"291","composite","Bank of America Tower","New York City","1641","US","163","40.755378723145","-73.984352111816","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","55","365.79998779297","1","20","completed","True","2009","True","2004"
"19850","steel","Block 142","Houston","1593","US","163","0.0","0.0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","0","356.61999511719","3","21","vision","True","0","True","0"
"9401","concrete","Stratosphere Tower","Las Vegas","1610","US","163","36.147399902344","-115.15543365479","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","0","350.2200012207","1","22","completed","True","1996","True","1994"
"339","steel","Aon Center","Chicago","1539","US","163","41.885158538818","-87.621452331543","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","83","346.26000976562","1","23","completed","True","1973","True","1970"
"345","steel","John Hancock Center","Chicago","1539","US","163","41.89879989624","-87.623062133789","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","100","343.69000244141","2","24","completed","True","1969","True","1965"
"16192","composite","Comcast Innovation and Technology Center","Philadelphia","1657","US","163","39.955020904541","-75.170288085938","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","59","341.67999267578","2","25","under construction","True","2018","True","2014"
"9686","composite","Wilshire Grand Center","Los Angeles","1611","US","163","34.049900054932","-118.26001739502","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","73","334.9700012207","2","26","structurally topped out","True","2017","True","2013"
"17720","steel","WITI TV Tower","Shorewood","2217","US","163","43.09061050415","-87.89720916748","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","0","329.0","1","27","completed","True","1962","True","0"
"273","composite","3 World Trade Center","New York City","1641","US","163","40.710868835449","-74.011573791504","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","80","328.88000488281","1","28","under construction","True","2018","True","2010"
"317","concrete","53 West 53rd","New York City","1641","US","163","40.761810302734","-73.978179931641","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","77","320.04000854492","1","29","under construction","True","2018","True","2015"
"400","concrete","Signature Tower","Nashville","1640","US","163","36.162590026855","-86.780212402344","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","77","320.0","2","30","vision","True","0","True","0"
"420","concrete","Waterview Tower","Chicago","1539","US","163","41.886520385742","-87.631439208984","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","89","319.14001464844","2","31","never completed","True","0","True","2006"
"422","steel","Chrysler Building","New York City","1641","US","163","40.751609802246","-73.97534942627","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","77","318.89999389648","1","32","completed","True","1930","True","1928"
"423","steel","New York Times Tower","New York City","1641","US","163","40.756088256836","-73.990043640137","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","52","318.76998901367","1","33","completed","True","2007","True","2004"
"8765","composite","3 Hudson Boulevard","New York City","1641","US","163","40.755950927734","-74.001281738281","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","66","315.16000366211","2","34","proposed","True","2019","True","2016"
"429","composite","Bank of America Plaza","Atlanta","1509","US","163","33.770790100098","-84.386016845703","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","55","311.79998779297","1","35","completed","True","1992","True","1991"
"442","concrete","Empire World Condo Tower","Miami","1632","US","163","0.0","0.0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","93","311.51000976562","1","36","vision","True","0","True","0"
"441","concrete","Empire World Apartment Tower","Miami","1632","US","163","0.0","0.0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","93","311.5","2","37","vision","True","0","True","0"
"445","steel","U.S. Bank Tower","Los Angeles","1611","US","163","34.051040649414","-118.25435638428","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","73","310.29000854492","1","38","completed","True","1990","True","1987"
"14315","concrete","125 Greenwich Street","New York City","1641","US","163","40.709468841553","-74.012718200684","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","310.0","1","39","under construction","True","2018","True","2015"
"465","composite","The Franklin - North Tower","Chicago","1539","US","163","41.880348205566","-87.634750366211","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","306.94000244141","1","40","completed","True","1989","True","1987"
"570","steel/concrete","One57","New York City","1641","US","163","40.765441894531","-73.979072570801","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","75","306.07000732422","2","41","completed","True","2014","True","2009"
"472","composite","JPMorgan Chase Tower","Houston","1593","US","163","29.760419845581","-95.363906860352","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","75","305.41000366211","1","42","completed","True","1982","True","1978"
"19910","concrete","Villa Magna I","Miami","1632","US","163","25.761070251465","-80.189308166504","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","0","303.29998779297","1","43","vision","True","0","True","0"
"19911","concrete","Villa Magna II","Miami","1632","US","163","25.761430740356","-80.189239501953","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","0","303.29998779297","1","43","vision","True","0","True","0"
"489","concrete","Two Prudential Plaza","Chicago","1539","US","163","41.885368347168","-87.622581481934","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","64","303.2799987793","1","45","completed","True","1990","True","1988"
"493","steel","Wells Fargo Plaza","Houston","1593","US","163","29.758449554443","-95.368263244629","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","71","302.36999511719","1","46","completed","True","1983","True","1979"
"545","composite","4 World Trade Center","New York City","1641","US","163","40.710319519043","-74.012176513672","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","65","297.73001098633","1","47","completed","True","2014","True","2008"
"546","composite","Comcast Center","Philadelphia","1657","US","163","39.954738616943","-75.168479919434","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","57","296.73001098633","1","48","completed","True","2008","True","2005"
"563","concrete","311 South Wacker Drive","Chicago","1539","US","163","41.877391815186","-87.635559082031","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","65","292.92001342773","1","49","completed","True","1990","True","1988"
"18405","steel","70 Pine","New York City","1641","US","163","40.706340789795","-74.007667541504","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","67","290.17001342773","1","50","completed","True","1932","True","1930"
"12389","concrete","SNCI NYC Tower","New York City","1641","US","163","0.0","0.0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","57","289.55999755859","1","51","vision","True","0","True","0"
"585","composite","Key Tower","Cleveland","1543","US","163","41.500999450684","-81.693908691406","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","57","288.64999389648","1","52","completed","True","1991","True","1988"
"593","steel","One Liberty Place","Philadelphia","1657","US","163","39.952560424805","-75.16813659668","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","61","288.04000854492","1","53","completed","True","1987","True","0"
"652","concrete","30 Park Place","New York City","1641","US","163","40.712749481201","-74.009078979492","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","67","285.60000610352","2","54","architecturally topped out","True","2016","True","2008"
"611","composite","Columbia Center","Seattle","1680","US","163","47.604640960693","-122.33059692383","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","76","284.38000488281","1","55","completed","True","1984","True","1982"
"619","steel","The Trump Building","New York City","1641","US","163","40.706920623779","-74.009803771973","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","71","282.54998779297","1","56","completed","True","1930","True","1929"
"630","composite","Bank of America Plaza","Dallas","1554","US","163","32.780040740967","-96.803939819336","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","72","280.7200012207","1","57","completed","True","1985","True","1983"
"648","steel","Citigroup Center","New York City","1641","US","163","40.758571624756","-73.97038269043","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","63","278.89999389648","1","58","completed","True","1977","True","1974"
"14783","concrete","15 Hudson Yards","New York City","1641","US","163","40.753528594971","-74.002899169922","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","70","278.57998657227","1","59","under construction","True","2018","True","2014"
"9263","concrete","Dallas Tower","Dallas","1554","US","163","0.0","0.0","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","0","278.2799987793","2","60","vision","True","0","True","0"
"661","steel","Williams Tower","Houston","1593","US","163","29.737190246582","-95.461212158203","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","64","274.63000488281","1","61","completed","True","1982","True","1981"
"14787","composite","425 Park Avenue","New York City","1641","US","163","40.760459899902","-73.971099853516","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","42","272.20001220703","1","62","under construction","True","2018","True","2015"
"16020","steel","888 2nd Avenue","Seattle","1680","US","163","47.604339599609","-122.33361053467","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","270.66000366211","2","63","proposed","True","0","True","0"
"683","steel","Renaissance Tower","Dallas","1554","US","163","32.781261444092","-96.801918029785","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","56","270.05999755859","1","64","completed","True","1986","True","0"
"13326","composite","10 Hudson Yards","New York City","1641","US","163","40.752849578857","-74.001327514648","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","52","267.67001342773","1","65","architecturally topped out","True","2016","True","2013"
"711","concrete","Bank of America Corporate Center","Charlotte","1544","US","163","35.227291107178","-80.842086791992","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","265.48001098633","1","66","completed","True","1992","True","1989"
"699","concrete","Eight Spruce Street","New York City","1641","US","163","40.710861206055","-74.005668640137","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","76","265.17999267578","1","67","completed","True","2011","True","2006"
"708","concrete/steel","900 North Michigan Avenue","Chicago","1539","US","163","41.899658203125","-87.624710083008","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","66","265.0","4","68","completed","True","1989","True","0"
"15189","composite","Energy Tower at City Center","Midland","1624","US","163","31.997970581055","-102.07623291016","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","53","264.95999145508","3","69","vision","True","0","True","0"
"724","concrete","SunTrust Plaza","Atlanta","1509","US","163","33.762699127197","-84.38646697998","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","264.25","1","70","completed","True","1992","True","1989"
"735","concrete","Trump World Tower","New York City","1641","US","163","40.752521514893","-73.967666625977","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","72","262.44000244141","1","71","completed","True","2001","True","1999"
"739","concrete","Water Tower Place","Chicago","1539","US","163","41.897968292236","-87.622840881348","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","74","261.88000488281","3","72","completed","True","1976","True","1972"
"886","concrete","Aqua","Chicago","1539","US","163","41.886478424072","-87.619918823242","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","86","261.75","2","73","completed","True","2009","True","2007"
"744","steel","Aon Center","Los Angeles","1611","US","163","34.049228668213","-118.25686645508","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","62","261.51998901367","1","74","completed","True","1974","True","0"
"772","composite","Transamerica Pyramid","San Francisco","1683","US","163","37.795238494873","-122.40273284912","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","48","260.0","1","75","completed","True","1972","True","1969"
"775","steel","Comcast Building","New York City","1641","US","163","40.758991241455","-73.979393005371","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","70","259.07998657227","1","76","completed","True","1933","True","1931"
"779","steel","Chase Tower","Chicago","1539","US","163","41.881610870361","-87.630241394043","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","259.07998657227","1","77","completed","True","1969","True","1966"
"783","steel","Two Liberty Place","Philadelphia","1657","US","163","39.951690673828","-75.167427062988","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","58","258.4700012207","2","78","completed","True","1990","True","0"
"793","concrete","Park Tower","Chicago","1539","US","163","41.897029876709","-87.625137329102","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","68","257.35000610352","2","79","completed","True","2000","True","1998"
"623","concrete","Devon Energy Center","Oklahoma City","1645","US","163","35.466861724854","-97.517631530762","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","52","257.23001098633","1","80","completed","True","2012","True","2009"
"17153","concrete","Banco Santander Tower","Miami","1632","US","163","25.759969711304","-80.191963195801","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","52","257.0","1","81","proposed","True","0","True","0"
"17214","concrete","One Bennett Park","Chicago","1539","US","163","41.891578674316","-87.615608215332","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","67","256.95001220703","1","82","proposed","True","2018","True","2016"
"801","steel","U.S. Steel Tower","Pittsburgh","1661","US","163","40.441291809082","-79.994636535645","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","64","256.33999633789","1","83","completed","True","1970","True","1967"
"16055","concrete","One Manhattan Square","New York City","1641","US","163","40.710468292236","-73.991241455078","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","68","253.30000305176","1","84","under construction","True","2019","True","2015"
"829","concrete","Met 3","Miami","1632","US","163","25.772119522095","-80.18953704834","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","76","252.38000488281","1","85","vision","True","0","True","0"
"781","concrete","Panorama Tower","Miami","1632","US","163","25.763240814209","-80.190406799316","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","80","250.55000305176","2","86","under construction","True","2017","True","2014"
"844","concrete","56 Leonard Street","New York City","1641","US","163","40.717609405518","-74.006332397461","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","57","250.24000549316","1","87","architecturally topped out","True","2016","True","2008"
"874","composite","One Atlantic Center","Atlanta","1509","US","163","33.787010192871","-84.387336730957","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","50","249.94000244141","1","88","completed","True","1987","True","0"
"887","concrete","The Legacy at Millennium Park","Chicago","1539","US","163","41.881351470947","-87.625640869141","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","73","249.33000183105","1","89","completed","True","2010","True","2007"
"895","concrete","CitySpire","New York City","1641","US","163","40.764198303223","-73.979698181152","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","75","248.11000061035","2","90","completed","True","1987","True","0"
"900","steel","28 Liberty","New York City","1641","US","163","40.707820892334","-74.009048461914","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","247.80999755859","2","91","completed","True","1961","True","1957"
"907","steel","4 Times Square","New York City","1641","US","163","40.755939483643","-73.985801696777","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","48","246.53999328613","1","92","completed","True","1999","True","1996"
"909","steel","MetLife Building","New York City","1641","US","163","40.753421783447","-73.976669311523","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","59","246.2799987793","1","93","completed","True","1963","True","1960"
"917","concrete/steel","Bloomberg Tower","New York City","1641","US","163","40.761741638184","-73.967987060547","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","54","245.61999511719","2","94","completed","True","2004","True","2000"
"664","steel","181 Fremont","San Francisco","1683","US","163","37.789749145508","-122.39515686035","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","54","244.44999694824","2","95","under construction","True","2017","True","2014"
"971","composite","Mellon Bank Center","Philadelphia","1657","US","163","39.953578948975","-75.169548034668","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","54","241.41000366211","1","96","completed","True","1990","True","0"
"969","steel","Woolworth Building","New York City","1641","US","163","40.712390899658","-74.008201599121","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","57","241.39999389648","1","97","completed","True","1913","True","1910"
"968","composite","IDS Tower","Minneapolis","1627","US","163","44.97599029541","-93.272636413574","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","55","241.38000488281","1","98","completed","True","1973","True","1969"
"973","concrete","Grant Park Tower III","Chicago","1539","US","163","41.867088317871","-87.623039245605","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","73","241.0","1","99","vision","True","0","True","0"
"974","steel","200 Clarendon","Boston","1524","US","163","42.349319458008","-71.075103759766","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","62","240.78999328613","1","100","completed","True","1976","True","1972"
"977","concrete","Four Seasons Hotel & Tower","Miami","1632","US","163","25.759029388428","-80.191772460938","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","64","240.41000366211","3","101","completed","True","2003","True","2000"
"984","composite","Comerica Bank Tower","Dallas","1554","US","163","32.781631469727","-96.796318054199","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","239.88000488281","1","102","completed","True","1987","True","0"
"1077","concrete/steel","Duke Energy Center","Charlotte","1544","US","163","35.223899841309","-80.848602294922","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","48","239.69999694824","1","103","completed","True","2010","True","2007"
"1009","composite","300 North LaSalle","Chicago","1539","US","163","41.888221740723","-87.633171081543","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","60","239.11999511719","1","104","completed","True","2009","True","2006"
"1025","steel","30 Hudson Street","Jersey City","1605","US","163","40.712909698486","-74.033752441406","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","42","238.05000305176","1","105","completed","True","2004","True","2001"
"14878","concrete","520 Park Avenue","New York City","1641","US","163","40.763698577881","-73.97029876709","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","54","237.91999816895","1","106","under construction","True","2018","True","2015"
"1026","steel","Bank of America Center","Houston","1593","US","163","29.760749816895","-95.366592407227","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","56","237.75","1","107","completed","True","1983","True","1981"
"1027","steel","555 California Street","San Francisco","1683","US","163","37.792098999023","-122.40380096436","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","52","237.44000244141","1","108","completed","True","1969","True","0"
"1030","steel","1 Worldwide Plaza","New York City","1641","US","163","40.762229919434","-73.986953735352","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","47","237.13999938965","1","109","completed","True","1989","True","1986"
"1306","concrete","50 West","New York City","1641","US","163","40.707721710205","-74.015060424805","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","64","237.05999755859","1","110","architecturally topped out","True","2017","True","2008"
"1031","composite","Capella Tower","Minneapolis","1627","US","163","44.976329803467","-93.268646240234","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","56","236.5299987793","1","111","completed","True","1992","True","1989"
"1033","composite","Wells Fargo Center","Minneapolis","1627","US","163","44.976928710938","-93.27091217041","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","56","236.32000732422","1","112","completed","True","1988","True","0"
"1045","steel","1201 Third Avenue Tower","Seattle","1680","US","163","47.607269287109","-122.3360824585","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","55","235.30999755859","1","113","completed","True","1988","True","1986"
"1062","composite","191 Peachtree Tower","Atlanta","1509","US","163","33.758941650391","-84.386688232422","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","50","234.69999694824","1","114","completed","True","1992","True","0"
"1071","composite","Three First National Plaza","Chicago","1539","US","163","41.882381439209","-87.630569458008","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","57","233.64999389648","1","115","completed","True","1981","True","0"
"1075","composite","Southeast Financial Center","Miami","1632","US","163","25.772239685059","-80.187423706055","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","55","232.80000305176","1","116","completed","True","1983","True","1982"
"1079","steel","Heritage Plaza","Houston","1593","US","163","29.758800506592","-95.370780944824","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","53","232.25999450684","1","117","completed","True","1987","True","1984"
