varCaseSourcesId,varCaseSourcesStr
121,Texas Southern U.S. District Court
122,Texas Western U.S. District Court
123,Utah U.S. District Court
124,Vermont U.S. District Court
125,Virgin Islands U.S. District Court
126,Virginia Eastern U.S. District Court
127,Virginia Western U.S. District Court
128,Washington Eastern U.S. District Court
129,Washington Western U.S. District Court
130,West Virginia Northern U.S. District Court
131,West Virginia Southern U.S. District Court
132,Wisconsin Eastern U.S. District Court
133,Wisconsin Western U.S. District Court
134,Wyoming U.S. District Court
150,Louisiana U.S. District Court
151,Washington U.S. District Court
152,West Virginia U.S. District Court
153,Illinois Eastern U.S. District Court
155,South Carolina Eastern U.S. District Court
160,South Carolina Western U.S. District Court
162,Alabama U.S. District Court
163,U.S. District Court for the Canal Zone
164,Georgia U.S. District Court
165,Illinois U.S. District Court
166,Indiana U.S. District Court
167,Iowa U.S. District Court
168,Michigan U.S. District Court
169,Mississippi U.S. District Court
170,Missouri U.S. District Court
171,New Jersey Eastern U.S. District Court (East Jersey U.S. District Court)
172,New Jersey Western U.S. District Court (West Jersey U.S. District Court)
173,New York U.S. District Court
174,North Carolina U.S. District Court
175,Ohio U.S. District Court
176,Pennsylvania U.S. District Court
177,Tennessee U.S. District Court
178,Texas U.S. District Court
179,Virginia U.S. District Court
180,Norfolk U.S. District Court
181,Wisconsin U.S. District Court
182,Kentucky U.S. Distrcrict Court
183,New Jersey U.S. District Court
184,California U.S. District Court
185,Florida U.S. District Court
186,Arkansas U.S. District Court
187,District of Orleans U.S. District Court
300,State Supreme Court
301,State Appellate Court
302,State Trial Court
400,Eastern Circuit (of the United States)
401,Middle Circuit (of the United States)
402,Southern Circuit (of the United States)
403,Alabama U.S. Circuit Court for (all) District(s) of Alabama
404,Arkansas U.S. Circuit Court for (all) District(s) of Arkansas
405,California U.S. Circuit for (all) District(s) of California
406,Connecticut U.S. Circuit for the District of Connecticut
407,Delaware U.S. Circuit for the District of Delaware
408,Florida U.S. Circuit for (all) District(s) of Florida
409,Georgia U.S. Circuit for (all) District(s) of Georgia
410,Illinois U.S. Circuit for (all) District(s) of Illinois
411,Indiana U.S. Circuit for (all) District(s) of Indiana
412,Iowa U.S. Circuit for (all) District(s) of Iowa
413,Kansas U.S. Circuit for the District of Kansas
414,Kentucky U.S. Circuit for (all) District(s) of Kentucky
415,Louisiana U.S. Circuit for (all) District(s) of Louisiana
416,Maine U.S. Circuit for the District of Maine
417,Maryland U.S. Circuit for the District of Maryland
418,Massachusetts U.S. Circuit for the District of Massachusetts
419,Michigan U.S. Circuit for (all) District(s) of Michigan
420,Minnesota U.S. Circuit for the District of Minnesota
421,Mississippi U.S. Circuit for (all) District(s) of Mississippi
422,Missouri U.S. Circuit for (all) District(s) of Missouri
423,Nevada U.S. Circuit for the District of Nevada
424,New Hampshire U.S. Circuit for the District of New Hampshire
425,New Jersey U.S. Circuit for (all) District(s) of New Jersey
426,New York U.S. Circuit for (all) District(s) of New York
427,North Carolina U.S. Circuit for (all) District(s) of North Carolina
428,Ohio U.S. Circuit for (all) District(s) of Ohio
429,Oregon U.S. Circuit for the District of Oregon
430,Pennsylvania U.S. Circuit for (all) District(s) of Pennsylvania
431,Rhode Island U.S. Circuit for the District of Rhode Island
432,South Carolina U.S. Circuit for the District of South Carolina
433,Tennessee U.S. Circuit for (all) District(s) of Tennessee
434,Texas U.S. Circuit for (all) District(s) of Texas
435,Vermont U.S. Circuit for the District of Vermont
436,Virginia U.S. Circuit for (all) District(s) of Virginia
437,West Virginia U.S. Circuit for (all) District(s) of West Virginia
438,Wisconsin U.S. Circuit for (all) District(s) of Wisconsin
439,Wyoming U.S. Circuit for the District of Wyoming
440,Circuit Court of the District of Columbia
441,Nebraska U.S. Circuit for the District of Nebraska
442,Colorado U.S. Circuit for the District of Colorado
443,Washington U.S. Circuit for (all) District(s) of Washington
444,Idaho U.S. Circuit Court for (all) District(s) of Idaho
445,Montana U.S. Circuit Court for (all) District(s) of Montana
446,Utah U.S. Circuit Court for (all) District(s) of Utah
447,South Dakota U.S. Circuit Court for (all) District(s) of South Dakota
448,North Dakota U.S. Circuit Court for (all) District(s) of North Dakota
449,Oklahoma U.S. Circuit Court for (all) District(s) of Oklahoma
601,Court of Private Land Claims
