STATE GOVERNMENT FINANCES: 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands.  Per capita amounts in dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,
    Miscellaneous general revenue,"73,463,206","778,771","5,401,677","788,771","482,715","4,812,689","982,242","1,098,900","660,545","3,877,605","1,339,925","328,384","343,868","2,974,288","1,346,982","689,103","490,544","1,017,851","1,417,171","470,804","1,381,276","3,156,037","2,562,533","1,247,103","427,970","1,214,435","309,171","419,830","258,047","524,896","3,302,954","1,069,651","6,325,146","1,283,027","155,462","2,523,431","549,341","1,589,701","2,959,184","526,252","674,070","301,416","515,229","4,502,925","501,561","202,726","1,998,021","1,124,234","513,485","1,499,970","541,287",,,,,,,,,,,,,,,
  Utility revenue,"4,204,677",0,"21,862","20,550",0,"159,623",0,"23,567","8,611","5,343",0,0,0,0,0,0,0,0,"6,248",0,"95,248","76,278",0,0,0,0,0,0,"26,582",85,"470,491",0,"2,278,627",0,0,0,"273,714",0,0,"9,899","727,824",0,0,0,0,0,0,0,125,0,0,,,,,,,,,,,,,,,
  Liquor stores revenue,"3,482,573","141,878",0,0,0,0,0,0,0,0,0,0,"50,252",0,0,"94,066",0,0,0,"70,638",0,0,"513,890",0,"148,358",0,"33,991",0,0,"254,500",0,0,0,0,0,"428,891",0,"200,516","776,059",0,0,0,0,0,"102,876","27,868","258,562","294,913","46,675",0,"38,640",,,,,,,,,,,,,,,
  Insurance trust revenue,"223,311,199","2,268,663","1,044,058","4,748,183","1,762,710","33,737,613","2,560,829","2,044,641","702,299","14,966,208","5,542,416","1,286,998","1,063,202","6,673,614","1,395,036","1,114,289","659,030","3,020,123","3,950,206","1,052,103","4,874,772","2,357,266","3,470,557","6,652,588","2,062,956","4,136,585","611,455","806,390","2,678,527","787,590","8,179,506","1,931,516","13,132,642","9,377,137","595,095","15,404,292","2,501,084","4,214,620","10,894,196","646,439","3,059,995","775,917","2,588,869","9,741,380","2,031,771","148,289","6,391,886","8,606,016","1,555,892","3,225,958","277,792",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"930,036,567","13,728,431","5,803,173","13,327,967","8,103,515","120,329,505","11,277,701","14,516,273","3,465,428","39,214,010","21,735,461","5,860,425","3,785,613","35,685,258","17,223,182","9,729,171","7,681,014","13,541,073","14,918,718","4,606,471","16,578,483","27,194,316","37,409,791","18,418,302","9,335,836","15,313,244","3,262,167","4,753,513","5,397,584","3,477,180","31,701,874","7,539,619","87,338,292","24,604,942","2,526,823","39,209,266","9,952,733","13,465,691","40,803,540","3,964,337","13,574,926","2,244,814","14,775,178","51,064,773","7,470,282","2,295,310","20,529,276","22,879,901","7,148,810","19,101,351","2,172,024",,,,,,,,,,,,,,,
  Intergovernmental expenditure,"278,853,409","3,419,845","983,153","5,023,261","2,109,996","51,053,075","3,159,458","2,627,781","591,279","12,537,431","6,310,697","147,059","1,104,201","9,862,059","5,883,074","2,794,519","2,508,870","3,006,904","3,451,053","851,942","3,710,641","6,215,380","15,430,418","6,022,123","2,876,187","4,176,567","712,620","1,291,135","1,915,179","454,682","7,176,343","2,186,948","27,271,351","7,928,480","541,455","11,214,371","2,802,808","3,706,815","10,157,714","548,018","3,142,089","493,167","3,923,819","14,026,888","1,716,976","355,608","5,660,133","6,048,013","1,530,110","7,481,155","710,559",,,,,,,,,,,,,,,
  Direct expenditure,"651,183,158","10,308,586","4,820,020","8,304,706","5,993,519","69,276,430","8,118,243","11,888,492","2,874,149","26,676,579","15,424,764","5,713,366","2,681,412","25,823,199","11,340,108","6,934,652","5,172,144","10,534,169","11,467,665","3,754,529","12,867,842","20,978,936","21,979,373","12,396,179","6,459,649","11,136,677","2,549,547","3,462,378","3,482,405","3,022,498","24,525,531","5,352,671","60,066,941","16,676,462","1,985,368","27,994,895","7,149,925","9,758,876","30,645,826","3,416,319","10,432,837","1,751,647","10,851,359","37,037,885","5,753,306","1,939,702","14,869,143","16,831,888","5,618,700","11,620,196","1,461,465",,,,,,,,,,,,,,,
    Current operation,"446,439,710","7,575,449","3,486,538","5,660,035","4,457,537","48,496,657","5,720,705","7,845,322","2,027,100","18,993,077","10,891,834","3,926,361","1,816,872","17,103,170","8,658,561","5,138,217","3,552,824","7,399,034","8,084,666","2,837,904","8,655,036","13,642,119","15,534,549","8,610,822","4,452,290","7,853,817","1,666,753","2,587,584","2,169,743","2,092,744","15,943,789","4,007,079","39,982,970","11,756,082","1,440,271","15,839,114","5,064,655","5,976,117","21,381,277","2,239,177","7,852,702","1,158,976","7,975,087","26,233,907","3,772,561","1,486,838","10,470,565","10,754,012","3,740,317","7,559,513","867,381",,,,,,,,,,,,,,,
    Capital outlay,"64,441,178","755,486","382,310","888,544","753,271","3,620,157","899,355","846,824","346,528","3,325,318","2,003,708","650,864","305,630","2,008,264","1,223,934","795,715","766,392","1,161,168","1,196,247","198,502","1,236,463","2,915,829","1,624,034","1,108,448","1,013,915","1,233,932","346,427","487,741","443,335","240,612","2,721,046","391,074","6,454,288","2,073,446","256,639","2,919,070","660,558","779,549","2,192,504","228,411","865,033","315,360","1,419,360","3,672,504","1,187,032","129,860","1,780,894","1,666,146","621,045","1,044,879","283,527",,,,,,,,,,,,,,,
    Insurance benefits and repayments,"91,198,047","1,107,068","548,390","1,230,712","531,447","13,564,056","1,167,562","1,635,081","218,959","2,482,895","1,454,274","598,946","368,762","3,679,928","945,097","633,894","640,851","1,249,597","1,492,478","385,312","1,729,198","1,931,114","2,948,674","1,755,966","690,420","1,121,912","342,408","188,931","618,305","217,625","4,313,525","595,789","8,515,164","1,934,317","199,602","7,004,014","1,005,146","2,376,020","4,483,292","512,674","1,069,675","124,758","896,250","4,659,719","466,675","110,929","1,250,201","2,966,536","894,373","2,121,294","218,232",,,,,,,,,,,,,,,
    Assistance and subsidies,"21,514,628","668,076","161,433","370,625","127,559","1,168,977","89,695","578,243","68,604","836,943","689,045","191,599","79,335","1,417,828","222,824","250,040","133,281","297,873","269,767","164,741","632,884","690,824","998,553","611,656","146,971","449,358","59,621","91,291","55,076","86,046","311,751","206,420","935,442","527,132","36,538","1,382,987","178,688","302,050","1,385,627","166,825","255,985","35,323","356,005","1,563,511","166,418","90,168","708,806","900,789","108,411","257,551","29,433",,,,,,,,,,,,,,,
    Interest on debt,"27,589,595","202,507","241,349","154,790","123,705","2,426,583","240,926","983,022","212,958","1,038,346","385,903","345,596","110,813","1,614,009","289,692","116,786","78,796","426,497","424,507","168,070","614,261","1,799,050","873,563","309,287","156,053","477,658","134,338","106,831","195,946","385,471","1,235,420","152,309","4,179,077","385,485","52,318","849,710","240,878","325,140","1,203,126","269,232","389,442","117,230","204,657","908,244","160,620","121,907","658,677","544,405","254,554","636,959","62,892",,,,,,,,,,,,,,,
Exhibit: Salaries and wages,"139,969,688","2,522,557","977,778","2,280,083","1,543,261","14,268,096","2,235,670","2,687,424","830,022","7,014,591","3,364,822","1,511,263","646,011","4,405,492","2,605,913","1,592,413","1,415,457","2,508,150","3,158,727","614,576","2,844,779","3,508,022","5,378,975","3,047,451","1,504,935","2,533,149","534,686","1,043,884","912,214","593,020","5,621,886","1,277,138","10,309,890","4,204,380","448,383","4,989,041","1,804,590","1,903,691","5,176,778","751,378","2,694,447","359,860","2,351,934","7,006,120","1,417,352","440,753","3,653,279","3,839,701","907,797","2,432,060","295,809",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"930,036,567","13,728,431","5,803,173","13,327,967","8,103,515","120,329,505","11,277,701","14,516,273","3,465,428","39,214,010","21,735,461","5,860,425","3,785,613","35,685,258","17,223,182","9,729,171","7,681,014","13,541,073","14,918,718","4,606,471","16,578,483","27,194,316","37,409,791","18,418,302","9,335,836","15,313,244","3,262,167","4,753,513","5,397,584","3,477,180","31,701,874","7,539,619","87,338,292","24,604,942","2,526,823","39,209,266","9,952,733","13,465,691","40,803,540","3,964,337","13,574,926","2,244,814","14,775,178","51,064,773","7,470,282","2,295,310","20,529,276","22,879,901","7,148,810","19,101,351","2,172,024",,,,,,,,,,,,,,,
  General expenditure,"827,653,545","12,475,614","5,230,194","12,069,852","7,572,068","106,680,820","10,104,647","12,680,829","3,203,423","36,662,429","20,281,187","5,261,479","3,376,692","32,005,330","16,278,085","9,030,380","7,040,163","12,283,555","13,423,327","4,173,227","14,481,262","25,152,926","34,066,033","16,662,336","8,526,198","14,191,332","2,889,840","4,564,582","4,696,321","3,039,479","25,974,058","6,943,830","73,869,205","22,670,625","2,327,221","31,943,277","8,693,045","10,967,163","35,603,075","3,413,431","11,845,862","2,120,056","13,875,109","46,405,054","6,926,890","2,154,062","19,036,655","19,670,796","6,210,754","16,980,057","1,919,710",,,,,,,,,,,,,,,
    Intergovernmental expenditure,"278,853,409","3,419,845","983,153","5,023,261","2,109,996","51,053,075","3,159,458","2,627,781","591,279","12,537,431","6,310,697","147,059","1,104,201","9,862,059","5,883,074","2,794,519","2,508,870","3,006,904","3,451,053","851,942","3,710,641","6,215,380","15,430,418","6,022,123","2,876,187","4,176,567","712,620","1,291,135","1,915,179","454,682","7,176,343","2,186,948","27,271,351","7,928,480","541,455","11,214,371","2,802,808","3,706,815","10,157,714","548,018","3,142,089","493,167","3,923,819","14,026,888","1,716,976","355,608","5,660,133","6,048,013","1,530,110","7,481,155","710,559",,,,,,,,,,,,,,,
    Direct expenditure,"548,800,136","9,055,769","4,247,041","7,046,591","5,462,072","55,627,745","6,945,189","10,053,048","2,612,144","24,124,998","13,970,490","5,114,420","2,272,491","22,143,271","10,395,011","6,235,861","4,531,293","9,276,651","9,972,274","3,321,285","10,770,621","18,937,546","18,635,615","10,640,213","5,650,011","10,014,765","2,177,220","3,273,447","2,781,142","2,584,797","18,797,715","4,756,882","46,597,854","14,742,145","1,785,766","20,728,906","5,890,237","7,260,348","25,445,361","2,865,413","8,703,773","1,626,889","9,951,290","32,378,166","5,209,914","1,798,454","13,376,522","13,622,783","4,680,644","9,498,902","1,209,151",,,,,,,,,,,,,,,
"  General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Education,"294,813,967","5,362,196","1,207,913","4,392,711","3,019,425","38,139,544","4,333,068","3,143,491","1,071,578","12,594,739","9,191,987","1,636,140","1,402,567","9,865,236","6,833,269","3,744,201","3,237,140","4,574,047","4,827,916","1,171,467","4,770,296","5,477,503","15,405,529","6,481,515","3,041,818","5,450,817","1,058,894","1,683,083","1,835,050","693,769","8,460,330","2,622,644","17,402,994","9,495,500","809,866","11,602,317","3,922,300","4,209,031","11,013,141","982,103","4,208,554","642,539","4,919,897","19,769,645","3,179,399","679,263","7,489,643","8,198,270","2,301,476","6,595,328","662,818",,,,,,,,,,,,,,,
    Public welfare,"207,926,206","3,027,120","758,931","2,648,198","1,796,670","30,411,684","2,401,070","3,036,491","501,377","8,159,979","4,691,784","919,329","594,902","8,905,100","3,298,261","1,937,222","1,092,556","3,291,011","2,957,958","1,397,211","3,254,774","6,181,247","6,835,409","4,558,705","1,887,879","3,301,240","465,737","1,108,310","723,363","924,685","5,234,703","1,276,673","28,537,685","4,885,953","462,372","8,146,684","1,748,808","2,351,201","10,516,078","1,017,366","2,955,074","409,795","4,196,566","10,833,211","1,041,917","565,386","3,420,433","4,339,781","1,647,612","3,007,116","263,589",,,,,,,,,,,,,,,
    Hospitals,"28,928,103","948,312","26,311","62,466","371,271","2,431,517","150,831","1,054,818","56,801","502,081","700,255","231,668","45,164","806,842","216,860","537,465","285,042","444,045","1,212,424","49,431","336,751","524,659","1,118,566","231,861","466,143","460,591","39,852","140,758","82,491","46,904","1,022,082","319,694","3,346,194","829,645","45,006","1,014,384","257,278","467,787","1,538,005","77,953","707,356","40,654","555,729","2,305,130","353,279","8,672","1,274,442","587,524","78,360","487,563","29,186",,,,,,,,,,,,,,,
    Health,"35,066,884","554,980","161,108","656,826","271,451","6,388,493","282,136","402,252","184,013","1,840,385","681,884","269,974","93,361","1,733,954","421,808","194,559","293,522","318,865","380,552","251,644","773,271","1,396,566","2,200,499","467,222","248,810","603,186","188,941","217,079","92,485","122,456","813,249","267,416","2,351,440","961,591","45,534","1,480,747","340,508","371,130","1,360,888","129,777","627,252","59,841","522,405","1,450,106","183,665","58,618","535,124","1,081,493","131,488","524,385","77,945",,,,,,,,,,,,,,,
    Highways,"63,619,723","882,080","549,996","1,192,360","779,160","4,631,083","989,106","685,700","287,672","3,254,239","1,282,449","248,700","397,106","2,475,229","1,721,220","1,055,929","936,852","1,172,164","981,487","325,590","1,198,105","2,386,682","2,186,323","1,240,704","867,780","1,278,170","349,196","572,780","389,074","318,049","1,864,700","875,468","2,772,205","2,075,677","322,002","2,631,239","861,893","994,968","3,069,182","189,681","711,195","347,399","1,374,234","3,520,271","934,933","220,338","2,231,629","1,527,968","806,824","1,352,012","300,920",,,,,,,,,,,,,,,
    Police protection,"8,038,265","102,178","57,963","134,753","63,150","1,145,727","62,578","114,216","54,276","337,665","150,635","6,966","36,034","332,364","179,143","65,801","45,021","129,274","207,625","40,455","273,975","306,873","255,842","114,120","55,715","154,872","34,833","46,980","43,838","32,784","252,699","54,659","419,160","255,059","10,772","207,888","27,361","138,279","703,188","25,495","170,145","17,140","103,110","291,058","61,277","32,053","348,330","215,955","43,660","61,316","14,005",,,,,,,,,,,,,,,
    Correction,"30,600,550","257,214","158,809","717,458","205,929","3,437,824","619,477","480,406","142,219","1,931,914","857,067","120,854","123,853","1,066,498","447,358","227,326","254,981","304,348","447,672","72,311","742,354","861,816","1,314,740","332,410","220,605","461,253","86,907","118,779","205,550","60,588","1,066,895","196,329","2,372,095","980,517","31,602","1,369,457","415,996","472,231","1,229,494","126,578","422,760","57,511","441,404","2,598,309","187,668","39,099","933,078","564,964","120,013","654,545","41,485",,,,,,,,,,,,,,,
    Natural resources,"13,540,517","180,408","264,689","155,794","161,955","2,082,181","156,021","73,103","42,599","1,067,914","417,590","87,103","117,740","285,842","167,774","220,096","158,056","242,064","359,124","117,838","306,531","251,467","376,934","396,474","190,599","247,236","148,188","135,993","62,445","32,827","303,203","85,318","343,235","451,922","83,178","308,937","153,353","264,394","505,277","37,752","185,264","79,741","176,907","642,634","132,780","64,189","148,678","498,543","140,556","308,614","119,457",,,,,,,,,,,,,,,
    Parks and recreation,"4,472,668","20,222","16,992","47,853","49,440","270,490","49,089","42,325","35,207","133,437","163,141","49,939","20,909","222,700","57,826","19,672","6,187","106,258","276,597","9,184","237,614","141,430","46,635","125,068","138,674","38,075","7,099","26,999","18,486","8,201","619,236","41,923","376,460","135,465","7,992","111,756","53,029","34,144","121,109","34,044","49,984","20,792","124,120","66,426","25,624","8,958","55,796","77,472","48,358","55,776","18,455",,,,,,,,,,,,,,,
    Governmental administration,"30,576,839","318,143","345,166","419,284","262,013","3,727,512","334,164","676,949","274,842","1,671,987","530,047","273,181","124,281","1,060,494","435,247","344,800","263,244","500,590","423,166","173,828","700,176","1,068,414","755,266","668,855","232,400","551,308","174,529","128,192","204,573","159,206","1,174,866","277,068","3,497,236","624,280","71,145","1,046,167","367,672","660,689","1,142,874","195,295","288,667","88,242","360,630","1,311,198","354,255","141,643","863,247","463,322","281,659","479,110","85,717",,,,,,,,,,,,,,,
    Interest on general debt,"26,775,657","202,507","224,744","151,061","123,705","2,419,888","237,246","983,022","212,958","1,038,346","385,903","345,596","110,813","1,614,009","289,692","116,786","78,796","426,497","424,507","168,070","614,261","1,775,250","873,563","309,287","156,053","477,658","134,338","106,831","174,364","385,471","1,227,757","152,309","3,693,869","385,485","52,318","849,710","163,979","325,140","1,203,126","269,227","221,370","117,230","204,657","908,244","160,620","121,907","658,677","544,405","254,554","636,959","62,892",,,,,,,,,,,,,,,
    Other and unallocable,"83,294,166","620,254","1,457,572","1,491,088","467,899","11,594,877","489,861","1,988,056","339,881","4,129,743","1,228,445","1,072,029","309,962","3,637,062","2,209,627","566,523","388,766","774,392","924,299","396,198","1,273,154","4,781,019","2,696,727","1,736,115","1,019,722","1,166,926","201,326","278,798","864,602","254,539","3,934,338","774,329","8,756,632","1,589,531","385,434","3,173,991","380,868","678,169","3,200,713","328,160","1,298,241","239,172","895,450","2,708,822","311,473","213,936","1,077,578","1,571,099","356,194","2,817,333","243,241",,,,,,,,,,,,,,,
  Utility expenditure,"8,365,190",0,"24,589","27,403",0,"84,629","5,492","200,363","43,046","68,686",0,0,0,0,0,0,0,"7,921","2,913",0,"368,023","110,276",0,0,0,0,0,0,"82,958",569,"1,414,291",0,"4,953,923",0,0,0,"254,542",825,0,"38,232","659,389",0,"3,819",0,0,"4,014","5,754",0,"3,533",0,0,,,,,,,,,,,,,,,
  Liquor stores expenditure,"2,819,785","145,749",0,0,0,0,0,0,0,0,0,0,"40,159",0,0,"64,897",0,0,0,"47,932",0,0,"395,084",0,"119,218",0,"29,919",0,0,"219,507",0,0,0,0,0,"261,975",0,"121,683","717,173",0,0,0,0,0,"76,717","26,305","236,666","242,569","40,150",0,"34,082",,,,,,,,,,,,,,,
  Insurance trust expenditure,"91,198,047","1,107,068","548,390","1,230,712","531,447","13,564,056","1,167,562","1,635,081","218,959","2,482,895","1,454,274","598,946","368,762","3,679,928","945,097","633,894","640,851","1,249,597","1,492,478","385,312","1,729,198","1,931,114","2,948,674","1,755,966","690,420","1,121,912","342,408","188,931","618,305","217,625","4,313,525","595,789","8,515,164","1,934,317","199,602","7,004,014","1,005,146","2,376,020","4,483,292","512,674","1,069,675","124,758","896,250","4,659,719","466,675","110,929","1,250,201","2,966,536","894,373","2,121,294","218,232",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Debt at end of fiscal year,"483,117,137","4,166,572","3,799,708","2,806,922","2,384,116","50,250,539","3,637,200","17,727,048","3,770,259","16,969,289","6,039,633","5,709,739","1,883,221","25,314,532","6,704,287","2,029,300","1,411,135","6,813,880","7,093,467","3,474,244","10,536,254","32,833,163","16,147,205","5,332,686","2,673,577","8,091,313","2,258,784","1,908,357","2,880,506","5,367,479","27,213,664","2,571,766","73,254,370","6,877,271","857,474","14,182,878","3,951,153","5,729,123","16,393,928","5,351,703","5,191,423","2,067,990","3,191,892","14,408,011","3,435,168","2,109,788","10,828,138","10,289,381","3,433,365","10,720,738","1,043,498",,,,,,,,,,,,,,,
