"State","Year","Production.Coal","Consumption.Commercial.Coal","Consumption.Commercial.Distillate Fuel Oil","Consumption.Commercial.Geothermal","Consumption.Commercial.Hydropower","Consumption.Commercial.Kerosene","Consumption.Commercial.Petroleum","Consumption.Commercial.Natural Gas","Consumption.Commercial.Solar","Consumption.Commercial.Wind","Consumption.Commercial.Wood","Consumption.Electric Power.Coal","Consumption.Electric Power.Distillate Fuel Oil","Consumption.Electric Power.Natural Gas","Consumption.Electric Power.Wood","Consumption.Industrial.Coal","Consumption.Industrial.Distillate Fuel Oil","Consumption.Industrial.Geothermal","Consumption.Industrial.Hydropower","Consumption.Industrial.Kerosene","Consumption.Industrial.Petroleum","Consumption.Industrial.Natural Gas","Consumption.Industrial.Other Petroleum Products","Consumption.Industrial.Solar","Consumption.Industrial.Wind","Consumption.Industrial.Wood","Consumption.Refinery.Coal","Consumption.Refinery.Distillate Fuel Oil","Consumption.Refinery.Natural Gas","Consumption.Residential.Coal","Consumption.Residential.Distillate Fuel Oil","Consumption.Residential.Geothermal","Consumption.Residential.Kerosene","Consumption.Residential.Petroleum","Consumption.Residential.Natural Gas","Consumption.Residential.Wood","Consumption.Transportation.Coal","Consumption.Transportation.Distillate Fuel Oil","Consumption.Transportation.Petroleum","Consumption.Transportation.Natural Gas","Expenditure.Commercial.Coal","Expenditure.Commercial.Distillate Fuel Oil","Expenditure.Commercial.Kerosene","Expenditure.Commercial.Petroleum","Expenditure.Commercial.Natural Gas","Expenditure.Electric Power.Coal","Expenditure.Electric Power.Distillate Fuel Oil","Expenditure.Electric Power.Natural Gas","Expenditure.Industrial.Coal","Expenditure.Industrial.Distillate Fuel Oil","Expenditure.Industrial.Kerosene","Expenditure.Industrial.Petroleum","Expenditure.Industrial.Natural Gas","Expenditure.Industrial.Other Petroleum Products","Expenditure.Residential.Coal","Expenditure.Residential.Distillate Fuel Oil","Expenditure.Residential.Kerosene","Expenditure.Residential.Petroleum","Expenditure.Residential.Natural Gas","Expenditure.Residential.Wood","Expenditure.Transportation.Coal","Expenditure.Transportation.Distillate Fuel Oil","Expenditure.Transportation.Petroleum","Expenditure.Transportation.Natural Gas","Price.Commercial.Coal","Price.Commercial.Distillate Fuel Oil","Price.Commercial.Kerosene","Price.Commercial.Petroleum","Price.Commercial.Natural Gas","Price.Electric Power.Coal","Price.Electric Power.Distillate Fuel Oil","Price.Electric Power.Natural Gas","Price.Industrial.Coal","Price.Industrial.Distillate Fuel Oil","Price.Industrial.Kerosene","Price.Industrial.Petroleum","Price.Industrial.Natural Gas","Price.Industrial.Other Petroleum Products","Price.Transportation.Coal","Price.Transportation.Distillate Fuel Oil","Price.Transportation.Petroleum","Price.Transportation.Natural Gas"
"Alaska","1974","10920.0","195.0","3109.0","0.0","0.0","0.0","9708.0","13167.0","0.0","0.0","20.0","4634.0","2789.0","17220.0","0.0","7560.0","9951.0","0.0","0.0","159.0","17592.0","28509.0","4657.0","0.0","0.0","3836.0","0.0","751.0","4695.0","92.0","10041.0","0.0","437.0","10690.0","4182.0","1066.0","4.0","14020.0","76689.0","111.0","0.2","7.7","0.0","28.6","11.5","3.8","7.8","8.6","8.9","22.4","0.4","29.6","7.0","0.4","0.2","26.4","1.3","28.9","6.6","0.5","0.0","40.7","196.3","0.0","1.18","2.47","0.0","2.95","0.87","0.82","2.81","0.5","1.18","2.44","2.8","2.39","0.75","1.15","1.18","2.9","2.56","0.0"
"Alaska","1975","11950.0","205.0","2923.0","0.0","0.0","0.0","8749.0","14483.0","0.0","0.0","27.0","4471.0","4044.0","19737.0","0.0","10504.0","12331.0","0.0","0.0","182.0","20614.0","40419.0","4627.0","0.0","0.0","3457.0","0.0","840.0","5815.0","88.0","9441.0","0.0","517.0","10134.0","10442.0","1410.0","2.0","12562.0","79569.0","94.0","0.3","7.6","0.0","28.0","14.0","4.3","12.5","10.1","16.5","30.8","0.5","40.7","13.5","0.5","0.3","26.4","1.7","29.2","16.9","0.7","0.0","39.3","243.3","0.0","1.57","2.6","0.0","3.2","0.97","0.96","3.1","0.51","1.57","2.68","3.02","2.65","0.81","1.31","1.57","3.13","3.06","0.0"
"Alaska","1976","11014.0","173.0","3609.0","0.0","0.0","0.0","8232.0","14257.0","0.0","0.0","29.0","4391.0","4676.0","22337.0","0.0","9070.0","18644.0","0.0","0.0","196.0","27121.0","42858.0","4496.0","0.0","0.0","3646.0","0.0","764.0","6855.0","71.0","11656.0","0.0","168.0","12077.0","10968.0","1548.0","1.0","16963.0","88972.0","151.0","0.3","10.5","0.0","27.6","14.7","4.3","17.1","14.7","13.2","50.6","0.6","61.6","17.2","0.5","0.2","36.2","0.6","38.4","18.0","0.8","0.0","56.0","298.5","0.0","1.46","2.9","0.0","3.35","1.03","0.98","3.65","0.66","1.46","2.83","3.29","2.79","0.86","1.38","1.46","3.3","3.36","0.0"
"Alaska","1977","10998.0","176.0","4064.0","0.0","0.0","0.0","10279.0","14633.0","0.0","0.0","34.0","4366.0","5274.0","23675.0","0.0","5648.0","21218.0","0.0","0.0","242.0","32037.0","66955.0","6164.0","0.0","0.0","4266.0","0.0","910.0","10816.0","69.0","13126.0","0.0","248.0","13529.0","11336.0","1806.0","0.0","17138.0","93783.0","261.0","0.3","12.7","0.0","39.0","19.6","4.7","20.9","17.9","8.7","64.9","0.9","78.4","39.0","0.9","0.2","43.8","0.9","45.8","19.3","1.1","0.0","61.6","336.8","0.0","1.54","3.12","0.0","3.79","1.34","1.08","3.97","0.76","1.54","3.19","3.65","3.11","1.01","1.66","1.54","3.6","3.59","0.0"
"Alaska","1978","11404.0","0.0","4783.0","0.0","0.0","0.0","9947.0","15189.0","0.0","0.0","38.0","4689.0","5190.0","24578.0","0.0","0.0","21669.0","0.0","0.0","238.0","34632.0","92919.0","8168.0","0.0","0.0","3904.0","0.0","449.0","15638.0","0.0","15450.0","0.0","227.0","15964.0","12151.0","1978.0","0.0","15944.0","97749.0","187.0","0.0","16.6","0.0","38.0","20.2","6.1","20.2","20.3","0.0","74.6","1.0","91.2","59.0","0.9","0.0","59.3","1.0","62.3","21.4","1.3","0.0","61.8","365.4","0.0","0.0","3.47","0.0","3.82","1.33","1.29","3.89","0.83","0.0","3.51","4.11","3.47","0.96","1.19","0.0","3.88","3.74","0.0"
"Alaska","1979","12308.0","0.0","1699.0","0.0","0.0","0.0","3598.0","15841.0","0.0","0.0","52.0","4182.0","5359.0","28465.0","0.0","0.0","11101.0","0.0","0.0","1650.0","23652.0","104748.0","8467.0","0.0","0.0","3199.0","0.0","422.0","16870.0","0.0","5488.0","0.0","4315.0","10039.0","7303.0","2735.0","0.0","10183.0","84963.0","879.0","0.0","7.9","0.0","21.4","16.4","5.5","29.6","24.5","0.0","53.2","9.3","74.5","79.5","1.5","0.0","27.0","23.3","52.5","12.5","2.5","0.0","53.8","429.4","0.0","0.0","4.65","0.0","5.94","1.03","1.31","5.53","0.86","0.0","4.98","5.64","4.9","1.05","2.88","0.0","5.28","5.05","0.0"
"Alaska","1980","12340.0","0.0","3359.0","0.0","0.0","0.0","4855.0","16551.0","0.0","0.0","24.0","4310.0","3136.0","28935.0","0.0","0.0","10393.0","0.0","0.0","108.0","22446.0","100254.0","8676.0","0.0","0.0","1752.0","0.0","190.0","19556.0","0.0","6829.0","0.0","0.0","6978.0","7935.0","947.0","0.0","15174.0","89675.0","129.0","0.0","22.7","0.0","37.0","17.5","8.2","17.2","13.8","0.0","64.0","0.8","84.0","19.5","2.5","0.0","48.2","0.0","50.0","13.8","1.2","0.0","112.1","655.9","0.0","0.0","6.75","0.0","7.63","1.06","1.91","5.48","0.48","0.0","6.27","7.29","5.96","0.39","4.04","0.0","7.39","7.31","0.0"
"Alaska","1981","12605.0","6114.0","3097.0","0.0","0.0","0.0","4493.0","16209.0","0.0","0.0","28.0","5064.0","3243.0","29216.0","0.0","0.0","11994.0","0.0","0.0","204.0","20228.0","68584.0","5596.0","0.0","0.0","1754.0","0.0","53.0","11328.0","1342.0","5300.0","0.0","0.0","5405.0","7933.0","1169.0","0.0","14499.0","100966.0","272.0","21.0","25.0","0.0","40.6","22.7","9.6","38.1","16.0","0.0","83.3","1.6","99.2","15.0","1.5","12.9","45.1","0.0","46.5","15.4","1.9","0.0","128.4","884.7","0.0","3.44","8.06","0.0","9.04","1.4","1.9","11.74","0.55","0.0","6.98","7.91","6.69","0.36","4.46","0.0","8.86","8.76","0.0"
"Alaska","1982","12995.0","6531.0","2799.0","0.0","0.0","136.0","4924.0","24210.0","0.0","0.0","24.0","5314.0","3410.0","31174.0","0.0","0.0","14096.0","0.0","0.0","7020.0","30325.0","171698.0","6140.0","0.0","0.0","1660.0","0.0","71.0","23084.0","1338.0","6551.0","0.0","0.0","6726.0","10545.0","1062.0","0.0","9908.0","101985.0","254.0","23.0","22.4","1.0","45.1","38.6","7.0","25.6","22.0","0.0","78.7","53.1","147.4","31.7","1.1","13.6","55.5","0.0","57.9","19.0","1.6","0.0","86.9","876.1","0.0","3.52","8.01","7.57","9.16","1.59","1.32","7.49","0.71","0.0","5.61","7.57","6.04","0.58","2.72","0.0","8.77","8.59","0.0"
"Alaska","1983","12262.0","6158.0","6062.0","0.0","0.0","30.0","7673.0","24728.0","0.0","0.0","29.0","5072.0","3481.0","31536.0","0.0","0.0","5376.0","0.0","0.0","50.0","39754.0","172710.0","31583.0","0.0","0.0","1850.0","0.0","63.0","24979.0","1173.0","6954.0","0.0","14.0","7243.0","10449.0","1298.0","0.0","20678.0","115687.0","256.0","18.4","43.8","0.2","59.6","47.9","8.9","30.3","32.9","0.0","37.7","0.3","53.5","33.5","1.8","9.3","54.6","0.1","58.7","24.4","1.9","0.0","155.0","893.5","0.0","2.99","7.23","8.01","7.77","1.94","1.74","8.72","1.04","0.0","7.09","6.79","6.26","0.67","3.67","0.0","7.5","7.72","0.0"
"Alaska","1984","13400.0","6412.0","7108.0","0.0","0.0","31.0","8605.0","24690.0","0.0","0.0","41.0","4967.0","3243.0","31771.0","0.0","0.0","6303.0","0.0","0.0","32.0","40497.0","183798.0","30860.0","0.0","0.0","1838.0","0.0","120.0","23342.0","1504.0","8153.0","0.0","17.0","8565.0","11850.0","1815.0","0.0","21868.0","137068.0","5930.0","16.4","49.1","0.2","62.7","50.9","8.9","24.8","33.2","0.0","42.7","0.2","61.4","32.5","2.4","11.9","62.8","0.1","68.6","29.4","2.8","0.0","168.4","1023.9","0.0","2.55","6.91","7.92","7.29","2.06","1.8","7.64","1.04","0.0","6.9","6.58","6.07","0.66","3.62","0.0","7.7","7.47","0.0"
"Alaska","1985","22355.0","5386.0","5247.0","0.0","0.0","14.0","7045.0","20466.0","0.0","0.0","44.0","4682.0","3015.0","34400.0","0.0","0.0","9977.0","0.0","0.0","21.0","67297.0","140663.0","31041.0","0.0","0.0","1801.0","0.0","60.0","12189.0","1519.0","7420.0","0.0","6.0","7916.0","13336.0","1870.0","0.0","33743.0","148753.0","5178.0","13.2","36.4","0.2","55.0","48.1","8.4","21.3","31.8","0.0","66.6","0.1","176.8","45.2","3.3","11.8","57.9","0.1","64.8","37.3","2.7","0.0","270.1","1082.2","0.0","2.45","6.93","10.64","7.8","2.35","1.8","7.06","0.92","0.0","6.72","6.59","5.59","0.71","3.39","0.0","8.0","7.28","0.0"
"Alaska","1986","24492.0","6042.0","4949.0","0.0","0.0","28242.0","44916.0","21074.0","0.0","0.0","50.0","4302.0","2548.0","34615.0","0.0","0.0","6768.0","0.0","0.0","21.0","70923.0","134403.0","29130.0","0.0","0.0","504.0","0.0","292.0","17463.0","1805.0","6296.0","0.0","4.0","6688.0","12207.0","1703.0","0.0","23657.0","144685.0","6011.0","15.0","23.2","134.1","197.4","52.7","7.8","10.6","38.5","0.0","28.6","0.1","121.4","34.9","0.0","14.4","43.1","0.0","48.2","39.3","2.0","0.0","173.3","790.4","0.0","2.49","4.68","4.75","4.4","2.5","1.82","4.15","1.11","0.0","4.41","4.59","3.22","0.8","0.0","0.0","7.33","5.46","0.0"
"Alaska","1987","23275.0","0.0","5204.0","0.0","0.0","27163.0","45283.0","20415.0","0.0","0.0","80.0","4330.0","2450.0","30713.0","0.0","0.0","4961.0","0.0","0.0","2.0","41574.0","185884.0","25979.0","0.0","0.0","494.0","0.0","141.0","19668.0","0.0","7964.0","0.0","4.0","8371.0","12371.0","2346.0","0.0","20812.0","131764.0","2129.0","0.0","27.8","121.5","194.2","48.7","8.7","23.3","34.8","0.0","23.0","0.0","66.1","35.5","0.0","0.0","49.7","0.0","54.9","39.3","2.6","0.0","136.9","699.9","0.0","0.0","5.34","4.47","4.29","2.39","2.0","9.5","1.13","0.0","4.78","4.59","4.53","0.73","0.0","0.0","6.58","5.31","0.0"
"Alaska","1988","27222.0","0.0","4745.0","0.0","0.0","1069.0","8353.0","20920.0","0.0","0.0","88.0","4362.0","2470.0","31026.0","0.0","0.0","10926.0","0.0","0.0","2.0","47097.0","222308.0","30826.0","0.0","0.0","509.0","0.0","238.0","22770.0","0.0","6966.0","0.0","19.0","7413.0","12576.0","2504.0","0.0","22473.0","148486.0","1968.0","0.0","27.7","5.2","43.7","54.2","11.5","21.7","41.3","0.0","53.7","0.0","78.5","48.3","0.0","0.0","43.6","0.1","49.2","43.4","2.8","0.0","168.5","814.7","0.0","0.0","5.85","4.84","5.23","2.59","2.64","8.81","1.33","0.0","5.03","4.74","4.92","1.07","0.0","0.0","7.5","5.49","0.0"
"Alaska","1989","24679.0","0.0","4861.0","20.0","0.0","5.0","5526.0","21648.0","0.0","0.0","205.0","4719.0","2947.0","33631.0","248.0","0.0","10815.0","16.0","0.0","2.0","41033.0","250528.0","27804.0","0.0","0.0","6201.0","0.0","52.0","24320.0","0.0","8947.0","15.0","4.0","9458.0","13532.0","2532.0","0.0","36921.0","171514.0","1868.0","0.0","28.4","0.0","35.2","55.8","9.2","18.6","44.5","0.0","62.2","0.0","74.4","37.7","0.0","0.0","62.2","0.0","70.2","49.3","3.2","0.0","314.1","1064.7","0.0","0.0","5.83","5.13","6.38","2.58","1.95","6.31","1.32","0.0","5.78","5.25","5.67","1.08","0.0","0.0","8.51","6.21","0.0"
"Alaska","1990","26614.0","6241.0","6111.0","20.0","0.0","1.0","6974.0","20451.0","0.0","0.0","166.0","4585.0","2833.0","35295.0","0.0","0.0","8233.0","16.0","0.0","1.0","38496.0","256067.0","27247.0","0.0","0.0","6466.0","0.0","49.0","26989.0","1560.0","9070.0","15.0","15.0","9852.0","13398.0","1522.0","0.0","35193.0","167277.0","1616.0","21.6","41.6","0.0","49.4","56.9","11.3","29.4","54.6","0.0","55.0","0.0","68.4","58.5","0.0","12.4","72.0","0.1","84.9","53.7","3.0","0.0","317.7","1264.5","0.0","3.45","6.81","7.09","7.08","2.78","2.46","10.36","1.55","0.0","6.72","6.84","6.25","1.28","0.0","0.0","9.03","7.56","0.0"
