"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Adams County","ID","29.9","17.3","3.9","21.2","90.2","361","1.4","0.9","0.4","3.6","0.4","2.6","94.3","91.6","80.3","1757","2705","215500","2.29","48856","28026","1.2","1363.06","3.5","81.6","-1","24.8","48.6","531","4379","3976","2.9","-1","-1","321","84","108","0","279","0","269"
"Adams County","IL","20.7","22.6","6.3","25.0","92.5","3922","0.3","0.9","3.9","1.8","0.0","2.1","92.8","91.4","71.8","27112","30244","127800","2.38","52993","30343","1.4","855.2","2.1","88.9","-1","17.3","50.7","4516","65737","67103","78.5","103212","1066523","5074","1251","2617","269","4546","477","4158"
"Adams County","IN","15.9","31.4","9.3","15.5","84.7","3294","0.3","0.4","0.6","4.5","0.0","0.9","97.8","93.6","77.1","12481","13403","129300","2.79","52504","23316","0.9","339.03","14.8","87.7","2200553","21.9","50.0","1430","35809","34387","101.4","27655","377228","3500","859","2081","100","3230","201","3134"
"Adams County","MS","19.6","19.9","5.7","17.4","77.9","2404","0.5","0.6","53.4","10.1","0.0","1.0","44.4","35.5","62.4","11237","14732","92100","2.56","29936","18386","8.0","462.41","9.1","92.3","155037","22.3","48.0","1486","29538","32297","69.8","89285","488747","3323","1127","1793","1097","2111","417","2724"
"Adams County","ND","28.5","19.3","5.3","25.6","94.5","181","0.7","2.8","0.9","1.6","0.0","1.8","93.7","92.2","73.5","1035","1442","121200","2.16","56681","33458","1.9","987.62","3.8","92.4","-1","14.6","50.5","136","2200","2343","2.4","-1","43133","333","134","130","0","312","0","308"
"Adams County","NE","18.9","23.4","6.4","24.3","90.0","2251","1.3","1.3","1.3","11.0","0.1","1.3","94.7","85.1","66.5","12712","13964","128500","2.35","53023","28729","6.2","563.27","8.6","84.9","1858945","16.8","50.2","1834","31205","31364","55.7","52979","453261","2921","825","1379","199","2567","321","2360"
"Adams County","OH","18.5","23.8","6.1","13.2","80.2","1790","0.6","0.4","0.5","1.0","0.0","1.5","97.1","96.2","70.8","10673","12952","105300","2.57","39079","22366","0.5","583.87","1.7","89.3","103671","36.6","50.4","1784","27477","28550","48.9","21405","224892","2248","669","1272","72","2134","207","1935"
"Adams County","PA","21.1","19.8","4.9","22.3","88.8","6697","0.4","0.9","2.0","7.3","0.0","1.5","95.1","88.7","78.0","39345","42756","205800","2.5","67253","31590","4.1","518.67","6.3","89.1","2148659","28.3","50.8","7792","103852","101407","195.5","185678","801241","7450","2403","4222","201","6988","850","6145"
"Adams County","WA","11.3","35.9","9.6","14.3","66.9","835","6.2","1.4","2.2","64.7","0.1","1.7","88.5","32.5","63.1","5973","6722","154500","3.24","48294","20248","24.5","1924.98","55.0","86.7","-1","18.6","48.9","544","20613","18728","9.7","18696","157812","1163","364","613","390","717","107","986"
"Adams County","WI","30.2","14.1","3.4","13.9","87.5","1139","1.2","0.6","2.9","4.2","0.0","1.4","93.8","90.3","83.3","9062","17887","131100","2.09","46369","27241","2.9","645.65","4.9","87.9","-1","27.9","46.8","1940","20654","20875","32.3","55091","192300","1155","341","697","42","1089","216","846"
"Addison County","VT","20.7","16.5","4.2","39.6","93.5","3927","0.3","1.8","1.3","2.3","0.0","2.0","94.5","92.6","76.0","14584","17688","249700","2.32","68825","34741","4.8","766.33","6.0","86.7","-1","25.0","50.1","2038","37363","36821","48.0","55198","536912","4838","1390","2444","106","4537","375","4156"
"Aiken County","SC","19.9","21.4","5.7","26.4","88.0","11212","0.6","1.2","25.3","5.9","0.1","2.2","70.7","65.8","72.6","67598","78520","147300","2.45","51399","28396","4.5","1071.03","6.4","88.0","4639337","25.0","51.7","13195","168808","160099","149.5","-1","1749453","12138","4430","6598","2491","9200","1750","9711"
"Aitkin County","MN","33.8","16.5","3.7","18.1","91.2","1132","2.7","0.3","0.6","1.4","0.0","1.6","94.8","93.8","82.2","7681","17033","183200","2.03","49351","29275","1.2","1821.66","2.7","91.3","62065","27.8","49.5","1743","15697","16202","8.9","18806","173292","1445","274","700","0","1315","132","1187"
"Alachua County","FL","14.6","17.9","5.1","43.3","92.6","19727","0.4","6.2","20.6","10.5","0.1","2.9","69.9","60.6","55.0","97995","120226","186700","2.55","49689","28646","10.5","875.02","14.2","77.9","-1","22.4","51.8","15162","278468","247336","282.7","-1","3208691","20110","7177","10330","4816","14333","2217","16761"
"Alamance County","NC","17.1","22.0","5.9","24.8","86.3","10616","1.5","1.7","20.9","13.1","0.1","2.3","73.6","62.9","65.2","64439","72827","154800","2.46","49688","27312","7.9","423.94","12.6","85.9","3138351","24.2","52.5","9184","171415","151131","356.5","254425","2108413","10990","3804","5939","2283","8295","1203","9138"
"Alameda County","CA","14.3","20.3","5.7","47.4","88.4","150445","1.1","32.3","11.0","22.3","0.9","5.4","49.3","30.6","53.5","577177","622922","769300","2.82","99406","47314","32.5","739.02","45.6","87.2","-1","34.3","50.7","48602","1682353","1510271","2043.6","3192420","20901014","150564","57305","76387","75026","69300","10213","134032"
"Alamosa County","CO","13.9","24.2","6.3","25.0","86.9","1163","5.5","1.7","1.8","47.6","0.3","3.2","87.5","47.1","57.8","6162","7160","157500","2.44","37515","22131","9.1","722.64","30.1","82.1","13832","14.6","50.1","791","16376","15445","21.4","35395","280686","1674","540","807","512","1043","80","1490"
"Albany County","NY","17.4","18.3","5.0","41.8","92.1","19516","0.3","6.8","14.1","6.3","0.1","2.9","75.8","71.6","56.4","126540","142892","222500","2.29","66252","37635","10.9","522.8","13.2","84.9","3547362","20.9","51.6","14955","314848","304204","581.9","866586","5762775","23912","7125","14508","3223","19297","2019","20224"
"Albany County","WY","12.2","16.1","4.5","51.8","95.9","2732","1.1","3.9","2.0","9.7","0.1","2.6","90.3","81.9","51.0","15944","19540","235000","2.26","49322","29146","7.3","4273.84","10.8","67.4","-1","12.7","48.2","2325","37066","36299","8.5","79553","479554","3396","1250","1465","280","2870","229","2811"
"Albemarle County","VA","19.3","19.7","5.2","55.1","92.1","9931","0.4","5.5","9.7","5.8","0.1","2.6","81.8","76.9","63.3","41496","47081","356100","2.42","79880","44799","10.4","720.7","11.7","80.2","786381","22.0","52.1","6705","112395","98970","137.3","230570","1497509","11062","3967","5716","1236","9370","1306","8936"
"Alcona County","MI","36.1","12.6","3.0","16.9","89.3","638","0.7","0.4","0.5","1.6","0.1","1.4","96.8","95.3","88.8","4988","11241","112000","2.05","40484","25636","1.1","674.59","2.2","90.8","27534","25.8","49.7","1325","10167","10942","16.2","3930","52481","933","278","525","0","907","43","873"
"Alcorn County","MS","18.8","22.5","5.8","17.1","81.3","2466","0.4","0.4","12.4","3.2","0.0","1.3","85.5","82.7","68.7","14649","17330","102700","2.49","42086","23909","1.4","400.04","2.7","87.3","1092673","22.4","51.3","1759","34740","37057","92.6","55345","537985","3200","1051","1556","265","2726","286","2538"
"Aleutians East Borough","AK","10.5","7.6","2.0","11.5","85.5","216","20.2","43.4","10.2","14.8","1.2","3.9","21.1","9.1","63.8","890","755","119900","2.61","69250","33939","27.1","6981.94","33.8","83.6","-1","5.2","32.5","144","3420","3141","0.4","-1","-1","300","28","208","220","47","0","278"
"Aleutians West Census Area","AK","7.4","11.4","3.3","17.0","89.5","216","12.1","40.1","7.1","14.0","2.5","4.3","33.9","23.6","28.2","1187","1966","279200","3.74","87466","39647","41.6","4390.28","58.2","80.3","598515","8.0","34.0","283","5232","5561","1.3","14236","53426","343","66","229","157","156","0","297"
"Alexander County","IL","23.1","22.2","5.5","12.9","86.5","255","0.5","0.3","31.8","1.9","0.2","2.4","64.9","63.7","73.7","2154","3962","56000","2.85","36806","19519","0.3","235.51","0.8","89.8","-1","30.3","51.4","496","5240","8238","35.0","2164","24207","523","276","154","202","295","86","411"
"Alexander County","NC","20.4","19.9","5.0","14.2","82.4","2371","0.5","1.0","5.9","4.8","0.1","1.7","90.8","86.7","75.7","14169","16609","136500","2.53","48756","26688","3.3","259.99","6.0","90.3","591468","24.5","49.0","2052","36444","37198","143.1","-1","194767","2907","630","2028","99","2742","451","2326"
"Alexandria city","VA","11.3","18.2","7.1","63.1","93.0","-1","0.2","5.9","21.8","16.7","0.0","5.3","62.2","51.9","43.3","70598","-1","572900","2.21","100939","62679","27.2","15.03","33.5","79.0","273047","31.9","51.8","11220","159467","139966","9314.3","647469","2416013","17540","6882","9252","6304","10316","1777","14805"
"Alfalfa County","OK","20.3","19.4","4.7","21.8","85.2","385","4.2","0.4","4.7","6.0","0.1","3.1","87.4","83.1","80.2","1870","2714","85700","2.53","61852","27615","3.4","866.46","5.5","86.5","-1","20.2","40.3","529","5699","5642","6.5","3061","57139","518","136","234","45","454","38","430"
"Alger County","MI","26.3","15.0","3.8","17.4","89.9","570","4.5","0.5","7.3","1.7","0.0","3.1","84.7","83.4","84.0","3007","6718","136200","2.7","45570","20851","1.0","915.07","1.5","84.5","-1","25.3","44.7","843","8842","9601","10.5","16755","64637","806","243","323","62","674","52","646"
"Allamakee County","IA","23.5","23.5","7.0","17.8","88.3","1143","0.7","0.5","1.6","7.1","0.3","0.8","96.1","90.0","79.3","5953","7857","130400","2.27","52216","27892","5.3","639.08","11.3","89.2","262089","23.3","49.0","898","14061","14330","22.4","9701","144626","1300","492","594","0","1241","57","1181"
"Allegan County","MI","17.0","23.8","6.1","22.6","90.9","8324","0.7","0.9","1.6","7.5","0.0","1.9","94.9","88.1","82.6","43416","51987","165400","2.65","62965","29215","3.2","825.23","6.0","91.0","5286560","23.9","50.0","4913","120502","111408","135.0","131893","949923","9835","2942","5366","523","9078","691","8681"
"Allegany County","MD","20.6","17.3","4.5","18.9","90.2","2937","0.2","1.1","8.3","1.9","0.1","2.1","88.2","86.7","68.8","27399","32737","120700","2.31","45893","23607","1.9","424.16","4.0","84.6","-1","21.8","47.9","5018","68106","75087","177.0","-1","922837","4323","1373","2398","311","3738","417","3600"
"Allegany County","NY","19.6","20.1","5.3","20.9","90.8","2526","0.3","1.3","1.4","1.7","0.0","1.4","95.6","94.3","76.2","17948","26419","76400","2.33","48412","24857","2.5","1029.31","4.9","87.8","841770","22.0","49.2","3454","46456","48946","47.6","50027","271076","2710","920","1454","185","2427","244","2298"
"Alleghany County","NC","28.0","17.0","4.6","17.3","77.5","954","0.5","0.8","1.8","9.9","0.0","1.4","95.4","86.7","76.3","4920","8215","139800","2.21","37830","23267","5.8","235.06","7.6","92.0","-1","24.3","50.4","855","10888","11155","47.5","10835","67890","1132","280","707","123","953","71","982"
"Alleghany County","VA","25.5","18.3","4.4","15.0","86.0","644","0.3","0.3","4.7","1.6","0.1","1.9","92.8","91.4","76.2","6600","8010","119700","2.24","47673","27338","1.3","445.46","1.8","91.3","-1","25.6","51.1","1042","15223","16250","36.5","14048","75144","893","189","596","38","821","104","754"
"Allegheny County","PA","19.3","18.6","5.2","41.6","94.6","85700","0.2","4.2","13.4","2.3","0.0","2.3","79.9","78.1","64.3","541541","604258","154700","2.19","61043","38709","5.9","730.08","7.5","85.9","16279472","27.2","51.6","73723","1250578","1223348","1675.6","2940576","20553747","96501","30671","56123","12104","80217","9916","81176"
"Allen County","IN","14.9","25.6","7.0","28.5","89.4","24346","0.5","4.6","12.0","7.7","0.1","3.2","79.6","73.1","68.4","145065","160687","129300","2.53","54857","29160","6.7","657.31","11.1","84.9","16200141","21.6","51.1","20041","385410","355329","540.6","643110","5197668","28567","9538","15557","4632","22737","2880","24199"
"Allen County","KS","21.0","22.2","5.5","20.3","91.9","804","1.0","1.2","2.2","3.8","0.0","3.0","92.5","89.5","70.8","5372","6342","79300","2.26","45333","23734","1.3","500.3","2.4","86.1","470897","17.8","50.8","852","12526","13371","26.7","13195","152787","1497","349","672","97","1352","55","1291"
"Allen County","KY","18.1","23.0","6.0","16.1","82.1","1504","0.3","0.3","1.3","2.4","0.0","1.4","96.7","94.6","74.9","7605","9526","120600","2.72","44036","22294","1.9","344.34","6.4","89.8","-1","25.3","50.4","1046","20588","19956","58.0","-1","111261","1242","334","765","0","1201","104","1082"
"Allen County","OH","18.1","23.0","6.1","18.9","90.3","5363","0.3","0.8","12.5","3.3","0.0","3.1","83.2","80.6","67.1","40650","45188","118100","2.44","53131","26761","1.5","402.5","3.1","85.4","15270393","19.7","49.5","6474","102206","106331","264.2","211325","1641522","7252","2179","3945","616","6112","785","5877"
"Allen Parish","LA","15.2","22.4","6.2","11.3","79.7","1169","2.3","0.6","22.7","2.3","0.0","1.9","72.4","70.9","74.5","7925","10052","97500","2.69","46446","20964","4.4","761.85","9.9","83.6","-1","28.0","43.5","1272","22750","25764","33.8","-1","157559","1170","409","654","196","924","180","939"
"Allendale County","SC","20.9","19.0","4.9","9.2","79.8","438","0.4","0.9","72.8","3.7","0.1","0.9","24.9","22.3","68.2","3365","4518","49200","2.35","27185","16985","1.7","408.09","4.0","90.1","446954","28.6","48.0","540","8039","10419","25.5","-1","33904","672","279","334","441","206","66","572"
"Alpena County","MI","23.9","18.7","4.9","18.0","91.9","1875","0.6","0.6","0.5","1.5","0.0","1.3","96.8","95.5","77.9","12752","16076","96500","2.19","43363","25957","1.3","571.86","3.0","86.7","480301","16.7","50.6","2555","28907","29598","51.8","35141","448820","2322","799","1078","37","2130","190","1787"
"Alpine County","CA","26.4","17.7","4.3","34.5","91.2","105","25.7","1.6","0.4","12.3","-1.0","4.4","67.9","61.3","84.0","350","1782","365300","2.87","63750","36739","5.1","738.33","9.7","90.9","-1","18.1","46.1","79","1204","1175","1.6","-1","576","125","49","0","0","115","0","116"
"Amador County","CA","27.5","15.1","4.1","19.3","90.0","2835","2.3","1.7","2.7","14.5","0.3","3.4","89.6","77.3","76.5","14594","18625","313700","2.38","62772","31987","6.0","594.58","10.6","87.7","139631","32.7","45.6","3810","40474","38091","64.1","242022","321498","2807","921","1383","259","2453","258","2363"
"Amelia County","VA","20.1","20.8","5.5","17.1","83.9","870","0.6","0.6","20.4","3.2","0.0","1.8","76.5","74.0","84.4","4954","5677","201400","2.59","57946","31688","1.2","355.27","3.8","89.8","98420","39.9","50.7","980","13265","12690","35.7","5047","71057","893","335","444","159","695","69","778"
"Amherst County","VA","21.6","19.3","5.2","19.1","85.6","1599","0.9","0.6","19.1","2.4","0.0","2.5","76.9","74.9","77.1","12160","14266","155600","2.52","52888","26712","1.8","473.93","2.8","87.4","572023","27.3","51.4","2565","31307","32353","68.3","-1","273370","2117","810","1094","397","1634","185","1819"
"Amite County","MS","24.1","20.3","5.3","12.6","81.9","815","0.4","0.2","40.0","1.3","0.0","0.9","58.6","57.9","84.9","5218","6864","83600","2.36","33981","21568","0.4","730.1","1.0","95.9","48296","39.9","51.7","698","12720","13131","18.0","1429","39229","823","301","432","314","491","107","691"
"Anchorage Municipality","AK","11.7","24.0","6.9","36.1","93.9","20976","9.1","10.0","6.0","9.4","2.8","8.4","63.8","57.1","61.3","106567","119276","314800","2.69","84928","41415","10.9","1704.68","17.8","80.2","479841","18.9","49.1","26958","291247","291826","171.2","1106192","4966800","26033","9530","12937","5351","19271","3291","21070"
"Anderson County","KS","21.5","25.7","6.7","18.1","91.0","622","0.7","0.7","0.6","2.1","0.0","1.9","96.0","94.1","74.4","3101","3755","95700","2.49","50213","24309","0.7","579.65","2.2","87.5","-1","26.1","50.3","564","7836","8102","14.0","-1","92144","575","177","238","0","545","89","440"
"Anderson County","KY","16.3","23.5","6.1","20.2","89.9","1526","0.3","0.7","2.1","1.9","0.0","1.8","95.1","93.4","76.1","8694","9539","149800","2.57","55334","27250","1.1","201.83","2.2","84.3","746489","26.6","51.0","1180","23852","21421","106.1","20408","188884","1461","446","685","71","1331","214","1160"
"Anderson County","SC","18.3","22.7","5.9","22.2","85.3","13025","0.3","1.0","16.3","4.0","0.0","1.8","80.5","77.1","71.7","76798","89884","145800","2.55","50865","27552","3.1","715.43","4.5","86.3","5435031","24.0","51.9","14043","203718","187126","261.6","272197","2189557","15115","4881","8655","2363","12272","2099","11969"
"Anderson County","TN","20.3","21.2","5.4","23.3","87.0","4810","0.5","1.5","4.1","3.2","0.1","2.3","91.6","88.9","67.9","30541","35143","146200","2.45","50392","28455","3.5","337.16","4.8","85.1","2223993","24.7","51.3","6027","77123","75129","222.8","127115","916100","5799","1831","3175","266","5211","717","4618"
"Anderson County","TX","15.0","19.0","5.1","10.6","81.3","3021","0.7","0.9","21.9","18.2","0.2","1.7","74.5","58.3","69.6","16677","20632","101900","2.66","43455","17280","5.9","1062.6","14.8","84.8","-1","23.4","38.6","4049","57922","58458","55.0","-1","572105","3107","1009","1602","722","2209","428","2471"
"Andrew County","MO","19.4","22.9","5.8","24.9","91.7","1279","0.3","0.6","1.2","2.7","0.0","1.6","96.3","93.9","79.9","6763","7319","147900","2.56","58772","29338","1.2","432.7","2.4","92.1","2257","24.1","50.5","1140","18135","17291","40.0","4517","103752","1339","357","819","0","1299","125","1156"
"Andrews County","TX","9.8","31.0","8.4","12.2","72.3","1449","1.5","0.7","2.0","56.6","0.0","1.5","94.3","39.9","74.1","5573","6354","143900","3.22","76158","30673","15.2","1500.71","43.7","82.8","135898","23.6","48.8","674","18610","14786","9.9","21390","169819","1324","400","695","469","726","143","1075"
"Androscoggin County","ME","18.2","21.5","5.8","22.8","90.2","6622","0.4","0.9","4.5","1.9","0.0","2.4","91.7","90.2","64.3","45630","50310","158200","2.29","53509","28956","3.5","467.93","10.4","84.3","1886855","24.1","51.0","8516","111139","107702","230.2","153320","1818065","7493","2451","3963","310","6794","661","6261"
"Angelina County","TX","16.6","25.4","6.7","16.9","81.9","5782","0.8","1.1","15.7","22.7","0.1","1.4","81.0","59.9","66.2","31035","37250","107600","2.72","50453","23147","8.5","797.78","18.5","83.4","1451559","20.6","51.2","5728","86395","86771","108.8","141533","1274727","6330","1922","3487","1358","4707","709","5020"
"Anne Arundel County","MD","15.0","22.3","6.1","41.7","92.4","44895","0.4","4.2","18.3","8.4","0.1","3.3","73.6","66.7","74.2","209814","227936","361200","2.64","100798","46629","8.4","414.9","11.4","85.2","4456881","31.4","50.5","51093","588261","537656","1295.9","1564002","8758765","46997","17089","25348","9994","35336","5547","39219"
"Anoka County","MN","14.5","23.7","6.2","30.5","94.0","23918","0.9","5.0","7.4","4.9","0.1","2.9","83.8","79.7","80.1","128198","134681","232400","2.71","82175","36978","8.8","423.01","11.5","88.6","6716221","27.8","50.0","19625","363887","330844","782.1","434033","3982068","27369","8653","15229","2680","24081","2991","23013"
"Anson County","NC","19.3","19.8","5.3","11.3","80.7","1292","0.9","1.5","48.5","4.1","0.1","1.7","47.4","44.3","66.1","9521","11668","91200","2.42","40213","21635","2.9","531.45","5.3","89.4","393255","26.7","48.7","1465","22055","26948","50.7","16822","181255","1531","598","726","598","875","159","1288"
"Antelope County","NE","24.1","23.6","6.6","18.4","93.0","703","0.5","0.5","0.4","3.4","-1.0","0.7","97.9","94.9","75.5","2714","3336","82000","2.31","49912","26523","2.0","857.22","4.1","90.2","-1","15.1","49.5","494","6295","6685","7.8","-1","70221","854","242","364","26","799","91","693"
"Antrim County","MI","28.0","17.7","4.2","28.8","91.7","2153","1.3","0.3","0.4","2.5","0.1","1.5","96.5","94.4","87.1","9899","18193","160500","2.32","56165","31851","1.8","475.7","2.3","89.1","174994","24.6","50.2","2004","23431","23580","49.6","42618","169645","2534","682","1313","32","2440","121","2116"
"Apache County","AZ","15.8","27.0","6.7","12.3","80.4","2599","75.0","0.5","0.6","6.6","0.1","1.6","22.3","18.0","78.9","20867","33023","59900","3.37","32508","15128","1.4","11197.52","53.8","93.8","-1","26.9","50.6","3079","66021","71518","6.4","47069","324317","2787","1131","1251","1687","974","234","2314"
"Appanoose County","IA","22.9","22.6","5.6","16.3","90.2","883","0.3","0.7","0.9","2.2","0.1","1.6","96.4","94.6","71.0","5353","6646","81400","2.3","40167","26012","0.9","497.29","2.9","87.6","303261","21.0","50.5","887","12317","12887","25.9","16538","138799","1388","495","549","27","1313","112","1156"
"Appling County","GA","17.7","24.5","6.4","9.8","74.9","1197","0.6","0.8","19.6","10.0","0.2","1.6","77.2","68.7","76.4","6656","8613","80200","2.69","40304","21300","5.0","507.08","10.6","93.7","407343","22.9","50.2","907","18444","18236","36.0","18846","211266","1392","387","809","298","1049","187","1134"
"Appomattox County","VA","21.2","21.0","5.8","20.9","85.9","959","0.3","0.4","18.5","1.9","0.1","2.0","78.7","77.1","77.8","6091","7424","158800","2.57","58696","28586","1.2","333.49","1.7","94.6","-1","29.5","51.5","1407","16119","14973","44.9","-1","143824","962","253","616","117","796","80","806"
"Aransas County","TX","28.9","17.7","4.7","21.9","84.5","2694","1.3","2.1","1.7","27.9","0.1","1.9","92.9","66.8","80.2","9548","16238","156800","2.52","45137","30863","8.7","252.07","19.9","84.9","-1","20.8","50.5","2414","23830","23158","91.9","50540","288881","2712","859","1510","778","1835","341","2281"
"Arapahoe County","CO","13.5","23.3","6.1","42.8","92.6","62543","1.2","6.6","11.5","19.8","0.3","4.0","76.5","59.4","63.5","240304","257325","358200","2.66","77469","40443","15.1","798.1","23.4","81.8","1672601","28.1","50.4","39149","655070","572003","716.7","1235569","9404716","61297","22462","31732","13912","44785","6119","52103"
"Archer County","TX","19.6","21.5","5.3","23.9","90.3","943","1.5","0.5","1.1","8.2","0.1","1.6","95.1","88.3","83.7","3452","4184","146200","2.5","63835","34617","3.3","903.11","5.7","91.2","-1","18.9","51.1","601","8560","9054","10.0","-1","25491","986","265","528","151","817","103","781"
"Archuleta County","CO","27.3","17.7","4.4","37.2","92.3","2054","3.4","1.2","0.7","18.4","0.1","2.5","92.1","76.8","72.2","5858","9685","314400","2.23","52221","31629","5.0","1350.18","8.7","87.8","4959","18.1","49.6","1254","13359","12084","8.9","64851","130827","2070","607","884","211","1711","254","1546"
"Arenac County","MI","25.8","18.1","4.6","12.6","88.5","936","1.4","0.3","0.5","2.0","0.1","1.8","96.0","94.3","83.8","6571","9885","94400","2.26","42290","24328","1.1","363.19","1.8","89.0","145658","28.2","49.6","1195","15002","15899","43.8","28160","150754","1286","282","744","0","1248","192","924"
"Arkansas County","AR","20.3","22.9","6.5","15.8","83.9","1395","0.3","0.8","25.1","3.4","0.0","1.9","71.8","69.1","65.2","7491","9486","88600","2.36","46696","26386","0.8","988.77","2.0","87.1","1927167","15.5","51.7","1018","17149","19019","19.2","-1","335961","1575","458","806","220","1281","163","1250"
