"State","Year","Data.DHS Denominator","Data.Number of Firms","Data.Calculated.Net Job Creation","Data.Calculated.Net Job Creation Rate","Data.Calculated.Reallocation Rate","Data.Establishments.Entered","Data.Establishments.Entered Rate","Data.Establishments.Exited","Data.Establishments.Exited Rate","Data.Establishments.Physical Locations","Data.Firm Exits.Count","Data.Firm Exits.Establishment Exit","Data.Firm Exits.Employments","Data.Job Creation.Births","Data.Job Creation.Continuers","Data.Job Creation.Count","Data.Job Creation.Rate","Data.Job Creation.Rate/Births","Data.Job Destruction.Continuers","Data.Job Destruction.Count","Data.Job Destruction.Deaths","Data.Job Destruction.Rate","Data.Job Destruction.Rate/Deaths"
"Alabama","2002","1598498","70708","-42166","-2.638","31.991","10202","11.213","9461","10.398","91358","5893","6089","57557","98302","157385","255687","15.995","6.15","195655","297853","102198","18.633","6.393"
"Alabama","2003","1586021","70985","19877","1.253","28.99","9420","10.305","8594","9.401","91829","5589","5665","32841","75279","174494","249773","15.748","4.746","155098","229896","74798","14.495","4.716"
"Alabama","2004","1613771","71716","39087","2.422","26.246","9487","10.298","8224","8.927","92756","5330","5406","34156","82394","168467","250861","15.545","5.106","141043","211774","70731","13.123","4.383"
"Alabama","2005","1655548","72486","42542","2.57","26.97","9912","10.625","8219","8.81","94135","5440","5546","31005","84227","181569","265796","16.055","5.088","158410","223254","64844","13.485","3.917"
"Alabama","2006","1693179","73344","33751","1.993","27.845","11236","11.84","8847","9.322","96097","6198","6317","38401","107056","162427","269483","15.916","6.323","159164","235732","76568","13.922","4.522"
"Alabama","2007","1712797","74189","6838","0.399","29.176","10726","11.087","8573","8.862","97819","5471","5647","34048","91951","164746","256697","14.987","5.368","173759","249859","76100","14.588","4.443"
"Alabama","2008","1710759","73362","-6475","-0.378","27.574","9037","9.286","9280","9.536","97199","6102","6293","36872","77158","158702","235860","13.787","4.51","159529","242335","82806","14.165","4.84"
"Alabama","2009","1659173","71187","-104387","-6.292","20.531","7586","7.905","9806","10.218","94859","6534","6726","35954","62314","108009","170323","10.266","3.756","205032","274710","69678","16.557","4.2"
"Alabama","2010","1586913","69404","-34165","-2.153","22.44","7396","7.892","8699","9.282","93066","5680","5817","29386","61350","116699","178049","11.22","3.866","155189","212214","57025","13.373","3.593"
"Alabama","2011","1578159","68310","23405","1.483","23.568","7457","8.079","8260","8.949","91895","5159","5446","26274","53862","155513","209375","13.267","3.413","131303","185970","54667","11.784","3.464"
"Alabama","2012","1585129","67979","-4835","-0.305","25.601","7737","8.444","7496","8.181","91744","4682","4815","28861","57966","144938","202904","12.8","3.657","149886","207739","57853","13.105","3.65"
"Alabama","2013","1587325","67609","14052","0.885","22.613","7407","8.107","7365","8.061","91387","4563","4650","28415","53164","140362","193526","12.192","3.349","119574","179474","59900","11.307","3.774"
"Alabama","2014","1595733","67538","10381","0.651","22.687","7390","8.077","6669","7.289","91855","4324","4445","25458","61301","130093","191394","11.994","3.842","129652","181013","51361","11.344","3.219"
"Alabama","2015","1615483","67458","33378","2.066","20.442","7711","8.382","6813","7.406","92448","4382","4538","25976","62884","135613","198497","12.287","3.893","112759","165119","52360","10.221","3.241"
"Alabama","2016","1652706","68123","42733","2.586","18.989","7713","8.296","6137","6.601","93762","4155","4274","23426","66167","133482","199649","12.08","4.004","112212","156916","44704","9.494","2.705"
"Alabama","2017","1682109","68250","27931","1.66","22.798","7482","7.989","7140","7.624","93828","4541","4674","28225","54454","165217","219671","13.059","3.237","134737","191740","57003","11.399","3.389"
"Alabama","2018","1712580","68159","29706","1.735","20.239","6695","7.159","6725","7.191","93502","4744","4957","27152","54749","148262","203011","11.854","3.197","126312","173305","46993","10.12","2.744"
"Alaska","1978","107425","7107","-1518","-1.413","65.398","1924","23.813","1291","15.979","8396","828","834","8775","14756","20371","35127","32.699","13.736","18119","36645","18526","34.112","17.246"
"Alaska","1979","106684","7264","1690","1.584","48.422","1658","19.726","1358","16.157","8555","853","865","4695","10369","17150","27519","25.795","9.719","16440","25829","9389","24.211","8.801"
"Alaska","1980","105361","7123","-2981","-2.829","44.185","1431","16.964","1408","16.691","8447","898","911","4314","9344","13933","23277","22.093","8.869","15768","26258","10490","24.922","9.956"
"Alaska","1981","109264","7477","12326","11.281","35.139","1597","18.594","1067","12.423","8854","637","642","3990","11247","20276","31523","28.85","10.293","11910","19197","7287","17.569","6.669"
"Alaska","1982","123553","8073","14568","11.791","41.563","1992","21.786","1203","13.157","9538","783","793","4447","15524","24720","40244","32.572","12.565","17529","25676","8147","20.781","6.594"
"Alaska","1983","131831","9181","7658","5.809","45.278","2520","24.96","1084","10.737","10814","723","741","4986","16529","20974","37503","28.448","12.538","20575","29845","9270","22.639","7.032"
"Alaska","1984","139620","10256","10546","7.553","38.599","2614","23.146","1305","11.555","11948","923","940","5870","16063","21429","37492","26.853","11.505","17977","26946","8969","19.3","6.424"
"Alaska","1985","145820","10566","10056","6.896","41.176","2434","20.261","1821","15.158","12320","1338","1352","7787","15416","24661","40077","27.484","10.572","18115","30021","11906","20.588","8.165"
"Alaska","1986","146531","10460","-2093","-1.428","47.316","2260","18.6","1991","16.386","12285","1456","1485","8005","15146","19520","34666","23.658","10.336","25515","36759","11244","25.086","7.673"
"Alaska","1987","140710","9904","-4238","-3.012","46.643","1903","16.068","2234","18.863","11678","1563","1622","9593","15764","17052","32816","23.322","11.203","22182","37054","14872","26.334","10.569"
"Alaska","1988","137484","10018","-1032","-0.751","44.5","1974","16.806","1706","14.524","11880","1096","1109","5804","13158","17432","30590","22.25","9.571","19163","31622","12459","23.001","9.062"
"Alaska","1989","140590","10323","8617","6.129","32.923","1930","16.082","1348","11.232","12292","930","953","4913","11911","19849","31760","22.591","8.472","14984","23143","8159","16.461","5.803"
"Alaska","1990","151759","10621","14759","9.725","27.951","1918","15.448","1350","10.873","12700","946","972","5597","11297","24671","35968","23.701","7.444","13451","21209","7758","13.975","5.112"
"Alaska","1991","160745","10820","2819","1.754","36.938","1935","15.084","1390","10.835","13101","898","920","5339","12351","20156","32507","20.223","7.684","21126","29688","8562","18.469","5.326"
"Alaska","1992","166512","11012","1036","0.622","41.646","1823","13.855","1339","10.176","13400","827","845","4892","11061","24648","35709","21.445","6.643","26105","34673","8568","20.823","5.146"
"Alaska","1993","166008","11312","-720","-0.434","35.638","1742","12.932","1468","10.898","13607","866","903","4948","8833","20748","29581","17.819","5.321","20304","30301","9997","18.253","6.022"
"Alaska","1994","170636","11684","6147","3.602","32.615","1852","13.424","1446","10.481","13999","913","938","4644","12441","21532","33973","19.91","7.291","18871","27826","8955","16.307","5.248"
"Alaska","1995","174958","12066","3651","2.087","30.542","1890","13.33","1418","10.001","14415","943","970","4796","10268","20101","30369","17.358","5.869","18639","26718","8079","15.271","4.618"
"Alaska","1996","175718","12239","3350","1.906","29.69","1822","12.642","1452","10.075","14597","966","986","5200","8475","20960","29435","16.751","4.823","17644","26085","8441","14.845","4.804"
"Alaska","1997","180611","12441","6598","3.653","33.096","1932","13.16","1590","10.83","14852","1012","1024","4565","10478","26007","36485","20.201","5.801","20617","29887","9270","16.548","5.133"
"Alaska","1998","191940","12723","8589","4.475","29.346","1897","12.624","1598","10.634","15177","990","1026","4591","12673","24079","36752","19.148","6.603","19200","28163","8963","14.673","4.67"
"Alaska","1999","195532","12781","1308","0.669","28.543","1745","11.481","1544","10.158","15300","1017","1037","4300","8803","20410","29213","14.94","4.502","20179","27905","7726","14.271","3.951"
"Alaska","2000","200148","12785","6292","3.144","32.189","1770","11.613","1789","11.738","15232","1074","1106","5987","13510","24995","38505","19.238","6.75","17846","32213","14367","16.095","7.178"
"Alaska","2001","206235","12730","8110","3.932","27.558","1814","11.926","1614","10.611","15311","987","1014","5016","11904","24623","36527","17.711","5.772","18796","28417","9621","13.779","4.665"
"Alaska","2002","211903","12843","1766","0.833","35.736","2134","13.819","1786","11.565","15617","1019","1032","6725","15427","24202","39629","18.701","7.28","25574","37863","12289","17.868","5.799"
"Alaska","2003","214498","13068","6706","3.126","31.301","1966","12.493","1578","10.027","15931","918","941","4746","14183","26093","40276","18.777","6.612","23590","33570","9980","15.651","4.653"
"Alaska","2004","220392","13361","5799","2.631","26.592","1906","11.877","1574","9.808","16214","961","994","4797","9634","25468","35102","15.927","4.371","18583","29303","10720","13.296","4.864"
"Alaska","2005","222901","13551","7249","3.252","25.493","1940","11.875","1549","9.482","16532","1006","1031","4831","10936","24725","35661","15.999","4.906","21082","28412","7330","12.746","3.288"
"Alaska","2006","235770","13794","11869","5.034","25.379","2329","13.922","1793","10.718","16997","1247","1266","5881","12597","29190","41787","17.724","5.343","20469","29918","9449","12.69","4.008"
"Alaska","2007","243150","13833","3408","1.402","32.364","2022","11.866","1755","10.299","17174","1085","1100","4570","14636","28119","42755","17.584","6.019","30504","39347","8843","16.182","3.637"
"Alaska","2008","245718","13678","2598","1.057","26.663","1814","10.638","1875","10.996","17021","1158","1170","4899","9989","25367","35356","14.389","4.065","23988","32758","8770","13.332","3.569"
"Alaska","2009","249232","13561","3811","1.529","28.425","1788","10.513","1808","10.63","16998","1039","1075","4841","12130","27103","39233","15.742","4.867","24563","35422","10859","14.212","4.357"
"Alaska","2010","252452","13603","2361","0.935","24.559","1740","10.216","1539","9.036","17132","898","916","3512","8717","24644","33361","13.215","3.453","23564","31000","7436","12.28","2.946"
"Alaska","2011","253776","13612","1104","0.435","23.964","1763","10.257","1512","8.797","17313","910","933","3174","9705","21806","31511","12.417","3.824","23019","30407","7388","11.982","2.911"
"Alaska","2012","255997","13720","2777","1.085","26.964","1729","9.983","1536","8.869","17416","822","834","3225","10763","26528","37291","14.567","4.204","26958","34514","7556","13.482","2.952"
"Alaska","2013","260965","13795","7469","2.862","20.794","1733","9.94","1551","8.896","17525","895","913","3244","9885","24716","34601","13.259","3.788","19925","27132","7207","10.397","2.762"
"Alaska","2014","263781","13820","1277","0.484","27.117","1748","9.942","1500","8.531","17706","925","932","3855","12959","24083","37042","14.043","4.913","25813","35765","9952","13.559","3.773"
"Alaska","2015","265150","13921","1991","0.751","25.546","1765","9.936","1496","8.421","17899","923","935","4101","10535","25323","35858","13.524","3.973","24747","33867","9120","12.773","3.44"
"Alaska","2016","265204","14034","-1768","-0.667","25.782","1832","10.191","1559","8.672","18114","999","1021","6451","11847","22341","34188","12.891","4.467","25461","35956","10495","13.558","3.957"
"Alaska","2017","261491","13979","-3470","-1.327","26.027","1734","9.613","1720","9.535","18045","1094","1111","5240","8500","25529","34029","13.013","3.251","25020","37499","12479","14.34","4.772"
"Alaska","2018","260765","14037","-591","-0.227","23.537","1594","8.85","1536","8.528","18041","1060","1083","4032","6824","23864","30688","11.768","2.617","23073","31279","8206","11.995","3.147"
"Arkansas","1978","652593","40042","90585","13.881","32.628","9597","20.575","6524","13.987","48180","4429","4518","25194","79242","117807","197049","30.195","12.143","58348","106464","48116","16.314","7.373"
"Arkansas","1979","731918","42294","88969","12.156","29.141","9129","18.512","5878","11.919","50940","3888","3969","23231","71628","123984","195612","26.726","9.786","65180","106643","41463","14.57","5.665"
"Arkansas","1980","802197","43894","26453","3.298","35.077","9121","17.615","6254","12.078","53213","4424","4497","26673","66972","100175","167147","20.836","8.349","92418","140694","48276","17.539","6.018"
"Arkansas","1981","823862","45805","23283","2.826","32.966","9312","17.185","6134","11.32","55776","4076","4155","21916","66337","92742","159079","19.309","8.052","97041","135796","38755","16.483","4.704"
"Arkansas","1982","838339","46899","11169","1.332","36.78","9751","17.294","7312","12.968","57603","5189","5217","28101","71674","93667","165341","19.722","8.55","108337","154172","45835","18.39","5.467"
"Arkansas","1983","846763","49221","15854","1.872","38.4","10150","17.347","6317","10.796","60427","4231","4304","25909","70921","107513","178434","21.072","8.376","113625","162580","48955","19.2","5.781"
"Arkansas","1984","906336","53001","118149","13.036","26.956","11384","18.378","6443","10.402","64413","4424","4532","24992","92625","147682","240307","26.514","10.22","78140","122158","44018","13.478","4.857"
"Arkansas","1985","1011777","56026","113115","11.18","31.769","12067","18.423","7673","11.715","67696","5425","5538","38689","104504","169328","273832","27.064","10.329","98706","160717","62011","15.885","6.129"
"Arkansas","1986","1089120","57692","69183","6.352","35.873","12234","17.931","8169","11.973","70259","5821","5878","38131","112903","151632","264535","24.289","10.366","134194","195352","61158","17.937","5.615"
"Arkansas","1987","1139042","59691","37484","3.291","39.126","12927","18.18","9072","12.759","73033","6262","6340","45772","122004","138313","260317","22.854","10.711","134255","222833","88578","19.563","7.777"
"Arkansas","1988","1170456","61972","48541","4.147","36.304","12863","17.244","9081","12.174","76487","6473","6583","45393","114642","146359","261001","22.299","9.795","136982","212460","75478","18.152","6.449"
"Arkansas","1989","1206541","62661","52222","4.328","34.481","12293","16.126","9442","12.386","77657","6739","6914","47061","108317","151919","260236","21.569","8.977","130133","208014","77881","17.241","6.455"
"Arkansas","1990","1237055","63516","30257","2.446","34.518","11759","15.187","9419","12.165","78597","6729","6934","44754","98117","145645","243762","19.705","7.932","142303","213505","71202","17.259","5.756"
"Arkansas","1991","1247435","64079","9172","0.735","37.263","11940","15.176","9210","11.706","80042","6478","6648","50628","115728","125860","241588","19.367","9.277","149157","232416","83259","18.632","6.674"
"Arkansas","1992","1253559","64975","26914","2.147","34.501","11253","14.11","8959","11.233","80901","5806","5959","38587","95519","147641","243160","19.398","7.62","145816","216246","70430","17.251","5.618"
"Arkansas","1993","1289673","67005","45136","3.5","31.591","11380","13.948","9461","11.596","82546","6012","6183","40642","87225","161622","248847","19.295","6.763","123977","203711","79734","15.796","6.182"
"Arkansas","1994","1365515","69780","99991","7.323","29.468","12813","15.2","9112","10.809","86147","6269","6439","40891","116203","184983","301186","22.057","8.51","122563","201195","78632","14.734","5.758"
"Arkansas","1995","1455041","72463","89201","6.13","28.209","13063","14.908","9474","10.812","89419","6457","6653","48705","114225","180202","294427","20.235","7.85","124941","205226","80285","14.104","5.518"
"Arkansas","1996","1523091","74315","75692","4.97","28.128","13163","14.562","9826","10.871","92059","6772","6962","48554","106799","183103","289902","19.034","7.012","134268","214210","79942","14.064","5.249"
"Arkansas","1997","1615732","76515","85823","5.312","34.063","14532","15.549","11221","12.007","95113","7259","7431","50811","144383","216625","361008","22.343","8.936","162215","275185","112970","17.032","6.992"
"Arkansas","1998","1712490","77938","89080","5.202","30.308","13076","13.598","10927","11.363","97237","7173","7360","50514","137164","211423","348587","20.356","8.01","165104","259507","94403","15.154","5.513"
"Arkansas","1999","1782802","79419","65926","3.698","32.401","13862","14.108","11130","11.327","99623","7082","7351","55373","136915","217832","354747","19.898","7.68","172392","288821","116429","16.2","6.531"
"Arkansas","2000","1860337","80271","77668","4.175","32.351","13673","13.623","11568","11.526","101419","7413","7666","49725","138323","240261","378584","20.35","7.435","185460","300916","115456","16.175","6.206"
"Arkansas","2001","1922592","81513","35537","1.848","33.417","14054","13.752","11935","11.679","103254","7185","7415","50941","137006","219764","356770","18.557","7.126","194650","321233","126583","16.708","6.584"
"Arkansas","2002","1937637","82105","-15008","-0.775","39.816","14800","14.229","12843","12.347","104994","7777","8046","62921","157882","227859","385741","19.908","8.148","262718","400749","138031","20.682","7.124"
"Arkansas","2003","1950453","83660","45262","2.321","35.005","14327","13.539","12156","11.487","106907","7561","7688","51224","138655","247989","386644","19.823","7.109","211507","341382","129875","17.503","6.659"
"Arkansas","2004","2002244","86028","63663","3.18","29.981","14648","13.517","11510","10.621","109939","7236","7453","48009","128196","235611","363807","18.17","6.403","180597","300144","119547","14.99","5.971"
"Arkansas","2005","2093589","89336","119637","5.714","27.867","16478","14.683","11627","10.361","114648","7455","7697","49142","161598","249750","411348","19.648","7.719","192087","291711","99624","13.934","4.759"
"Arkansas","2006","2246637","94664","178704","7.954","25.447","20196","17.076","12520","10.586","122110","8698","8866","59940","184283","280270","464553","20.678","8.203","183076","285849","102773","12.723","4.575"
"Arkansas","2007","2359934","97182","48529","2.056","33.679","18118","14.614","13782","11.117","126144","8814","8987","56817","152730","293201","445931","18.896","6.472","270760","397402","126642","16.84","5.366"
"Arkansas","2008","2346919","96276","-73671","-3.139","29.884","15810","12.566","15991","12.71","125726","10680","10877","69273","130775","219902","350677","14.942","5.572","295264","424348","129084","18.081","5.5"
"Arkansas","2009","2213633","91332","-203247","-9.182","24.934","13023","10.568","18401","14.933","120537","11961","12186","97131","116807","159172","275979","12.467","5.277","315179","479226","164047","21.649","7.411"
"Arkansas","2010","2082807","88457","-59329","-2.849","27.554","13050","10.969","15622","13.131","117683","9735","10016","50969","113395","173551","286946","13.777","5.444","243759","346275","102516","16.625","4.922"
"Arkansas","2011","2080200","87577","53156","2.555","25.753","13497","11.514","13923","11.877","117014","8795","9051","47988","106013","215002","321015","15.432","5.096","172588","267859","95271","12.877","4.58"
"Arkansas","2012","2116068","87774","16544","0.782","28.386","12885","11.021","12467","10.663","117127","7512","7736","41117","101224","215652","316876","14.975","4.784","192985","300332","107347","14.193","5.073"
"Arkansas","2013","2147947","88518","51165","2.382","23.787","12964","11.04","11678","9.945","118071","7152","7249","42593","101208","205422","306630","14.275","4.712","173312","255465","82153","11.893","3.825"
"Arkansas","2014","2200907","89448","53676","2.439","25.85","13260","11.145","11012","9.255","120104","7101","7230","42258","113549","224594","338143","15.364","5.159","201899","284467","82568","12.925","3.752"
"Arkansas","2015","2264930","90727","69334","3.061","23.01","13234","10.953","11296","9.349","121791","7054","7245","40318","111694","218215","329909","14.566","4.931","177228","260575","83347","11.505","3.68"
"Arkansas","2016","2337139","92513","77407","3.312","24.022","13722","11.14","10577","8.587","124748","6985","7191","55674","119133","238982","358115","15.323","5.097","178779","280708","101929","12.011","4.361"
"Arkansas","2017","2404226","94019","66890","2.782","24.056","13686","10.898","11592","9.231","126629","7428","7585","46186","114963","241104","356067","14.81","4.782","190462","289177","98715","12.028","4.106"
"Arkansas","2018","2490499","95482","105417","4.233","20.771","13095","10.295","11478","9.024","128008","8242","8495","46330","116231","247838","364069","14.618","4.667","183384","258652","75268","10.386","3.022"
"California","1978","539707","36821","49070","9.092","27.328","7154","17.401","5227","12.714","42075","3858","3884","17124","49204","73612","122816","22.756","9.117","41945","73746","31801","13.664","5.892"
"California","1979","576411","37250","25963","4.504","28.793","6211","14.777","5171","12.303","42551","3767","3804","17470","40791","68154","108945","18.901","7.077","52465","82982","30517","14.396","5.294"
"California","1980","591536","37057","241","0.041","32.523","5583","13.165","5266","12.417","42567","3924","3985","17371","35458","60976","96434","16.302","5.994","65611","96193","30582","16.262","5.17"
"California","1981","590284","36818","1569","0.266","30.359","5271","12.433","4894","11.543","42585","3376","3416","14736","38031","53140","91171","15.445","6.443","64586","89602","25016","15.179","4.238"
"California","1982","582353","36204","-11046","-1.897","31.029","5560","13.193","5486","13.018","42180","3955","3986","17798","37764","52586","90350","15.515","6.485","71981","101396","29415","17.411","5.051"
"California","1983","573190","37183","2255","0.393","31.335","5808","13.702","4114","9.706","43235","2895","2941","13177","31912","60148","92060","16.061","5.567","62284","89805","27521","15.668","4.801"
"California","1984","596798","39236","50429","8.45","23.414","7062","16.039","4285","9.732","45419","3102","3175","14236","42634","77662","120296","20.157","7.144","44003","69867","25864","11.707","4.334"
"California","1985","633660","39591","34390","5.427","29.156","6355","14.045","5101","11.273","45875","3836","3901","20901","52844","73921","126765","20.005","8.339","54779","92375","37596","14.578","5.933"
"California","1986","651097","39482","19397","2.979","30.251","6034","13.297","5203","11.466","45795","3781","3848","19422","45237","72640","117877","18.104","6.948","63188","98480","35292","15.125","5.42"
"California","1987","671678","39549","21702","3.231","29.952","6398","14.022","5336","11.694","46160","3816","3871","21076","45431","76860","122291","18.207","6.764","64715","100589","35874","14.976","5.341"
"California","1988","694719","40139","19879","2.861","30.099","6324","13.566","5102","10.945","47228","3604","3643","21373","44266","80166","124432","17.911","6.372","66302","104553","38251","15.05","5.506"
"California","1989","712457","40531","25881","3.633","27.666","6049","12.791","4782","10.112","47923","3554","3629","22386","48872","75562","124434","17.465","6.86","61079","98554","37475","13.833","5.26"
"California","1990","738029","41362","27643","3.746","25.818","6163","12.786","4631","9.608","48967","3483","3541","19154","44921","77994","122915","16.654","6.087","65899","95272","29373","12.909","3.98"
"California","1991","753246","41236","7551","1.002","29.49","5998","12.275","4964","10.159","49380","3612","3660","21679","46347","72270","118617","15.747","6.153","76192","111066","34874","14.745","4.63"
"California","1992","774869","41708","16473","2.126","29.429","6025","12.189","4737","9.583","50073","3271","3331","20175","44352","86140","130492","16.841","5.724","79516","114019","34503","14.715","4.453"
"California","1993","796306","43077","28548","3.585","25.776","6340","12.521","4849","9.576","51382","3321","3379","18645","42840","88336","131176","16.473","5.38","67114","102628","35514","12.888","4.46"
"California","1994","825058","44218","26605","3.225","26.776","6710","12.874","4983","9.56","52985","3567","3655","25357","54002","83061","137063","16.613","6.545","66396","110458","44062","13.388","5.34"
"California","1995","858672","45420","44756","5.212","24.002","6765","12.616","5105","9.521","54451","3649","3698","22992","51194","96611","147805","17.213","5.962","61456","103049","41593","12.001","4.844"
"California","1996","882170","45793","14861","1.685","26.37","6477","11.871","5379","9.858","55112","3926","4027","22548","45942","85231","131173","14.869","5.208","80142","116312","36170","13.185","4.1"
"California","1997","895203","46053","8218","0.918","29.708","6733","12.183","6037","10.924","55612","4210","4322","26136","53097","88094","141191","15.772","5.931","82428","132973","50545","14.854","5.646"
"California","1998","922751","46036","31008","3.36","26.554","6376","11.432","5963","10.692","55979","4091","4190","24594","61383","92140","153523","16.638","6.652","77926","122515","44589","13.277","4.832"
"California","1999","943436","46052","11678","1.238","27.748","6351","11.334","5822","10.39","56297","3997","4124","24834","49784","92788","142572","15.112","5.277","82686","130894","48208","13.874","5.11"
"California","2000","968477","46170","39707","4.1","23.72","6342","11.259","5732","10.176","56635","3803","3890","21067","50458","104111","154569","15.96","5.21","73114","114862","41748","11.86","4.311"
"California","2001","986636","45611","1893","0.192","28.709","6183","10.959","6009","10.651","56506","4114","4217","24086","56517","87004","143521","14.547","5.728","95047","141628","46581","14.355","4.721"
"California","2002","980693","46004","-23954","-2.443","30.701","6864","12.064","5877","10.329","57392","3807","3932","24705","53568","96975","150543","15.351","5.462","110753","174497","63744","17.793","6.5"
"California","2003","974066","46517","11289","1.159","26.552","6425","11.137","5295","9.178","58258","3545","3609","17237","45830","94777","140607","14.435","4.705","89251","129318","40067","13.276","4.113"
"California","2004","986354","47068","13631","1.382","26.416","6174","10.554","5262","8.995","58957","3606","3665","19580","47047","96864","143911","14.59","4.77","85514","130280","44766","13.208","4.539"
"California","2005","1004015","47527","16115","1.605","24.377","6495","10.944","5364","9.038","59915","3824","3881","21881","48631","89860","138491","13.794","4.844","86179","122376","36197","12.189","3.605"
"California","2006","1026867","47887","31250","3.043","22.95","7483","12.399","5978","9.905","61105","4387","4471","23301","55309","93776","149085","14.518","5.386","80928","117835","36907","11.475","3.594"
