"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Cheese","Cheese, provolone","1035","0","68","0","2.14","69","15.4","0.0","0","0","0.156","25.58","230","0.321","14.5","0.56","0.019","40.95","7.393","0.769","17.078","26.62","756","0.026","0.52","28","496","138","727","3.23","236","1.46","0.073","0.0","0.23","2.2"
"Cheese","Cheese, ricotta, whole milk","1036","0","0","0","6.86","48","17.5","0.0","0","0","0.168","7.81","127","0.327","5.5","0.27","0.043","72.9","2.56","0.389","6.97","11.0","224","0.0","0.1","19","162","230","105","0.56","127","0.78","0.099","0.0","0.27","0.6"
"Cheese","Cheese, ricotta, part skim milk","1037","0","20","0","5.14","31","16.3","0.0","0","0","0.078","11.39","105","0.185","16.7","0.31","0.021","74.41","2.314","0.26","4.927","7.91","272","0.034","0.44","15","183","125","99","1.34","107","0.29","0.02","0.0","0.07","0.7"
"Cheese","Cheese, swiss","1040","1","60","2","1.44","93","13.8","0.0","8","1","0.06","27.0","287","0.303","30.1","0.0","0.011","37.6","7.26","1.14","18.2","31.0","890","0.047","0.13","33","574","71","185","4.37","292","3.02","0.07","0.0","0.6","1.4"
"Cheese","Cheese, pasteurized process, American, vitamin D fortified","1042","0","26","4","5.27","98","19.2","0.0","16","0","0.095","18.0","297","0.247","20.4","2.63","0.015","39.6","7.3","1.09","18.1","30.6","866","0.046","0.48","25","540","149","1660","2.42","300","1.45","0.056","0.0","0.79","3.2"
"Cheese spread","Cheese spread, pasteurized process, American","1048","0","55","0","8.73","55","36.2","0.0","0","0","0.131","16.41","168","0.431","11.3","7.32","0.048","47.65","6.219","0.624","13.327","21.23","562","0.033","0.33","29","875","242","1625","2.59","173","0.4","0.117","0.0","0.19","1.8"
"Cream","Cream, fluid, half and half","1049","0","22","0","4.3","35","18.7","0.0","0","0","0.109","3.13","95","0.194","3.2","4.13","0.03","80.57","3.32","0.554","7.032","11.5","107","0.009","0.05","10","95","132","61","0.39","97","0.19","0.05","0.9","0.25","1.3"
"Cream","Cream, fluid, light (coffee cream or table cream)","1050","0","37","0","3.66","59","17.4","0.0","0","0","0.09","2.96","117","0.19","4.6","3.67","0.023","73.75","4.525","0.789","10.176","19.1","91","0.012","0.05","9","92","136","72","0.32","120","0.14","0.044","0.8","0.12","1.7"
"Cream","Cream, fluid, heavy whipping","1053","0","72","0","2.84","113","16.8","0.0","0","0","0.064","2.84","405","0.188","3.0","2.92","0.02","57.71","9.101","1.57","23.032","36.08","66","0.011","0.1","7","58","95","27","0.24","411","0.16","0.035","0.6","0.92","3.2"
"Cream","Cream, whipped, cream topping, pressurized","1054","0","43","0","12.49","76","16.8","0.0","0","0","0.07","3.2","184","0.065","1.4","8.0","0.037","61.33","6.418","0.825","13.831","22.22","101","0.01","0.05","11","89","147","8","0.37","188","0.29","0.041","0.0","0.64","1.9"
"Cream","Cream, sour, cultured","1056","0","25","1","4.63","59","19.2","0.0","4","0","0.093","2.44","121","0.168","3.7","3.41","0.02","73.07","4.594","0.8","10.14","19.35","101","0.018","0.07","10","76","125","31","0.33","124","0.21","0.041","0.9","0.38","1.5"
"Eggnog","Eggnog","1057","0","7","0","8.05","59","52.2","0.0","54","0","0.105","4.55","58","0.19","4.2","8.05","0.034","82.54","1.302","0.198","2.591","4.19","130","0.013","0.2","19","109","165","54","0.46","59","0.45","0.05","1.5","0.21","0.3"
"Cheese","Cheese, American, nonfat or fat free","1061","0","3","0","10.53","26","38.4","0.0","0","0","5.56","21.05","55","0.545","14.6","5.26","0.412","65.47","0.0","0.0","0.0","0.0","789","0.559","0.0","115","316","393","1316","4.11","56","1.85","0.567","0.0","0.27","0.2"
"Cream substitute","Cream substitute, liquid, with hydrogenated vegetable oil and soy protein","1067","0","9","0","11.38","0","0.0","0.0","0","0","0.0","1.0","0","0.0","1.1","11.38","0.0","77.27","7.551","0.027","1.937","9.97","9","0.0","0.03","0","64","191","67","0.02","1","0.0","0.0","0.0","0.81","2.5"
"Cream substitute","Cream substitute, powdered","1069","0","0","0","59.29","0","2.3","0.0","0","0","0.0","2.48","0","0.0","0.0","7.77","0.0","2.98","9.796","0.408","19.146","32.92","2","0.018","0.26","1","288","669","124","0.07","0","0.0","0.0","0.0","1.26","1.7"
"Dessert topping","Dessert topping, semi solid, frozen","1073","0","86","0","23.05","0","0.0","0.0","0","0","0.0","1.25","0","0.0","2.1","23.05","0.0","50.21","1.616","0.523","21.783","25.31","6","0.03","0.12","2","8","18","25","0.03","7","0.0","0.0","0.0","0.96","6.3"
"Sour cream","Sour cream, imitation, cultured","1074","0","0","0","6.63","0","0.0","0.0","0","0","0.0","2.4","0","0.0","2.5","6.63","0.0","71.15","0.588","0.056","17.791","19.52","3","0.058","0.39","6","45","161","102","1.18","0","0.0","0.0","0.0","0.74","4.8"
"Milk","Milk, whole, 3.25% milkfat, with added vitamin D","1077","0","7","0","4.67","12","17.8","0.0","0","0","0.105","3.28","31","0.138","1.9","4.81","0.056","88.1","0.688","0.108","1.86","3.2","123","0.001","0.0","11","101","150","38","0.41","32","0.54","0.061","0.0","0.05","0.3"
"Milk","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","1079","0","3","0","4.91","8","18.2","0.0","0","0","0.112","3.35","83","0.137","1.8","4.89","0.059","89.1","0.4","0.058","1.11","1.9","126","0.001","0.0","12","103","159","39","0.43","83","0.55","0.061","0.2","0.03","0.2"
"Milk","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","1082","0","1","0","5.19","5","17.4","0.0","0","0","0.113","3.38","58","0.14","2.1","4.96","0.057","89.7","0.21","0.032","0.568","0.95","126","0.001","0.0","12","103","159","39","0.43","58","0.61","0.06","0.0","0.02","0.1"
"Milk","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","1085","0","2","0","4.89","3","18.2","0.0","0","0","0.118","3.43","64","0.131","2.0","5.05","0.056","90.8","0.017","0.006","0.049","0.08","132","0.002","0.0","12","107","167","41","0.45","64","0.58","0.058","0.0","0.0","0.0"
"Milk","Milk, buttermilk, fluid, cultured, lowfat","1088","0","1","0","4.79","4","17.7","0.0","0","0","0.058","3.31","13","0.154","2.0","4.79","0.034","90.13","0.254","0.033","0.66","1.07","116","0.011","0.05","11","89","151","148","0.42","14","0.22","0.034","1.0","0.05","0.1"
"Milk","Milk, low sodium, fluid","1089","0","7","0","4.46","14","16.0","0.0","0","0","0.043","3.1","28","0.105","2.0","4.46","0.02","88.2","0.999","0.128","2.154","3.46","101","0.01","0.05","5","86","253","3","0.38","29","0.36","0.034","0.9","0.08","0.3"
"Milk","Milk, dry, whole, with added vitamin D","1090","0","55","0","38.42","97","119.3","0.0","0","0","0.646","26.32","253","1.205","16.3","38.42","0.283","2.47","7.924","0.665","16.742","26.71","912","0.08","0.47","85","776","1330","371","3.34","258","3.25","0.302","8.6","0.58","2.2"
"Milk","Milk, dry, nonfat, regular, without added vitamin A and vitamin D","1091","0","1","0","51.98","20","169.2","0.0","0","0","0.951","36.16","6","1.55","27.3","51.98","0.415","3.16","0.201","0.03","0.499","0.77","1257","0.041","0.32","110","968","1794","535","4.08","6","4.03","0.361","6.8","0.0","0.1"
"Milk","Milk, buttermilk, dried","1094","0","9","0","49.0","69","118.7","0.0","0","0","0.876","34.3","48","1.579","20.3","49.0","0.392","2.97","1.669","0.215","3.598","5.78","1184","0.111","0.3","110","933","1592","517","4.02","49","3.82","0.338","5.7","0.1","0.4"
"Milk","Milk, canned, condensed, sweetened","1095","0","14","0","54.4","34","89.1","0.0","0","0","0.21","7.91","73","0.416","14.8","54.4","0.09","27.16","2.427","0.337","5.486","8.7","284","0.015","0.19","26","253","371","127","0.94","74","0.44","0.051","2.6","0.16","0.6"
"Milk","Milk, canned, evaporated, with added vitamin D and without added vitamin A","1096","0","12","0","10.04","29","31.8","0.0","0","0","0.194","6.81","64","0.316","2.3","10.04","0.047","74.04","2.335","0.245","4.591","7.56","261","0.016","0.19","24","203","303","106","0.77","65","0.16","0.05","1.9","0.14","0.5"
"Milk","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","1097","0","0","0","11.35","4","25.2","0.0","0","0","0.174","7.55","118","0.309","2.5","11.35","0.045","79.4","0.062","0.006","0.121","0.2","290","0.016","0.29","27","195","332","115","0.9","118","0.24","0.055","1.2","0.0","0.0"
"Milk","Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D","1102","0","7","0","10.34","12","17.0","0.8","0","0","0.125","3.17","26","0.162","1.9","9.54","0.037","82.3","0.99","0.124","2.104","3.39","112","0.065","0.24","13","101","167","60","0.41","27","0.33","0.04","0.9","0.07","0.3"
"Milk","Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D","1103","0","11","0","12.13","8","17.1","0.7","0","0","0.164","2.99","63","0.183","3.4","9.55","0.045","82.17","0.455","0.089","1.177","1.9","109","0.075","0.24","14","102","169","66","0.39","64","0.33","0.024","0.0","0.04","0.2"
"Milk","Milk, chocolate, lowfat, with added vitamin A and vitamin D","1104","0","2","0","10.15","5","17.0","0.1","0","0","0.124","3.46","51","0.247","1.9","9.94","0.031","84.5","0.3","0.049","0.616","1.11","129","0.028","0.23","13","96","172","65","0.43","52","0.23","0.047","0.4","0.0","0.1"
"Milk","Milk, goat, fluid, with added vitamin D","1106","0","7","0","4.45","11","16.0","0.0","0","0","0.277","3.56","56","0.138","1.4","4.45","0.048","87.03","1.109","0.149","2.667","4.14","134","0.046","0.05","14","111","204","50","0.3","57","0.07","0.046","1.3","0.07","0.3"
"Milk","Milk, human, mature, fluid","1107","0","7","0","6.89","14","16.0","0.0","0","0","0.177","1.03","60","0.036","1.8","6.89","0.014","87.5","1.658","0.497","2.009","4.38","32","0.052","0.03","3","14","51","17","0.17","61","0.05","0.011","5.0","0.08","0.3"
"Whey","Whey, acid, dried","1113","0","1","0","73.45","3","225.0","0.0","0","0","1.16","11.73","17","2.06","27.3","73.45","0.622","3.51","0.149","0.021","0.342","0.54","2054","0.05","1.24","199","1349","2289","968","6.31","17","2.5","0.62","0.9","0.0","0.0"
"Whey","Whey, sweet, dried","1115","0","2","0","74.46","6","225.0","0.0","0","0","1.258","12.93","8","2.208","27.2","74.46","0.519","3.19","0.297","0.034","0.684","1.07","796","0.07","0.88","176","932","2080","1079","1.97","8","2.37","0.584","1.5","0.02","0.1"
"Yogurt","Yogurt, plain, whole milk","1116","0","5","0","4.66","13","15.2","0.0","0","0","0.075","3.47","27","0.142","2.2","4.66","0.029","87.9","0.893","0.092","2.096","3.25","121","0.009","0.05","12","95","155","46","0.59","27","0.37","0.032","0.5","0.06","0.2"
"Yogurt","Yogurt, plain, low fat","1117","0","2","0","7.04","6","15.2","0.0","0","0","0.114","5.25","14","0.214","3.3","7.04","0.044","85.07","0.426","0.044","1.0","1.55","183","0.013","0.08","17","144","234","70","0.89","14","0.56","0.049","0.8","0.03","0.2"
"Yogurt","Yogurt, plain, skim milk","1118","0","0","0","7.68","2","15.2","0.0","0","0","0.124","5.73","2","0.234","3.6","7.68","0.048","85.23","0.049","0.005","0.116","0.18","199","0.015","0.09","19","157","255","77","0.97","2","0.61","0.053","0.9","0.0","0.2"
"Egg","Egg, whole, raw, fresh","1123","0","0","9","0.72","372","293.8","0.0","503","0","0.075","12.56","160","0.457","30.7","0.37","0.04","76.15","3.658","1.911","3.126","9.51","56","0.072","1.75","12","198","138","142","1.29","160","0.89","0.17","0.0","1.05","0.3"
"Egg","Egg, white, raw, fresh","1124","0","0","0","0.73","0","1.1","0.0","0","0","0.105","10.9","0","0.439","20.0","0.71","0.004","87.57","0.0","0.0","0.0","0.17","7","0.023","0.08","11","15","163","166","0.03","0","0.09","0.005","0.0","0.0","0.0"
"Egg","Egg, yolk, raw, fresh","1125","38","88","33","3.59","1085","820.2","0.0","1094","0","0.024","15.86","371","0.528","56.0","0.56","0.176","52.31","11.738","4.204","9.551","26.54","129","0.077","2.73","5","390","109","48","2.3","381","1.95","0.35","0.0","2.58","0.7"
"Egg","Egg, whole, cooked, hard-boiled","1129","0","11","10","1.12","373","293.8","0.0","353","0","0.064","12.58","148","0.513","30.8","1.12","0.066","74.62","4.077","1.414","3.267","10.61","50","0.013","1.19","10","172","126","124","1.05","149","1.11","0.121","0.0","1.03","0.3"
"Egg","Egg, whole, dried","1133","0","0","36","1.87","1700","1266.7","0.0","835","0","0.34","48.1","300","1.977","164.7","0.56","0.183","4.07","16.726","8.314","15.069","39.8","220","0.0","6.97","44","770","468","485","5.02","301","2.96","0.499","0.0","3.88","1.2"
"Egg","Egg, duck, whole, fresh, raw","1138","0","14","12","1.45","884","263.4","0.0","459","0","0.2","12.81","192","0.404","36.4","0.93","0.156","70.83","6.525","1.223","3.681","13.77","64","0.062","3.85","17","220","222","146","1.41","194","5.4","0.25","0.0","1.34","0.4"
"Egg","Egg, goose, whole, fresh, raw","1139","0","13","12","1.35","852","263.4","0.0","442","0","0.189","13.87","185","0.382","36.9","0.94","0.147","70.43","5.747","1.672","3.595","13.27","60","0.062","3.64","16","208","210","138","1.33","187","5.1","0.236","0.0","1.29","0.4"
"Egg","Egg, quail, whole, fresh, raw","1140","0","11","10","0.41","844","263.4","0.0","369","0","0.15","13.05","155","0.79","32.0","0.4","0.13","74.35","4.324","1.324","3.557","11.09","64","0.062","3.65","13","226","132","141","1.47","156","1.58","0.15","0.0","1.08","0.3"
"Butter","Butter, without salt","1145","0","158","0","0.06","215","18.8","0.0","0","0","0.042","0.85","671","0.034","1.0","0.06","0.005","16.17","23.43","3.01","50.489","81.11","24","0.016","0.02","2","24","24","11","0.09","684","0.17","0.003","0.0","2.32","7.0"
"Milk","Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)","1151","0","7","0","4.86","2","15.6","0.0","0","0","0.094","3.37","1","0.182","3.1","5.09","0.045","90.84","0.047","0.007","0.117","0.18","122","0.013","0.03","11","101","156","42","0.42","2","0.5","0.037","0.0","0.01","0.0"
"Milk","Milk, dry, nonfat, regular, with added vitamin A and vitamin D","1154","0","1","0","51.98","20","169.2","0.0","0","0","0.951","36.16","653","1.55","27.3","51.98","0.415","3.16","0.2","0.03","0.499","0.77","1257","0.041","0.32","110","968","1794","535","4.08","653","4.03","0.361","6.8","0.0","0.1"
"Cheese","Cheese, goat, semisoft type","1157","0","77","0","0.12","79","15.4","0.0","0","0","1.148","21.58","401","0.676","3.8","0.12","0.072","45.52","6.808","0.709","20.639","29.84","298","0.564","1.62","29","375","158","415","0.66","407","0.22","0.06","0.0","0.26","2.5"
"Cheese sauce","Cheese sauce, prepared from recipe","1164","0","26","0","5.48","38","5.1","0.1","0","0","0.204","10.33","80","0.243","6.6","0.19","0.044","66.86","4.735","1.397","8.034","14.92","311","0.019","0.35","19","229","142","493","1.26","82","0.35","0.045","0.6","0.09","0.9"
"Cheese","Cheese, mexican, queso anejo","1165","0","4","0","4.63","105","15.4","0.0","0","0","0.032","21.44","64","0.209","14.5","4.63","0.02","38.06","8.528","0.901","19.033","29.98","680","0.008","0.47","28","444","87","1131","2.94","64","1.38","0.047","0.0","0.26","2.5"
"Cheese","Cheese, mexican, queso asadero","1166","0","4","0","2.87","105","15.4","0.0","0","0","0.181","22.6","55","0.223","14.5","2.87","0.021","42.16","8.038","0.85","17.939","28.26","661","0.026","0.51","26","443","86","607","3.02","55","1.0","0.053","0.0","0.24","2.4"
"Cheese","Cheese, low-sodium, cheddar or colby","1169","0","84","0","1.91","100","15.4","0.0","0","0","0.086","24.35","257","0.375","14.5","0.49","0.021","38.98","9.189","0.972","20.768","32.62","703","0.036","0.72","27","484","112","21","3.09","264","0.83","0.076","0.0","0.28","2.7"
"Sour cream","Sour cream, light","1179","0","21","0","7.1","35","19.2","0.0","0","0","0.07","3.5","88","0.12","3.1","0.22","0.04","78.1","3.1","0.4","6.6","10.6","141","0.016","0.07","10","71","212","83","0.5","90","0.42","0.02","0.9","0.3","0.5"
"Sour cream","Sour cream, fat free","1180","0","9","0","15.6","9","19.2","0.0","0","0","0.07","3.1","72","0.15","5.3","0.39","0.04","80.6","0.0","0.0","0.0","0.0","125","0.016","0.0","10","95","129","141","0.5","73","0.3","0.02","0.0","0.0","0.0"
"Parmesan cheese topping","Parmesan cheese topping, fat free","1185","0","13","0","40.0","20","15.4","0.0","0","0","0.2","40.0","39","0.05","43.3","1.5","0.05","8.6","1.446","0.186","3.11","5.0","800","0.02","5.0","40","700","600","1150","3.0","40","1.1","0.1","0.0","0.04","0.4"
"Cheese","Cheese, cream, fat free","1186","0","11","0","7.66","12","65.2","0.0","0","0","0.23","15.69","10","0.265","4.9","5.48","0.04","71.87","0.25","0.057","0.644","1.0","351","0.036","0.19","22","523","278","702","1.5","11","0.95","0.05","0.0","0.02","0.2"
"Cream","Cream, half and half, fat free","1199","0","3","0","9.0","5","15.0","0.0","0","0","0.124","2.6","12","0.237","2.9","5.0","0.056","86.0","0.384","0.052","0.841","1.4","96","0.016","0.0","16","151","206","100","0.81","12","0.52","0.062","0.7","0.04","0.2"
"Cream substitute","Cream substitute, flavored, liquid","1205","0","0","0","35.07","0","0.5","1.1","1","0","0.091","0.69","0","0.024","0.7","33.04","0.004","50.06","4.002","6.269","2.635","13.5","6","0.142","0.59","19","28","96","67","0.25","0","0.0","0.004","0.0","1.58","3.3"
"Cream substitute","Cream substitute, flavored, powdered","1206","0","0","0","75.42","0","0.5","1.2","1","0","0.084","0.68","0","0.027","1.3","58.01","0.004","1.52","0.618","0.229","19.446","21.47","5","0.135","0.63","17","28","90","123","0.23","0","0.0","0.004","0.0","0.41","9.1"
"Cheese","Cheese, provolone, reduced fat","1208","0","45","0","3.5","55","12.9","0.0","0","0","0.156","24.7","137","0.321","14.5","0.55","0.019","50.6","4.89","0.51","11.3","17.6","756","0.026","0.52","28","496","138","615","3.23","141","1.46","0.073","0.0","0.15","1.5"
"Cheese","Cheese, Mexican, blend, reduced fat","1209","0","50","0","3.41","62","13.5","0.0","0","0","0.06","24.69","151","0.3","15.5","0.56","0.03","48.2","5.02","0.75","11.58","19.4","1146","0.021","0.13","35","583","93","776","4.3","155","1.66","0.084","0.0","0.17","1.6"
"Milk","Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D","1211","0","7","0","4.78","10","14.3","0.0","0","0","0.089","3.15","45","0.169","3.7","5.05","0.046","88.13","0.812","0.195","1.865","3.27","113","0.025","0.03","10","84","132","43","0.37","46","0.45","0.036","0.0","0.07","0.3"
"Cheese product","Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D","1215","0","80","0","10.6","53","36.2","0.0","0","0","0.18","17.6","243","0.48","12.4","8.02","0.07","51.8","4.13","0.41","8.85","14.1","529","0.03","0.2","33","829","330","1201","2.36","250","1.11","0.08","0.0","0.27","2.6"
"Protein supplement","Protein supplement, milk based, Muscle Milk, powder","1223","0","0","0","18.5","21","81.6","7.1","0","0","10.0","45.71","750","0.857","33.8","5.71","0.714","15.0","12.105","1.77","1.553","17.14","500","1.0","8.57","200","643","1129","329","7.14","750","3.0","1.0","30.0","7.07","0.5"
"Protein supplement","Protein supplement, milk based, Muscle Milk Light, powder","1224","0","0","0","22.0","10","81.6","2.0","0","0","14.0","50.0","1050","1.2","33.8","4.0","1.0","12.0","8.474","1.239","1.087","12.0","1200","1.4","12.0","280","700","840","250","10.0","1050","4.2","1.4","42.0","9.45","0.5"
"Dulce de Leche","Dulce de Leche","1225","0","14","0","55.35","29","89.1","0.0","0","0","0.21","6.84","73","0.405","2.7","49.74","0.016","28.71","2.143","0.375","4.534","7.35","251","0.004","0.17","22","193","350","129","0.79","74","0.31","0.016","2.6","0.2","1.3"
