"State","Total.Rate","Total.Number","Total.Population","Rates.Age.< 18","Rates.Age.18-45","Rates.Age.45-64","Rates.Age.> 64","Rates.Age and Sex.< 18.Female","Rates.Age and Sex.< 18.Male","Rates.Age and Sex.18 - 45.Female","Rates.Age and Sex.18 - 45.Male","Rates.Age and Sex.45 - 64.Female","Rates.Age and Sex.45 - 64.Male","Rates.Age and Sex.> 64.Female","Rates.Age and Sex.> 64.Male","Rates.Race.White","Rates.Race.White non-Hispanic","Rates.Race.Black","Rates.Race.Asian","Rates.Race.Indigenous","Rates.Race and Sex.Female.White","Rates.Race and Sex.Female.White non-Hispanic","Rates.Race and Sex.Female.Black","Rates.Race and Sex.Female.Black non-Hispanic","Rates.Race and Sex.Female.Asian","Rates.Race and Sex.Female.Indigenous","Rates.Race and Sex.Male.White","Rates.Race and Sex.Male.White non-Hispanic","Rates.Race and Sex.Male.Black","Rates.Race and Sex.Male.Black non-Hispanic","Rates.Race and Sex.Male.Asian","Rates.Race and Sex.Male.Indigenous","Rates.Race.Hispanic","Rates.Race and Sex.Female.Hispanic","Rates.Race and Sex.Male.Hispanic","Types.Breast.Total","Types.Breast.Age.18 - 44","Types.Breast.Age.45 - 64","Types.Breast.Age.> 64","Types.Breast.Race.White","Types.Breast.Race.White non-Hispanic ","Types.Breast.Race.Black","Types.Breast.Race.Black non-Hispanic","Types.Breast.Race.Asian","Types.Breast.Race.Indigenous","Types.Breast.Race.Hispanic","Types.Colorectal.Total","Types.Colorectal.Age and Sex.Female.18 - 44","Types.Colorectal.Age and Sex.Male.18 - 44","Types.Colorectal.Age and Sex.Female.45 - 64","Types.Colorectal.Age and Sex.Male.45 - 64","Types.Colorectal.Age and Sex.Female.> 64","Types.Colorectal.Age and Sex.Male.> 64","Types.Colorectal.Race.White","Types.Colorectal.Race.White non-Hispanic","Types.Colorectal.Race.Black","Types.Colorectal.Race.Black non-Hispanic","Types.Colorectal.Race.Asian","Types.Colorectal.Race.Indigenous","Types.Colorectal.Race.Hispanic","Types.Lung.Total","Types.Lung.Age and Sex.Female.18 - 44","Types.Lung.Age and Sex.Male.18 - 44","Types.Lung.Age and Sex.Female.45 - 64","Types.Lung.Age and Sex.Male.45 - 64","Types.Lung.Age and Sex.Female.> 64","Types.Lung.Age and Sex.Male.> 64","Types.Lung.Race.White","Types.Lung.Race.White non-Hispanic","Types.Lung.Race.Black","Types.Lung.Race.Black non-Hispanic","Types.Lung.Race.Asian","Types.Lung.Race.Indigenous","Types.Lung.Race.Hispanic"
"Georgia","159.4","108222.0","67890652.0","2.2","15.7","205.6","932.2","2.0","2.3","17.5","13.9","181.9","231.1","763.7","1160.1","170.5","173.9","192.2","89.4","29.7","142.3","145.1","153.8","155.1","78.1","31.0","210.9","215.2","263.0","265.2","103.7","29.0","62.6","52.2","77.7","23.7","4.9","38.3","99.1","20.8","21.2","29.0","29.3","9.6","0.0","8.6","14.6","1.5","1.9","16.3","24.2","71.4","96.0","14.5","14.8","21.1","21.3","9.7","0.0","6.0","46.3","1.3","1.7","45.7","74.0","210.9","383.3","52.4","53.7","45.1","45.4","19.1","0.0","10.6"
"Hawaii","166.0","15812.0","9526083.0","2.5","14.9","171.1","787.8","2.2","2.8","16.3","13.7","149.7","192.7","629.1","988.6","148.4","150.7","158.1","137.1","146.0","123.8","127.3","123.8","135.7","112.0","0.0","176.3","177.4","183.9","185.5","172.2","178.6","168.5","140.8","202.3","19.0","4.0","27.9","62.3","17.5","18.2","0.0","0.0","14.5","0.0","13.7","16.5","1.6","1.7","14.6","23.9","60.0","92.2","12.6","12.7","0.0","0.0","14.5","0.0","18.0","39.8","0.0","0.0","29.0","44.0","153.0","269.3","36.0","37.2","39.6","43.0","32.6","0.0","35.2"
"Idaho","162.1","17756.0","10954295.0","1.9","13.5","168.8","912.2","2.1","1.8","13.4","13.6","155.2","182.6","784.9","1060.0","160.5","162.5","112.1","106.0","124.6","138.4","140.2","0.0","0.0","73.4","119.7","189.2","191.5","145.3","165.3","160.9","132.8","101.5","85.7","119.8","23.1","3.1","31.9","103.1","21.4","21.9","0.0","0.0","0.0","0.0","10.0","14.3","1.4","1.5","13.3","18.2","71.1","86.6","14.0","14.2","0.0","0.0","0.0","17.4","9.4","39.7","0.0","1.0","33.3","42.4","204.1","278.2","39.2","39.9","0.0","0.0","0.0","28.1","19.8"
"Illinois","189.2","169730.0","89696961.0","2.3","14.6","198.6","1037.9","2.0","2.5","16.2","13.1","184.7","213.2","889.1","1242.2","176.3","180.8","224.1","94.0","42.9","152.9","157.1","188.5","189.3","80.9","43.6","211.0","216.2","284.3","285.6","112.8","42.0","108.2","90.8","131.2","27.2","4.4","37.7","109.6","22.2","23.0","32.8","33.0","10.7","0.0","10.7","18.1","1.4","1.7","14.9","21.3","91.6","114.1","16.2","16.7","24.8","24.8","10.1","0.0","10.0","52.3","1.4","1.4","46.6","63.4","240.9","370.7","49.5","51.8","60.1","60.3","21.4","12.6","17.5"
"Indiana","202.7","91978.0","45372690.0","2.4","16.3","218.2","1059.7","2.3","2.5","17.9","14.7","192.4","244.8","882.4","1298.3","186.6","187.8","222.5","83.7","34.6","156.1","157.0","190.6","191.8","81.4","35.4","230.1","231.8","275.3","276.9","89.1","32.6","98.0","84.0","115.4","27.1","4.3","35.2","110.0","22.3","22.5","31.1","31.4","11.1","0.0","12.6","18.2","1.2","1.6","14.7","23.2","88.6","109.4","16.6","16.7","22.6","22.7","7.8","0.0","9.4","62.3","2.0","2.2","55.5","83.6","252.7","434.1","57.6","58.3","64.3","64.6","18.2","0.0","14.6"
"Iowa","210.3","44835.0","21322082.0","2.1","14.7","195.9","1018.1","1.7","2.5","16.1","13.4","178.2","213.7","852.7","1239.4","172.0","173.0","224.8","119.7","163.3","146.0","147.0","189.5","192.6","93.1","138.3","209.5","210.7","279.1","284.2","160.1","192.7","89.4","72.0","110.6","27.1","4.0","32.1","101.8","20.6","20.7","23.4","23.9","0.0","0.0","0.0","20.9","1.5","1.7","14.5","20.6","99.0","112.2","16.7","16.9","23.2","23.6","0.0","0.0","10.2","58.2","1.5","1.5","47.2","69.3","217.6","367.3","48.2","48.6","66.0","66.7","24.6","0.0","18.1"
"Kansas","188.9","37644.0","19928783.0","2.7","14.0","194.4","999.6","2.5","2.8","14.9","13.1","172.2","217.0","845.5","1202.6","169.2","171.0","216.9","108.5","248.0","143.5","145.0","189.7","191.7","87.7","206.4","204.7","206.9","259.6","261.8","137.8","303.3","113.5","94.6","137.6","25.7","3.6","33.6","104.7","21.0","21.3","29.3","29.2","10.2","0.0","12.3","17.7","1.2","1.9","13.3","22.4","86.8","103.6","15.6","15.7","24.1","24.6","10.1","28.4","12.0","53.2","1.2","1.2","46.4","66.0","226.4","368.3","48.0","48.8","59.9","60.8","30.0","81.7","23.8"
"Kentucky","226.3","68675.0","30348057.0","2.2","18.4","256.3","1110.2","1.8","2.7","19.6","17.2","224.1","289.9","916.2","1368.0","204.9","205.9","227.4","108.0","56.1","170.5","171.2","188.1","188.9","100.6","66.3","253.6","255.1","290.8","293.0","121.5","0.0","82.2","78.7","87.7","27.4","4.3","37.1","104.4","22.3","22.4","30.9","31.2","0.0","0.0","12.1","20.2","1.5","2.1","19.0","26.3","89.5","113.9","18.3","18.4","23.6","23.8","14.9","0.0","6.9","79.7","2.9","3.1","77.1","112.6","298.3","519.1","71.5","71.9","73.2","73.6","25.9","0.0","22.0"
"Louisiana","202.9","64194.0","31638386.0","2.3","17.8","246.4","1053.3","1.9","2.7","19.2","16.5","207.7","287.4","857.3","1317.2","186.2","189.2","228.8","100.8","87.3","153.9","156.2","181.8","182.9","79.8","65.8","230.6","234.4","301.5","303.4","126.9","114.2","80.9","71.7","94.6","28.1","4.8","41.0","111.1","21.5","21.8","34.0","34.3","0.0","0.0","9.3","19.4","1.7","2.3","19.5","29.6","85.1","115.8","16.9","17.2","24.7","24.8","7.0","0.0","8.4","59.9","1.8","2.0","54.7","92.2","239.1","432.5","56.2","57.5","61.6","62.0","31.4","24.2","12.8"
"Maine","239.1","22240.0","9301182.0","2.4","15.2","204.7","1061.8","2.4","2.4","16.3","14.1","184.1","226.1","895.7","1273.5","184.0","183.6","115.8","74.1","195.0","155.8","155.5","123.5","123.3","60.8","121.3","224.0","223.5","115.7","117.8","95.8","291.4","75.5","69.9","83.1","27.2","3.9","32.3","90.7","19.5","19.4","0.0","0.0","0.0","0.0","0.0","19.9","1.6","1.7","13.5","18.1","82.1","100.7","15.4","15.3","0.0","0.0","0.0","0.0","0.0","71.2","2.2","2.0","53.9","74.9","259.1","388.1","54.7","54.6","0.0","0.0","0.0","45.1","0.0"
"Maryland","179.3","72603.0","40483979.0","2.0","15.2","189.1","977.5","1.7","2.2","16.9","13.5","175.0","204.6","835.4","1170.4","168.8","171.8","194.4","91.1","49.8","146.2","148.9","164.3","165.6","81.2","39.7","201.6","205.0","246.6","248.9","103.7","64.3","77.9","71.1","89.5","27.3","5.6","38.3","105.7","21.7","22.1","30.3","30.6","9.4","0.0","10.6","16.5","1.4","1.5","14.4","21.3","78.4","103.4","14.3","14.6","21.0","21.1","10.2","0.0","6.8","47.9","1.4","1.4","40.3","58.3","231.0","331.3","47.2","48.5","47.0","47.5","19.8","16.6","10.8"
"Massachusetts","197.8","90756.0","45892272.0","2.1","13.3","177.8","1028.6","2.0","2.2","14.1","12.5","163.0","193.5","890.2","1221.2","173.5","174.8","157.7","97.7","71.1","150.4","152.0","132.1","147.0","79.2","63.7","208.5","209.5","200.2","224.1","120.5","80.0","105.7","87.7","131.5","25.6","4.0","31.0","99.1","20.5","20.7","21.0","23.8","8.0","0.0","10.5","17.0","1.0","1.4","11.7","16.1","85.3","100.0","14.6","14.6","14.6","16.3","10.3","0.0","11.5","53.4","1.4","1.4","43.4","53.3","243.8","340.0","47.9","48.8","34.1","38.1","25.5","15.8","18.5"
"Michigan","205.3","142458.0","69388573.0","2.3","16.4","209.3","1016.3","2.1","2.5","17.6","15.2","190.7","228.6","869.0","1210.0","176.2","176.7","216.9","90.2","175.8","152.0","152.5","183.8","184.5","86.1","145.4","210.8","211.3","269.6","270.1","97.2","219.4","136.5","110.3","169.8","28.5","4.7","36.8","108.0","22.0","22.1","32.5","32.7","8.0","13.5","16.2","18.0","1.4","1.9","14.7","20.0","82.4","102.2","15.0","15.0","22.1","22.1","9.3","17.5","13.1","59.4","1.4","1.8","52.9","71.8","244.7","372.6","51.3","51.7","59.3","59.4","18.7","65.2","29.8"
"Minnesota","178.4","66328.0","37183729.0","2.1","12.9","167.8","983.7","2.0","2.3","13.2","12.6","157.1","178.5","842.8","1165.2","163.2","163.8","178.9","121.5","220.5","140.9","141.3","145.3","147.2","100.9","182.9","195.3","196.2","222.6","227.1","150.3","274.9","94.6","88.4","101.3","24.3","3.1","30.7","103.1","20.4","20.5","21.3","21.4","11.1","9.8","9.9","15.6","1.1","1.5","11.8","17.2","80.8","93.4","14.1","14.2","12.2","12.5","10.5","25.0","7.9","44.8","1.1","1.1","38.0","47.6","212.0","305.6","41.7","42.0","40.3","40.7","21.7","83.8","16.0"
"Mississippi","211.4","43874.0","20756872.0","2.4","19.5","263.9","1049.1","2.2","2.5","20.0","19.0","221.1","310.0","813.9","1372.7","188.6","189.9","229.7","122.4","128.4","150.7","151.4","175.2","175.6","116.6","107.4","241.8","243.9","319.5","321.2","130.7","155.3","54.3","54.9","58.9","27.7","5.2","43.4","100.0","20.1","20.1","32.9","33.0","0.0","0.0","0.0","20.9","1.8","3.0","21.9","34.1","88.8","113.3","17.3","17.5","26.4","26.5","0.0","0.0","0.0","65.6","1.5","2.6","58.8","106.6","223.7","496.4","61.8","62.3","60.1","60.4","33.9","0.0","12.6"
"Missouri","211.2","88348.0","41838390.0","2.3","16.3","221.0","1030.8","2.2","2.4","18.6","14.1","194.2","249.3","875.8","1235.8","182.5","183.9","220.9","97.6","82.9","155.4","156.5","187.9","188.9","85.6","78.7","220.3","221.9","275.6","277.2","114.4","89.8","82.6","70.0","98.4","28.9","4.6","37.6","108.9","22.5","22.7","32.6","32.9","10.9","0.0","9.3","19.4","1.6","1.9","14.5","23.8","87.0","109.0","16.6","16.7","22.7","22.8","13.6","0.0","9.0","65.5","1.9","1.8","56.3","83.1","257.3","419.5","57.1","57.6","60.2","60.5","21.0","27.7","18.5"
"Montana","196.1","13593.0","6933023.0","2.4","11.8","175.4","939.1","0.0","2.5","13.0","10.7","167.0","183.7","815.4","1081.7","159.9","158.6","137.0","114.9","202.6","140.1","138.8","0.0","0.0","101.3","164.6","185.6","184.3","0.0","0.0","0.0","256.1","114.9","106.8","124.1","26.2","3.8","31.7","97.9","20.4","20.3","0.0","0.0","0.0","17.3","0.0","17.2","0.0","0.0","14.4","18.3","75.3","88.5","13.6","13.5","0.0","0.0","0.0","24.7","0.0","52.4","0.0","0.0","40.0","46.9","233.3","299.3","42.6","42.2","0.0","0.0","0.0","59.8","25.6"
"Nebraska","187.5","23977.0","12785524.0","2.7","13.1","179.8","999.5","2.4","3.0","14.2","12.1","163.1","196.7","848.1","1198.5","165.8","167.5","220.6","112.9","160.8","141.4","142.8","185.7","189.4","104.4","144.7","199.9","202.0","272.5","277.8","123.4","184.3","94.8","79.4","113.3","24.8","3.5","30.7","102.6","20.1","20.3","26.9","27.6","0.0","0.0","12.2","19.2","0.0","1.2","13.8","21.7","99.8","111.4","16.7","16.9","26.7","27.2","0.0","0.0","7.1","49.5","1.1","0.9","41.6","54.4","210.8","348.8","44.2","44.8","62.7","64.0","26.6","54.8","18.1"
"Nevada","167.9","31758.0","18912307.0","1.9","13.4","183.7","944.2","1.8","2.1","14.1","12.7","171.4","196.0","814.8","1089.0","178.5","188.5","173.9","104.9","108.2","156.0","165.8","148.3","153.0","90.9","91.1","206.1","216.2","209.4","215.3","125.5","131.9","98.8","83.1","119.6","24.6","3.6","35.7","108.0","23.7","25.5","27.7","28.9","15.8","0.0","10.6","16.7","1.2","1.7","15.5","22.5","80.6","106.2","17.7","18.5","21.4","21.9","11.4","0.0","11.5","48.5","1.0","1.1","43.8","52.0","263.7","325.9","52.1","56.0","44.7","46.1","23.4","27.8","20.4"
"New Hampshire","197.9","18256.0","9223389.0","2.2","14.7","175.2","1009.2","2.9","0.0","15.1","14.3","163.2","187.4","865.4","1189.5","173.7","174.4","105.6","65.8","0.0","149.9","150.6","81.6","90.2","46.9","0.0","207.9","208.6","133.6","128.5","97.1","0.0","74.4","57.3","97.1","26.1","3.8","30.2","103.4","20.9","21.1","0.0","0.0","0.0","0.0","0.0","16.5","1.5","1.6","11.7","14.5","83.6","90.3","14.5","14.6","0.0","0.0","0.0","0.0","0.0","55.4","1.5","1.7","47.8","53.6","246.0","336.8","48.5","48.7","32.6","0.0","0.0","0.0","0.0"
"New Jersey","189.9","116836.0","61521555.0","2.1","14.4","174.8","999.6","1.9","2.2","16.0","12.8","167.2","182.8","872.7","1176.8","170.8","176.4","189.7","81.1","47.6","150.9","156.6","161.1","170.5","71.7","48.9","201.4","207.1","240.5","255.9","93.7","46.0","105.2","89.4","128.8","30.3","4.7","36.7","119.5","24.0","25.1","30.5","32.6","11.6","0.0","12.9","18.8","1.3","1.5","13.7","19.5","92.4","113.4","16.4","16.8","21.3","22.7","8.0","0.0","11.0","47.5","1.4","1.3","37.3","48.5","216.6","317.5","43.9","46.4","42.8","45.4","17.7","12.0","17.9"
"New Mexico","163.2","23425.0","14349762.0","2.2","13.9","167.3","845.0","2.0","2.5","14.2","13.6","152.0","183.5","706.2","1014.2","154.2","157.1","162.0","94.0","114.3","130.2","134.2","128.1","144.8","85.2","102.9","185.6","186.7","199.9","217.8","109.8","131.9","143.4","118.5","176.4","23.2","3.6","32.8","90.6","20.7","21.7","21.9","25.2","0.0","11.4","18.2","16.2","1.3","1.8","12.8","21.1","73.1","95.4","15.1","14.4","20.5","23.1","0.0","13.7","15.9","36.3","0.0","0.9","26.8","35.0","171.5","250.3","35.1","39.3","42.9","47.2","20.2","8.9","26.3"
"New York","183.2","248572.0","135716524.0","2.4","14.3","182.4","942.9","2.2","2.6","15.6","13.0","171.2","194.4","815.9","1121.7","167.6","169.2","163.2","97.2","45.4","147.4","149.9","140.4","154.6","78.3","41.7","197.8","198.0","205.9","225.6","121.6","51.6","119.3","99.4","152.2","26.8","4.2","34.1","104.1","21.9","22.1","25.4","28.2","9.2","3.8","15.2","17.4","1.3","1.6","13.4","18.5","84.4","103.0","15.3","15.2","17.4","19.0","10.5","4.5","13.1","47.2","1.5","1.3","40.9","53.7","208.3","309.1","44.7","46.7","35.6","39.2","23.3","13.8","21.0"
"North Carolina","188.7","125783.0","66669069.0","2.0","15.8","212.6","963.3","1.8","2.2","17.5","14.1","184.8","242.6","788.0","1200.2","171.7","174.0","203.3","91.8","153.1","142.9","144.8","160.1","161.6","86.4","120.1","213.0","216.0","277.9","280.5","99.6","201.3","66.0","59.8","73.8","26.1","4.8","37.6","97.6","20.6","20.9","29.2","29.5","8.5","17.6","8.8","16.0","1.5","1.7","15.3","22.2","69.9","92.8","13.9","14.1","20.9","21.1","6.0","11.8","5.8","57.2","1.8","1.6","49.4","81.6","220.8","409.4","53.4","54.3","51.8","52.2","22.7","50.4","11.3"
"North Dakota","189.1","8990.0","4754903.0","2.1","10.0","165.4","981.7","0.0","0.0","10.3","9.8","151.3","178.9","805.0","1210.6","156.8","156.4","0.0","0.0","238.4","129.8","129.7","0.0","0.0","0.0","215.3","194.1","193.4","0.0","0.0","0.0","271.5","108.5","0.0","163.7","26.6","2.4","28.9","110.7","19.7","19.7","0.0","0.0","0.0","27.4","0.0","19.5","0.0","0.0","14.3","19.0","90.1","118.0","15.9","15.9","0.0","0.0","0.0","25.3","0.0","47.7","0.0","0.0","36.6","45.6","185.6","342.6","39.8","39.7","0.0","0.0","0.0","87.5","0.0"
"Ohio","217.8","175847.0","80741243.0","2.0","16.9","220.2","1061.6","1.9","2.0","18.4","15.4","197.6","244.0","895.1","1288.3","185.3","186.0","218.0","98.7","55.5","157.9","158.6","181.6","182.7","90.5","41.6","224.6","225.4","276.7","278.3","110.9","74.6","97.0","76.3","123.4","30.3","4.5","38.0","114.5","23.2","23.4","31.1","31.4","11.9","0.0","9.5","20.2","1.4","1.8","15.3","22.5","90.4","117.4","17.0","17.1","21.4","21.5","8.3","0.0","9.7","64.2","2.2","2.1","54.2","80.3","250.6","407.9","54.8","55.1","62.9","63.3","25.4","21.5","18.5"
"Oklahoma","209.4","54930.0","26229144.0","2.4","16.3","238.9","1040.5","1.9","2.9","18.6","14.1","209.8","269.2","855.6","1279.4","190.2","192.6","222.1","122.1","194.2","159.0","160.8","181.4","182.5","127.1","162.3","232.7","236.0","286.9","289.5","116.5","237.8","103.6","90.9","119.4","27.8","4.3","38.4","107.7","23.2","23.5","34.7","35.0","12.2","19.5","11.7","19.3","1.8","2.3","18.7","27.0","79.8","111.0","17.1","17.2","23.2","23.4","11.4","22.5","13.2","65.2","1.4","1.2","60.6","88.7","256.6","436.7","59.4","60.5","59.7","60.1","32.1","57.3","19.8"
