"State","Year","Population.12-17","Population.18-25","Population.26+","Totals.Alcohol.Use Disorder Past Year.12-17","Totals.Alcohol.Use Disorder Past Year.18-25","Totals.Alcohol.Use Disorder Past Year.26+","Rates.Alcohol.Use Disorder Past Year.12-17","Rates.Alcohol.Use Disorder Past Year.18-25","Rates.Alcohol.Use Disorder Past Year.26+","Totals.Alcohol.Use Past Month.12-17","Totals.Alcohol.Use Past Month.18-25","Totals.Alcohol.Use Past Month.26+","Rates.Alcohol.Use Past Month.12-17","Rates.Alcohol.Use Past Month.18-25","Rates.Alcohol.Use Past Month.26+","Totals.Tobacco.Cigarette Past Month.12-17","Totals.Tobacco.Cigarette Past Month.18-25","Totals.Tobacco.Cigarette Past Month.26+","Rates.Tobacco.Cigarette Past Month.12-17","Rates.Tobacco.Cigarette Past Month.18-25","Rates.Tobacco.Cigarette Past Month.26+","Totals.Illicit Drugs.Cocaine Used Past Year.12-17","Totals.Illicit Drugs.Cocaine Used Past Year.18-25","Totals.Illicit Drugs.Cocaine Used Past Year.26+","Rates.Illicit Drugs.Cocaine Used Past Year.12-17","Rates.Illicit Drugs.Cocaine Used Past Year.18-25","Rates.Illicit Drugs.Cocaine Used Past Year.26+","Totals.Marijuana.New Users.12-17","Totals.Marijuana.New Users.18-25","Totals.Marijuana.New Users.26+","Rates.Marijuana.New Users.12-17","Rates.Marijuana.New Users.18-25","Rates.Marijuana.New Users.26+","Totals.Marijuana.Used Past Month.12-17","Totals.Marijuana.Used Past Month.18-25","Totals.Marijuana.Used Past Month.26+","Rates.Marijuana.Used Past Month.12-17","Rates.Marijuana.Used Past Month.18-25","Rates.Marijuana.Used Past Month.26+","Totals.Marijuana.Used Past Year.12-17","Totals.Marijuana.Used Past Year.18-25","Totals.Marijuana.Used Past Year.26+","Rates.Marijuana.Used Past Year.12-17","Rates.Marijuana.Used Past Year.18-25","Rates.Marijuana.Used Past Year.26+","Totals.Tobacco.Use Past Month.12-17","Totals.Tobacco.Use Past Month.18-25","Totals.Tobacco.Use Past Month.26+","Rates.Tobacco.Use Past Month.12-17","Rates.Tobacco.Use Past Month.18-25","Rates.Tobacco.Use Past Month.26+"
"Georgia","2002","748467","945489","5202846","36","141","331","0.04781","0.148997","0.063684","113","493","2571","0.150875","0.521851","0.494115","96","335","1348","0.128338","0.354795","0.259056","13","50","108","0.016771","0.052588","0.02079","40","26","4","0.059333","0.047582","0.001259","51","123","165","0.068659","0.130115","0.031782","106","226","331","0.142048","0.238536","0.063636","118","395","1617","0.157931","0.41744","0.310698"
"Hawaii","2002","103803","122789","761280","7","22","45","0.064197","0.181383","0.059655","19","72","390","0.179609","0.585743","0.512835","9","42","166","0.087795","0.343201","0.217747","2","7","9","0.017017","0.055153","0.011654","6","5","0","0.070172","0.089015","0.000719","11","21","37","0.102273","0.169993","0.04901","19","37","59","0.180861","0.302008","0.077044","13","45","186","0.123329","0.3659","0.243703"
"Idaho","2002","128028","164566","794611","10","30","52","0.077889","0.183683","0.065106","22","88","408","0.173672","0.53618","0.513435","16","64","180","0.124806","0.390162","0.226765","2","8","7","0.017981","0.050265","0.009184","7","5","1","0.06364","0.054264","0.001324","10","21","25","0.079185","0.124741","0.031031","19","40","42","0.146283","0.243653","0.052747","19","71","216","0.146953","0.430815","0.271341"
"Illinois","2002","1082396","1380990","7825956","66","269","564","0.06082","0.194891","0.07205","202","886","4234","0.186514","0.641621","0.54097","141","590","2023","0.130005","0.42752","0.258512","18","90","143","0.016724","0.0653","0.018222","58","46","5","0.062369","0.068658","0.001266","82","241","253","0.07609","0.174317","0.032348","156","409","462","0.144562","0.296121","0.058985","162","645","2373","0.149729","0.466831","0.303276"
"Indiana","2002","541577","704733","3788500","34","135","230","0.06206","0.19192","0.060591","87","435","1824","0.160356","0.617812","0.48156","78","317","1033","0.143895","0.449388","0.272616","11","51","68","0.019954","0.071972","0.018","25","24","4","0.054761","0.075355","0.001268","40","121","148","0.073669","0.17192","0.039114","76","200","245","0.139502","0.2844","0.064789","91","347","1228","0.168401","0.492962","0.324224"
"Iowa","2002","246347","351217","1847207","19","69","114","0.075645","0.196711","0.061767","50","236","1067","0.201838","0.672779","0.577894","35","147","464","0.142729","0.419108","0.251356","5","23","27","0.021778","0.064252","0.014352","12","14","1","0.053682","0.071458","0.001062","17","46","56","0.071008","0.131444","0.030436","33","91","104","0.133929","0.258775","0.056274","40","171","544","0.163386","0.486748","0.294414"
"Kansas","2002","241178","319425","1645149","12","59","86","0.051188","0.184927","0.052405","47","210","822","0.194089","0.658914","0.49965","34","127","412","0.139526","0.396242","0.250627","4","20","24","0.017971","0.063062","0.014814","11","12","1","0.051272","0.076829","0.001083","18","44","46","0.073894","0.139181","0.027944","32","81","87","0.132367","0.254418","0.052901","38","146","506","0.155676","0.456805","0.307314"
"Kentucky","2002","327727","454574","2605898","17","67","125","0.052574","0.146669","0.04798","61","264","1049","0.187496","0.580701","0.402697","58","241","879","0.176225","0.530579","0.337387","7","30","50","0.020456","0.065857","0.019306","19","13","2","0.069493","0.062944","0.001165","27","64","99","0.081571","0.141548","0.038175","53","119","177","0.163226","0.262076","0.067751","76","268","1004","0.23177","0.588839","0.385381"
"Louisiana","2002","406965","537725","2668243","24","94","169","0.059666","0.175628","0.063273","79","330","1262","0.193519","0.614114","0.472993","61","228","732","0.150078","0.423585","0.274469","7","29","65","0.016527","0.053771","0.024229","20","21","2","0.056358","0.079103","0.000922","28","92","89","0.069216","0.170381","0.033271","53","148","154","0.130157","0.27517","0.057805","72","259","850","0.175791","0.482136","0.318712"
"Maine","2002","108861","130511","869560","6","24","51","0.055913","0.182557","0.058813","18","87","473","0.165458","0.667566","0.544405","13","57","227","0.121629","0.438887","0.260988","2","11","13","0.021845","0.08046","0.014597","8","5","1","0.083056","0.10352","0.001254","11","30","46","0.105597","0.232175","0.05334","20","49","68","0.187569","0.373413","0.077963","15","66","267","0.135548","0.504427","0.306937"
"Maryland","2002","476696","536352","3466746","26","86","226","0.053721","0.159763","0.065199","82","344","2022","0.171366","0.642148","0.583384","53","193","793","0.110805","0.359135","0.228843","7","26","59","0.013767","0.047993","0.017012","28","19","3","0.066743","0.071553","0.001289","38","104","113","0.078684","0.19434","0.032664","70","163","237","0.147458","0.303073","0.068399","61","226","928","0.127003","0.420454","0.267636"
"Massachusetts","2002","508325","672543","4201348","37","124","301","0.073531","0.184677","0.071758","107","464","2637","0.210427","0.689414","0.62754","59","258","889","0.116936","0.383966","0.211581","10","53","90","0.020544","0.07883","0.021372","31","22","3","0.077447","0.081665","0.001578","54","165","201","0.105302","0.245414","0.047945","102","257","472","0.201511","0.381879","0.112412","73","286","1045","0.143674","0.425295","0.248799"
"Michigan","2002","895753","1091376","6298792","57","200","444","0.064189","0.182904","0.070502","172","724","3561","0.192279","0.662977","0.565363","122","467","1747","0.135937","0.428101","0.277355","19","68","128","0.020767","0.062648","0.020267","51","39","4","0.067834","0.076569","0.001363","83","202","312","0.092345","0.184877","0.049524","153","353","539","0.17032","0.323818","0.085498","142","520","2036","0.158902","0.4764","0.323166"
"Minnesota","2002","446545","572795","3154577","32","120","223","0.072357","0.209909","0.070834","87","405","1947","0.195399","0.706784","0.617306","70","276","776","0.156694","0.482232","0.245859","10","43","52","0.023487","0.074652","0.016353","26","19","3","0.068649","0.071466","0.001477","40","100","126","0.089218","0.174902","0.03995","77","174","225","0.17302","0.303352","0.071283","79","294","939","0.176944","0.513143","0.297813"
"Mississippi","2002","257508","347410","1704672","10","48","91","0.037756","0.139583","0.053524","38","175","609","0.14725","0.502384","0.357169","33","144","502","0.128348","0.415653","0.294637","3","15","30","0.011802","0.041753","0.017535","11","11","1","0.045486","0.053306","0.000893","16","45","47","0.060446","0.129855","0.027446","28","77","80","0.110088","0.220615","0.04678","43","166","611","0.1657","0.477678","0.358719"
"Missouri","2002","491394","628542","3550250","31","124","213","0.063358","0.197596","0.060101","97","406","1983","0.196656","0.645202","0.558463","88","299","1085","0.17876","0.475865","0.305597","10","45","80","0.020329","0.071861","0.022654","30","21","3","0.071002","0.072608","0.001367","37","117","163","0.074293","0.185535","0.04591","79","198","280","0.161483","0.314762","0.078729","103","325","1285","0.210137","0.517593","0.361885"
"Montana","2002","81697","103338","578710","9","24","48","0.112131","0.233896","0.083608","20","72","331","0.24731","0.692946","0.571854","13","46","152","0.161031","0.449585","0.262598","2","8","9","0.025136","0.072961","0.016165","6","4","0","0.090805","0.101967","0.001216","10","21","39","0.120712","0.206639","0.067083","17","36","52","0.210749","0.351514","0.090021","17","56","188","0.211585","0.537626","0.32515"
"Nebraska","2002","152465","204600","1058402","14","51","79","0.089415","0.251558","0.074731","34","140","590","0.222444","0.683843","0.557695","25","90","252","0.16361","0.439225","0.238442","3","12","15","0.021607","0.05719","0.01415","9","7","1","0.066346","0.059926","0.001122","14","32","39","0.091303","0.156064","0.03656","25","56","67","0.164229","0.271688","0.062889","29","100","304","0.188572","0.488099","0.287566"
"Nevada","2002","184670","215631","1379759","13","35","95","0.069304","0.161861","0.06876","34","122","747","0.183959","0.563721","0.541201","24","78","441","0.127314","0.364012","0.319471","4","16","23","0.019736","0.073462","0.016556","12","6","1","0.084232","0.06078","0.001509","18","39","78","0.095757","0.182867","0.056828","36","63","115","0.196742","0.290153","0.083078","28","91","503","0.153051","0.423759","0.364718"
"New Hampshire","2002","113457","129505","830689","9","30","59","0.07537","0.23214","0.071036","24","93","525","0.214371","0.71778","0.632042","16","58","207","0.140253","0.447961","0.24937","3","13","16","0.026646","0.101698","0.018944","8","5","1","0.08815","0.111396","0.001592","13","35","61","0.117852","0.27308","0.073608","23","58","94","0.205242","0.446083","0.113104","19","65","256","0.168226","0.503318","0.30858"
"New Jersey","2002","719658","791085","5586200","37","131","278","0.051602","0.166224","0.049681","135","515","3448","0.187738","0.650646","0.617177","85","322","1255","0.118279","0.406681","0.224624","13","51","95","0.017752","0.06493","0.017093","43","25","4","0.06624","0.059723","0.001156","53","142","164","0.073316","0.178881","0.029299","101","233","279","0.140301","0.293961","0.049959","98","352","1455","0.136501","0.444463","0.26038"
"New Mexico","2002","176611","210636","1122984","14","48","90","0.077317","0.226758","0.080058","37","128","558","0.206727","0.607794","0.496692","22","81","260","0.123438","0.384506","0.231938","5","21","20","0.028077","0.100343","0.018141","11","8","1","0.082554","0.104922","0.001428","18","40","53","0.103467","0.189767","0.047416","34","71","81","0.190314","0.338012","0.072406","27","95","316","0.153652","0.452628","0.281426"
"New York","2002","1562426","2036478","12316861","87","323","727","0.055929","0.158409","0.059004","305","1310","7093","0.19495","0.643389","0.575879","185","818","3050","0.118097","0.401675","0.247615","22","141","248","0.01414","0.069253","0.020154","93","81","8","0.068483","0.08016","0.001177","137","437","593","0.087551","0.2144","0.048169","250","684","1010","0.159821","0.335951","0.082012","200","889","3498","0.127821","0.436408","0.283994"
"North Carolina","2002","685632","875677","5204654","39","145","273","0.056608","0.165397","0.052474","111","494","2143","0.161247","0.564304","0.411755","101","402","1507","0.147775","0.458865","0.289463","13","56","95","0.01919","0.064221","0.018301","46","30","4","0.078134","0.068075","0.001055","58","151","190","0.084415","0.172157","0.036594","116","234","315","0.169718","0.266983","0.060515","123","439","1868","0.179678","0.501347","0.35882"
"North Dakota","2002","54387","82312","389658","6","22","29","0.103299","0.271091","0.074874","14","60","232","0.252281","0.730577","0.59418","10","35","100","0.175323","0.427826","0.25715","1","5","4","0.019538","0.059386","0.010963","3","3","0","0.06959","0.084486","0.000925","4","13","11","0.075777","0.153455","0.029425","9","24","19","0.161848","0.288019","0.049459","11","41","119","0.208779","0.497384","0.304989"
"Ohio","2002","987986","1231294","7182193","57","228","457","0.057977","0.185373","0.063618","173","805","3893","0.175182","0.654017","0.542037","143","567","2155","0.145213","0.460277","0.300029","17","86","135","0.016917","0.069882","0.018828","56","42","4","0.066158","0.073043","0.001167","86","224","299","0.087426","0.182232","0.041688","151","374","500","0.153261","0.303353","0.069599","171","638","2579","0.172683","0.517914","0.359106"
"Oklahoma","2002","302673","411137","2120890","17","70","109","0.056766","0.170327","0.051525","49","239","929","0.160402","0.582308","0.438116","45","184","629","0.149591","0.447124","0.296748","6","25","27","0.018575","0.05992","0.012731","17","14","1","0.063342","0.066686","0.001037","25","64","70","0.081258","0.155086","0.033051","46","105","119","0.153422","0.254671","0.055984","53","218","746","0.175973","0.529603","0.351604"
"Oregon","2002","297076","385140","2261755","17","69","131","0.058382","0.178349","0.057936","51","252","1262","0.170724","0.653151","0.557883","34","160","541","0.112933","0.414863","0.239406","6","28","39","0.019104","0.07246","0.017076","17","12","2","0.069408","0.075348","0.001439","28","85","149","0.093118","0.221709","0.06573","52","140","214","0.173815","0.364412","0.094699","43","180","666","0.144231","0.46634","0.294629"
"Pennsylvania","2002","1028108","1290045","8009346","55","233","427","0.053442","0.180818","0.053342","186","837","4256","0.180594","0.64847","0.53138","151","578","2129","0.147341","0.447779","0.265859","15","85","144","0.014852","0.066223","0.017926","60","47","5","0.06653","0.075078","0.001021","84","228","270","0.081782","0.176562","0.033748","157","386","477","0.15237","0.299531","0.059498","172","647","2582","0.167494","0.501746","0.322407"
"Rhode Island","2002","85295","126228","688500","6","32","53","0.066171","0.255947","0.077024","19","96","416","0.221236","0.760744","0.603798","12","60","174","0.137223","0.476003","0.253351","2","15","17","0.020978","0.120488","0.024973","5","4","1","0.078864","0.100183","0.001456","9","38","39","0.108629","0.299258","0.056975","16","58","64","0.182929","0.457112","0.092868","14","65","202","0.161285","0.514588","0.292877"
"South Carolina","2002","345629","458404","2574050","17","89","160","0.048303","0.194822","0.062332","50","280","1193","0.143611","0.610973","0.46355","42","197","669","0.122116","0.428814","0.259724","6","29","54","0.017079","0.063574","0.021131","20","18","2","0.065633","0.080487","0.001039","25","75","91","0.072508","0.164647","0.035231","46","127","153","0.134372","0.277537","0.059593","54","220","805","0.155174","0.480562","0.312678"
"South Dakota","2002","69742","90990","459901","7","24","36","0.097708","0.261543","0.07933","15","65","262","0.220714","0.71492","0.569772","14","47","127","0.197882","0.517574","0.276965","2","5","5","0.024051","0.054908","0.01102","5","4","0","0.083853","0.085799","0.000966","7","13","13","0.095658","0.146648","0.027378","12","26","23","0.17648","0.283539","0.050207","16","52","150","0.228239","0.57695","0.325339"
"Tennessee","2002","473558","621828","3699537","23","92","171","0.047664","0.148277","0.046301","63","289","1387","0.132671","0.465011","0.374836","68","241","1034","0.143315","0.388272","0.279522","9","38","66","0.01846","0.060755","0.017968","22","20","2","0.050895","0.055023","0.001044","30","83","106","0.063729","0.133951","0.028782","58","131","164","0.121494","0.210736","0.044399","81","288","1253","0.171688","0.46302","0.33858"
"Texas","2002","2018953","2512206","12788834","118","422","780","0.058449","0.167846","0.060979","355","1457","6376","0.175641","0.579855","0.498598","235","984","3208","0.116542","0.391825","0.250875","52","167","203","0.025834","0.066628","0.015841","114","77","14","0.065191","0.055505","0.001399","129","323","377","0.063776","0.128555","0.029508","281","560","641","0.139097","0.222794","0.050138","272","1067","3801","0.134548","0.424743","0.297251"
"Utah","2002","229447","360378","1222045","11","47","67","0.047203","0.129829","0.055008","23","129","384","0.102277","0.357401","0.313957","15","89","200","0.065683","0.24608","0.163642","3","17","15","0.015171","0.047791","0.012122","10","12","1","0.044975","0.052627","0.001309","12","34","26","0.052963","0.095254","0.021456","25","75","48","0.110808","0.207679","0.039256","19","92","245","0.084312","0.254586","0.200878"
"Vermont","2002","53924","69851","403822","3","13","24","0.064478","0.192826","0.059631","12","51","245","0.220026","0.734525","0.606911","8","33","93","0.148438","0.475712","0.230295","2","7","7","0.028093","0.097309","0.018466","4","2","0","0.103502","0.104433","0.001459","7","19","26","0.133166","0.269528","0.063394","12","31","41","0.226901","0.445581","0.101018","10","37","115","0.183272","0.526411","0.284898"
"Virginia","2002","607438","739131","4560096","38","130","265","0.061837","0.175962","0.058119","112","453","2458","0.184045","0.612548","0.539104","86","321","1080","0.141722","0.433759","0.236913","10","41","81","0.017184","0.055191","0.017813","38","27","3","0.073392","0.07495","0.001189","51","131","170","0.084252","0.177012","0.037254","94","219","259","0.154747","0.295692","0.056811","94","354","1309","0.154004","0.478298","0.286994"
"Washington","2002","528622","653701","3825493","31","119","224","0.05829","0.182401","0.058478","96","416","2308","0.181542","0.636599","0.603291","57","276","839","0.108421","0.422286","0.219308","9","47","49","0.017713","0.071495","0.012922","31","19","3","0.071435","0.071117","0.001606","48","139","184","0.091051","0.212184","0.048161","93","236","346","0.176449","0.361625","0.090454","70","299","971","0.13219","0.458073","0.253699"
"West Virginia","2002","139163","194555","1197550","9","31","60","0.063175","0.161215","0.049873","25","103","441","0.182759","0.531757","0.368105","24","93","335","0.173399","0.479582","0.279436","4","14","17","0.026083","0.074243","0.014412","9","6","1","0.072889","0.062673","0.000931","12","29","38","0.086249","0.146717","0.031698","24","54","63","0.169217","0.278694","0.052376","30","106","435","0.213435","0.542628","0.362965"
"Wisconsin","2002","482686","620505","3425585","35","145","253","0.071858","0.232986","0.073896","103","447","2072","0.213926","0.72052","0.604803","74","282","811","0.153221","0.454807","0.236693","10","41","61","0.019832","0.066225","0.017731","30","23","2","0.071661","0.082539","0.001232","37","99","109","0.077073","0.159801","0.031789","76","186","192","0.158386","0.300036","0.056146","84","313","988","0.173023","0.504131","0.288415"
"Wyoming","2002","45377","59114","310110","3","14","21","0.075421","0.232427","0.06811","8","39","169","0.183034","0.664784","0.543541","6","26","79","0.127754","0.444558","0.255026","1","4","4","0.017993","0.076005","0.012521","3","2","0","0.064353","0.070639","0.001172","3","9","10","0.071356","0.155898","0.032719","7","17","20","0.144565","0.287935","0.06379","7","33","101","0.163419","0.551839","0.325479"
"Alabama","2003","381563","503783","2834977","18","68","135","0.048108","0.135339","0.047755","60","260","1137","0.156793","0.517024","0.400951","51","200","779","0.134812","0.396331","0.274905","6","28","46","0.015842","0.056283","0.016102","19","16","2","0.057088","0.058363","0.001287","25","69","81","0.064254","0.137853","0.028499","51","127","156","0.13402","0.252083","0.055134","67","238","994","0.174335","0.472788","0.350657"
"Alaska","2003","68492","69578","370098","4","11","23","0.056886","0.163053","0.061471","11","40","200","0.159795","0.578337","0.539139","9","30","91","0.131513","0.426584","0.24634","1","6","5","0.020778","0.087204","0.013873","4","2","0","0.077867","0.076329","0.001374","8","16","26","0.120174","0.23009","0.070333","13","25","43","0.184432","0.360904","0.115565","11","33","106","0.158711","0.478284","0.287057"
"Arizona","2003","498693","621802","3424675","37","120","276","0.074932","0.192682","0.080512","94","359","1807","0.189373","0.577218","0.527693","60","228","841","0.119558","0.366406","0.245571","14","54","83","0.027566","0.086417","0.024154","27","17","3","0.066348","0.056403","0.00131","42","93","134","0.083331","0.149255","0.039126","83","163","233","0.165624","0.2617","0.068067","73","240","969","0.145958","0.386757","0.282873"
"Arkansas","2003","233184","306999","1703727","13","49","86","0.054938","0.160987","0.050646","41","172","699","0.17546","0.560402","0.41053","33","143","498","0.142149","0.464561","0.292234","4","17","23","0.015218","0.054411","0.013306","12","10","1","0.057542","0.06378","0.001293","20","49","61","0.084435","0.160746","0.036007","34","91","103","0.146591","0.296537","0.060498","41","162","612","0.173997","0.527845","0.359028"
"California","2003","3209345","3949889","21686129","204","655","1336","0.063632","0.165861","0.06159","540","2206","11848","0.168149","0.558465","0.54634","279","1241","3621","0.086938","0.314248","0.166954","52","267","417","0.016061","0.067505","0.019236","169","139","13","0.061018","0.066741","0.001087","273","641","1019","0.08516","0.162333","0.04698","469","1099","1625","0.146025","0.278214","0.074923","349","1380","4238","0.10876","0.349357","0.195433"
"Colorado","2003","388793","501011","2828830","26","102","220","0.067979","0.202954","0.077843","84","348","1754","0.21555","0.694074","0.619989","51","220","714","0.131411","0.439539","0.252388","8","45","75","0.019641","0.090131","0.026407","24","16","2","0.079195","0.079464","0.001742","38","95","140","0.098274","0.189069","0.049513","71","156","269","0.182669","0.311575","0.09506","67","249","828","0.173297","0.496077","0.29259"
"Connecticut","2003","295229","336200","2259754","19","69","139","0.064449","0.206526","0.061426","62","248","1440","0.208635","0.737902","0.637355","41","139","503","0.139631","0.413181","0.222373","5","27","32","0.018072","0.081489","0.014086","21","12","2","0.085348","0.08066","0.001337","26","81","97","0.086594","0.240934","0.043078","55","132","174","0.185335","0.393699","0.077005","49","155","577","0.167462","0.460157","0.255474"
"Delaware","2003","67658","90513","522123","3","16","29","0.048705","0.173186","0.05516","11","59","275","0.169463","0.649068","0.525786","9","37","123","0.130539","0.410004","0.236268","1","7","10","0.014715","0.072753","0.018925","4","3","0","0.065887","0.073319","0.001246","5","19","18","0.074743","0.209699","0.03543","10","29","34","0.151033","0.316456","0.065872","10","41","143","0.153362","0.449379","0.274026"
"District of Columbia","2003","33384","70483","367787","1","11","33","0.034653","0.161876","0.089181","4","46","215","0.122514","0.649751","0.584301","2","22","98","0.067113","0.314146","0.26594","0","3","11","0.005653","0.0409","0.028989","2","3","0","0.059079","0.070045","0.001517","2","14","19","0.058815","0.199276","0.051537","4","22","39","0.132777","0.308746","0.105871","3","25","106","0.089747","0.35706","0.288755"
"Florida","2003","1376459","1658368","11277251","77","274","662","0.056203","0.165084","0.05874","236","979","6086","0.171702","0.590095","0.539709","146","590","2700","0.106299","0.355712","0.239414","22","120","217","0.016342","0.07252","0.019256","71","49","9","0.059333","0.059361","0.001229","100","274","465","0.072949","0.165227","0.041276","196","482","833","0.142577","0.290698","0.073868","170","688","3174","0.123377","0.415047","0.281421"
"Georgia","2003","763519","967105","5276693","32","122","275","0.041268","0.126086","0.052186","119","523","2546","0.155882","0.541033","0.48247","92","346","1378","0.119928","0.35779","0.261216","11","43","102","0.014329","0.044083","0.019363","37","27","5","0.056072","0.050647","0.001488","48","127","208","0.063446","0.131677","0.039331","101","222","360","0.13293","0.22974","0.06822","113","406","1634","0.148415","0.420175","0.309671"
