"Year","Demographics.Total","Education.Major","Salaries.Highest","Salaries.Lowest","Salaries.Mean","Salaries.Median","Salaries.Quantity","Salaries.Standard Deviation","Demographics.Ethnicity.Asians","Demographics.Ethnicity.Minorities","Demographics.Ethnicity.Whites","Demographics.Gender.Females","Demographics.Gender.Males","Education.Degrees.Bachelors","Education.Degrees.Doctorates","Education.Degrees.Masters","Education.Degrees.Professionals","Employment.Employer Type.Business/Industry","Employment.Employer Type.Educational Institution","Employment.Employer Type.Government","Employment.Reason Working Outside Field.Career Change","Employment.Reason Working Outside Field.Family-related","Employment.Reason Working Outside Field.Job Location","Employment.Reason Working Outside Field.No Job Available","Employment.Reason Working Outside Field.Other","Employment.Reason Working Outside Field.Pay/Promotion","Employment.Reason Working Outside Field.Working Conditions","Employment.Reason for Not Working.Family","Employment.Reason for Not Working.Layoff","Employment.Reason for Not Working.No Job Available","Employment.Reason for Not Working.No need/want","Employment.Reason for Not Working.Student","Employment.Status.Employed","Employment.Status.Not in Labor Force","Employment.Status.Unemployed","Employment.Work Activity.Accounting/Finance/Contracts","Employment.Work Activity.Applied Research","Employment.Work Activity.Basic Research","Employment.Work Activity.Computer Applications","Employment.Work Activity.Design","Employment.Work Activity.Development","Employment.Work Activity.Human Resources","Employment.Work Activity.Managing/Supervising People/Projects","Employment.Work Activity.Other","Employment.Work Activity.Productions/Operations/Maintenance","Employment.Work Activity.Professional Service","Employment.Work Activity.Qualitity/Productivity Management","Employment.Work Activity.Sales, Purchasing, Marketing","Employment.Work Activity.Teaching"
"1993","220883","Physics and Astronomy","999999.0","1000.0","195036.54","62000.0","4797","332310.7","26170","10484","184125","22448","198434","94765","48147","69274","8696","110582","51249","23087","17365","5806","10958","15156","4253","17611","11395","2096","3342","5190","3470","4392","184918","29141","6824","86583","78682","48200","102273","74569","60328","48768","81225","14650","17141","23787","40263","31196","46389"
"1993","1301889","Psychology","999999.0","7000.0","257851.2","48000.0","9059","397375.06","34473","130616","1136725","772649","529240","805194","73125","347624","75946","671413","236835","171093","115536","79218","117990","107703","37763","161386","129485","58192","16517","28058","52455","32926","1079341","178424","44124","782773","185665","112353","310177","106566","168990","450210","567920","161999","69629","484199","264034","277335","364285"
"1993","0","Biochemistry and Biophysics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Anthropology and Archeology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Physiology, Human and Animal","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Nutritional Science","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Pharmacology, Human and Animal","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Zoology, General","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Information Services and Systems","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Animal Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Genetics, Animal and Plant","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","International Relations","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Geology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Operations Research","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Sociology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Oceanography","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","History of Science","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Plant Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Philosophy of Science","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Agricultural Economics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","OTHER Geological Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Botany","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Environmental Science Studies","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Forestry Services","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Earth Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Criminology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Political and related sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Public Policy Studies","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","OTHER Physical and Related Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Area and Ethnic Studies","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Atmospheric Sciences and Meteorology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Food Sciences and Technology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Political Science and Government","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Statistics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Linguistics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","Geography","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","0","OTHER Agricultural Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","1338108","Biological Sciences","150000.0","0.0","54523.54","47000.0","11130","35304.27","92708","119813","1123768","579614","758494","708320","97866","256862","275060","694788","304161","124464","99728","56374","103254","84066","37830","123762","108103","39287","9391","13934","43790","62033","1123413","190368","24326","253582","319206","211785","290714","136147","190280","361380","559199","112097","101378","515192","276259","332595","397959"
"1995","217727","Chemical Engineering","150000.0","0.0","58896.72","57000.0","2653","28778.97","29745","12644","175338","33731","183996","128954","18113","63855","6805","149922","9819","14018","10284","3924","9144","6889","3851","10449","9006","2599","2361","3670","4461","2613","173759","38337","5631","51148","62750","21708","62589","83604","70103","57016","94190","17303","26079","28119","59804","54763","21782"
"1995","507228","Chemistry","999999.0","0.0","60697.6","57000.0","6617","35623.28","49393","36562","421046","140363","366865","243778","84684","105201","73565","282909","84425","39014","34865","16729","30357","21523","14841","37985","28568","10109","3530","7306","14170","8564","406348","92406","8474","91161","161691","91673","121592","76773","118959","122177","212421","44322","37343","123896","112055","109206","106965"
"1995","345038","Civil Engineering","150000.0","0.0","51758.63","50000.0","3273","25567.75","39586","18806","286397","24979","320059","240167","10094","91371","3406","193008","15532","85122","12232","3795","9279","6327","5349","13094","11526","2646","2579","2352","4133","2650","293662","46285","5092","139907","59325","32461","122353","130860","64512","109209","205473","42050","30251","66465","112177","104112","28719"
"1995","1114519","Computer Science and Math","150000.0","0.0","49672.61","47000.0","8079","27110.39","87310","103423","923026","401758","712760","776359","49525","271247","17387","697307","188351","85930","58056","32716","65845","40568","28589","77716","64389","34692","10735","15253","27819","10947","971588","120137","22794","261152","209691","128163","667212","282449","208889","292120","426032","75539","69947","133434","226475","260939","236202"
"1995","658039","Economics","999999.0","0.0","50778.48","43000.0","2853","38058.83","46146","42052","569841","157069","500970","417262","23886","152710","64180","432083","56094","62513","66331","26016","66013","42821","22541","86180","62519","14465","4413","7768","12646","12202","550690","93633","13717","288131","85735","51237","211119","75780","91322","216006","310494","61270","55392","201075","166324","279973","92674"
"1995","675226","Electrical Engineering","150000.0","0.0","58165.47","56000.0","6152","26454.65","88354","42981","543890","36905","638321","449221","27001","187948","11056","471903","35101","60283","28937","7886","23328","23049","10490","29536","23596","4247","9829","9369","6925","6327","567287","90473","17466","162028","176516","76165","345592","300037","221955","167290","281753","44489","74249","54143","153400","179209","60092"
"1995","257747","Management & Administration","150000.0","0.0","49707.08","48000.0","1468","24079.2","17104","21713","218230","60877","196870","165470","6954","83012","2310","186232","22438","28034","23739","7191","18156","13762","10526","29134","22224","1365","2691","2384","1933","1624","236704","15561","5481","105381","48523","30189","161729","71587","52386","78384","117836","24939","22004","39802","75849","87568","43694"
"1995","524019","Mechanical Engineering","150000.0","0.0","54028.15","50000.0","4653","25098.31","50780","23561","449528","26645","497374","372399","16685","127905","7031","370438","21056","41068","26247","9926","24229","20035","11063","33951","25509","3652","5007","6070","7707","5358","432562","81245","10212","136804","121757","53401","180578","243023","175991","130040","234929","34726","75626","48967","140880","141490","42851"
"1995","708304","Other Engineering","150000.0","0.0","51350.77","50000.0","6480","26971.9","53943","39247","614371","67765","640539","479084","27031","190539","11651","472003","42408","65349","41542","20637","39712","33535","19012","46257","36953","7712","9902","7787","9841","5973","579760","112163","16381","198224","159858","69920","265996","253245","191280","184511","321067","65666","99303","91729","197345","214381","78984"
"1995","223931","Physics and Astronomy","150000.0","0.0","56423.7","55000.0","4050","30905.84","26353","10632","186866","23565","200366","92441","51020","70766","9705","118859","49390","19069","16556","7872","14689","14715","7319","19242","13680","2399","1606","4280","4216","3186","187318","31328","5286","45719","73281","45904","100664","71634","56366","47928","83673","19060","18381","26261","36493","45369","43034"
"1995","1404991","Psychology","999999.0","0.0","42852.08","37000.0","7558","31471.55","39939","146971","1217769","860723","544268","873382","81860","377286","72463","712454","284333","185743","142766","74298","132151","116379","53426","195679","155758","65022","9464","18640","54934","35054","1182531","193421","29039","345775","180862","119649","330003","123649","182381","468856","576551","152357","66068","558987","291595","459912","400942"
"1995","0","Biochemistry and Biophysics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Anthropology and Archeology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Physiology, Human and Animal","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Nutritional Science","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Pharmacology, Human and Animal","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Zoology, General","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Information Services and Systems","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Animal Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Genetics, Animal and Plant","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","International Relations","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Geology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Operations Research","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Sociology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Oceanography","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","History of Science","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Plant Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Philosophy of Science","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Agricultural Economics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","OTHER Geological Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Botany","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Environmental Science Studies","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Forestry Services","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Earth Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Criminology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Political and related sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Public Policy Studies","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","OTHER Physical and Related Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Area and Ethnic Studies","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Atmospheric Sciences and Meteorology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Food Sciences and Technology","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Political Science and Government","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Statistics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Linguistics","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","Geography","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1995","0","OTHER Agricultural Sciences","0.0","0.0","0.0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
