"Year","Country.Name","Country.Code","Country.GDP","Country.Population","Emissions.Production.CH4","Emissions.Production.N2O","Emissions.Production.CO2.Cement","Emissions.Production.CO2.Coal","Emissions.Production.CO2.Gas","Emissions.Production.CO2.Oil","Emissions.Production.CO2.Flaring","Emissions.Production.CO2.Other","Emissions.Production.CO2.Total","Emissions.Global Share.CO2.Cement","Emissions.Global Share.CO2.Coal","Emissions.Global Share.CO2.Gas","Emissions.Global Share.CO2.Oil","Emissions.Global Share.CO2.Flaring","Emissions.Global Share.CO2.Total"
"2002","Albania","ALB","17408065536.0","3126183","3.56","1.29","0.0","0.084","0.026","3.638","0.0","4.440892098500626e-16","3.748","0.0","0.0","0.0","0.04","0.0","0.01"
"2003","Albania","ALB","18465497088.0","3118017","3.57","1.3","0.231","0.084","0.026","3.891","0.0","8.881784197001252e-16","4.232","0.03","0.0","0.0","0.04","0.0","0.02"
"2004","Albania","ALB","19587880960.0","3104893","3.5","1.26","0.227","0.084","0.033","3.759","0.0","0.001000000000000334","4.104","0.03","0.0","0.0","0.03","0.0","0.01"
"2005","Albania","ALB","20781076480.0","3086810","3.49","1.27","0.194","0.073","0.022","3.91","0.0","0.0","4.199","0.02","0.0","0.0","0.04","0.0","0.01"
"2006","Albania","ALB","22124285952.0","3063021","3.44","1.21","0.209","0.073","0.022","3.54","0.0","0.0","3.844","0.02","0.0","0.0","0.03","0.0","0.01"
"2007","Albania","ALB","23574646784.0","3033993","3.31","1.21","0.348","0.073","0.033","3.375","0.0","4.440892098500626e-16","3.829","0.03","0.0","0.0","0.03","0.0","0.01"
"2008","Albania","ALB","25476937728.0","3002683","3.13","1.13","0.359","0.103","0.015","3.796","0.0","0.0","4.272","0.03","0.0","0.0","0.03","0.0","0.01"
"2009","Albania","ALB","26471389184.0","2973044","3.02","1.12","0.432","0.388","0.018","3.415","0.0","0.0009999999999994458","4.254","0.04","0.0","0.0","0.03","0.0","0.01"
"2010","Albania","ALB","27598268416.0","2948029","3.03","1.11","0.502","0.429","0.026","3.492","0.0","0.0","4.448","0.04","0.0","0.0","0.03","0.0","0.01"
"2011","Albania","ALB","28452651008.0","2928601","3.02","1.15","0.692","0.535","0.029","3.774","0.0","0.0009999999999994458","5.031","0.05","0.0","0.0","0.03","0.0","0.01"
"2012","Albania","ALB","28855377920.0","2914091","3.06","1.15","0.857","0.627","0.029","3.155","0.0","0.0","4.668","0.06","0.0","0.0","0.03","0.0","0.01"
"2013","Albania","ALB","29142642688.0","2903788","3.06","1.12","0.769","0.795","0.033","3.331","0.0","0.0","4.928","0.05","0.01","0.0","0.03","0.0","0.01"
"2014","Albania","ALB","29675640832.0","2896307","3.09","1.14","0.677","1.029","0.059","3.856","0.0","0.0","5.621","0.05","0.01","0.0","0.03","0.0","0.02"
"2015","Albania","ALB","30444531712.0","2890524","3.11","1.19","0.773","0.322","0.062","3.338","0.0","0.001000000000000334","4.496","0.05","0.0","0.0","0.03","0.0","0.01"
"2016","Albania","ALB","31481821184.0","2886427","3.09","1.23","0.78","0.191","0.161","3.36","0.0","0.0","4.492","0.05","0.0","0.0","0.03","0.0","0.01"
"2017","Albania","ALB","32678760448.0","2884169","3.05","1.19","0.78","0.275","0.168","4.079","0.0","0.0","5.302","0.05","0.0","0.0","0.03","0.0","0.01"
"2018","Albania","ALB","34009112576.0","2882735","3.01","1.08","0.78","0.473","0.15","3.331","0.0","0.0","4.734","0.05","0.0","0.0","0.03","0.0","0.01"
"1992","Algeria","DZA","127982673920.0","27028330","54.14","4.87","2.998","2.378","31.932","28.678","13.898","0.0","79.883","0.56","0.03","0.81","0.31","5.86","0.35"
"1993","Algeria","DZA","130275762176.0","27635518","57.34","4.78","2.988","1.924","36.098","27.993","12.941","0.0","81.944","0.54","0.02","0.89","0.3","5.54","0.36"
"1994","Algeria","DZA","134279872512.0","28213778","58.29","4.37","2.821","2.286","37.386","30.45","13.204","1.4210854715202004e-14","86.147","0.48","0.03","0.91","0.33","5.57","0.38"
"1995","Algeria","DZA","145054695424.0","28757788","62.49","4.28","3.165","1.935","47.222","27.081","15.579","0.0","94.981","0.51","0.02","1.12","0.29","6.63","0.4"
"1996","Algeria","DZA","156579102720.0","29266414","65.7","4.38","3.006","1.407","50.567","27.407","14.4","0.0","96.786","0.47","0.02","1.15","0.29","6.07","0.4"
"1997","Algeria","DZA","164644454400.0","29742980","67.38","4.24","3.271","1.381","39.007","30.019","13.326","0.0010000000000047748","87.005","0.5","0.02","0.88","0.31","5.49","0.36"
"1998","Algeria","DZA","179962871808.0","30192750","68.78","4.82","3.446","2.11","54.641","33.09","13.333","0.0010000000000047748","106.621","0.53","0.02","1.22","0.34","5.76","0.44"
"1999","Algeria","DZA","193179811840.0","30623406","71.37","4.76","3.435","2.173","50.92","22.188","12.952","0.0","91.668","0.5","0.02","1.1","0.22","5.78","0.37"
"2000","Algeria","DZA","208554147840.0","31042238","74.86","7.64","3.789","1.96","38.534","26.828","11.109","0.0010000000000189857","82.221","0.53","0.02","0.81","0.26","4.12","0.33"
"2001","Algeria","DZA","223420301312.0","31451514","72.28","7.64","3.766","2.096","41.029","28.458","8.431","0.0","83.78","0.5","0.02","0.86","0.27","3.1","0.33"
"2002","Algeria","DZA","245360885760.0","31855110","74.19","7.48","4.058","2.609","44.653","29.495","8.592","0.0","89.407","0.51","0.03","0.91","0.28","2.99","0.34"
"2003","Algeria","DZA","273568645120.0","32264158","80.52","7.74","4.032","2.788","44.027","31.943","8.259","0.0","91.048","0.48","0.03","0.86","0.3","2.86","0.33"
"2004","Algeria","DZA","296773615616.0","32692152","81.19","8.4","4.897","1.924","41.209","32.818","7.006","0.0","87.853","0.54","0.02","0.78","0.3","2.25","0.31"
"2005","Algeria","DZA","326854475776.0","33149718","84.3","7.8","5.662","2.363","61.211","31.052","6.185","0.0","106.473","0.59","0.02","1.13","0.28","1.86","0.36"
"2006","Algeria","DZA","345705349120.0","33641008","85.69","8.16","6.54","2.7","49.306","35.233","6.423","0.0010000000000047748","100.203","0.62","0.02","0.89","0.31","1.93","0.33"
"2007","Algeria","DZA","371665207296.0","34166976","85.28","8.26","7.001","3.012","51.076","38.322","8.991","0.0","108.402","0.62","0.02","0.9","0.34","2.58","0.34"
"2008","Algeria","DZA","395658559488.0","34730604","85.58","7.92","7.583","3.008","51.551","37.363","9.527","0.0","109.032","0.67","0.02","0.88","0.33","2.63","0.34"
"2009","Algeria","DZA","418247671808.0","35333884","82.34","8.48","8.22","1.594","54.894","44.891","10.585","0.0010000000000047748","120.185","0.7","0.01","0.95","0.41","2.88","0.38"
"2010","Algeria","DZA","450705883136.0","35977448","82.8","8.74","8.252","1.216","53.368","45.365","9.611","0.0010000000000047748","117.813","0.66","0.01","0.86","0.4","2.62","0.35"
"2011","Algeria","DZA","482034778112.0","36661436","81.33","9.4","8.187","1.048","56.721","46.92","6.932","1.4210854715202004e-14","119.808","0.61","0.01","0.89","0.41","1.96","0.35"
"2012","Algeria","DZA","497923358720.0","37383900","85.78","10.43","7.697","1.037","64.114","48.539","6.723","0.0009999999999763531","128.111","0.56","0.01","0.99","0.42","1.84","0.37"
"2013","Algeria","DZA","511887736832.0","38140136","85.52","10.92","7.298","0.725","65.45","51.919","7.042","0.0010000000000047748","132.435","0.51","0.0","1.0","0.45","1.9","0.38"
"2014","Algeria","DZA","531308085248.0","38923688","89.3","11.72","7.668","0.546","73.833","52.886","7.595","0.0010000000000047748","142.529","0.51","0.0","1.11","0.45","1.99","0.4"
"2015","Algeria","DZA","551519125504.0","39728020","89.63","12.32","8.062","0.502","78.769","55.59","6.76","0.0","149.683","0.56","0.0","1.16","0.47","1.82","0.42"
"2016","Algeria","DZA","574696128512.0","40551400","93.02","12.32","9.356","0.0","78.677","54.627","6.269","0.0","148.929","0.63","0.0","1.13","0.46","1.62","0.42"
"2017","Algeria","DZA","582167232512.0","41389176","93.03","12.45","10.71","0.795","82.352","55.308","5.771","2.842170943040401e-14","154.936","0.71","0.01","1.16","0.46","1.36","0.43"
"2018","Algeria","DZA","590317551616.0","42228416","94.4","12.51","10.749","1.33","88.887","54.922","5.598","0.0009999999999763531","161.487","0.69","0.01","1.19","0.45","1.36","0.44"
"1992","Angola","AGO","12363426816.0","12657361","28.95","21.18","0.123","0.0","1.066","2.29","1.685","0.0","5.164","0.02","0.0","0.03","0.02","0.71","0.02"
"1993","Angola","AGO","9985481728.0","13075044","29.58","21.13","0.102","0.0","1.048","2.968","1.63","0.0","5.748","0.02","0.0","0.03","0.03","0.7","0.03"
"1994","Angola","AGO","10760810496.0","13503753","30.49","21.09","0.098","0.0","0.971","1.297","1.499","4.440892098500626e-16","3.865","0.02","0.0","0.02","0.01","0.63","0.02"
"1995","Angola","AGO","13143744512.0","13945205","32.23","21.08","0.081","0.0","1.048","8.416","1.403","0.0009999999999994458","10.949","0.01","0.0","0.02","0.09","0.6","0.05"
"1996","Angola","AGO","15819794432.0","14400722","37.67","18.12","0.11","0.0","1.048","7.039","2.228","0.0","10.424","0.02","0.0","0.02","0.07","0.94","0.04"
"1997","Angola","AGO","17972224000.0","14871572","36.64","17.42","0.122","0.0","1.066","3.331","2.829","0.0","7.348","0.02","0.0","0.02","0.03","1.16","0.03"
"1998","Angola","AGO","19904956416.0","15359600","42.65","20.17","0.142","0.0","1.085","2.763","3.279","0.0","7.268","0.02","0.0","0.02","0.03","1.42","0.03"
"1999","Angola","AGO","21527384064.0","15866871","40.85","18.7","0.084","0.0","1.048","3.708","4.291","0.0","9.13","0.01","0.0","0.02","0.04","1.92","0.04"
"2000","Angola","AGO","23512020992.0","16395477","37.0","17.77","0.081","0.0","1.085","3.668","4.683","0.0","9.516","0.01","0.0","0.02","0.04","1.74","0.04"
"2001","Angola","AGO","26014777344.0","16945754","30.99","18.88","0.221","0.0","0.989","4.302","4.159","0.0","9.671","0.03","0.0","0.02","0.04","1.53","0.04"
"2002","Angola","AGO","31389599744.0","17519418","33.08","20.7","0.239","0.0","1.158","5.02","6.181","1.7763568394002505e-15","12.598","0.03","0.0","0.02","0.05","2.15","0.05"
"2003","Angola","AGO","35081187328.0","18121476","35.64","23.49","0.28","0.0","1.216","6.837","0.656","1.7763568394002505e-15","8.989","0.03","0.0","0.02","0.06","0.23","0.03"
"2004","Angola","AGO","41307009024.0","18758138","37.16","24.3","0.3","0.0","1.44","5.034","11.926","0.0010000000000012221","18.701","0.03","0.0","0.03","0.05","3.83","0.07"
"2005","Angola","AGO","51967275008.0","19433604","38.99","24.37","0.521","0.0","1.249","4.734","12.502","0.0","19.006","0.05","0.0","0.02","0.04","3.76","0.06"
"2006","Angola","AGO","66748907520.0","20149904","38.0","22.49","0.539","0.0","1.304","7.757","12.502","0.0","22.102","0.05","0.0","0.02","0.07","3.75","0.07"
"2007","Angola","AGO","87085293568.0","20905360","40.78","23.72","0.542","0.0","1.594","8.801","14.04","3.552713678800501e-15","24.977","0.05","0.0","0.03","0.08","4.03","0.08"
"2008","Angola","AGO","105591652352.0","21695636","42.0","22.96","0.685","0.0","1.271","10.219","13.311","3.552713678800501e-15","25.486","0.06","0.0","0.02","0.09","3.67","0.08"
"2009","Angola","AGO","115245899776.0","22514276","41.77","23.77","0.693","0.0","1.29","12.296","13.286","3.552713678800501e-15","27.565","0.06","0.0","0.02","0.11","3.61","0.09"
"2010","Angola","AGO","126981791744.0","23356246","43.42","24.95","0.578","0.0","1.37","13.37","13.546","0.0010000000000012221","28.865","0.05","0.0","0.02","0.12","3.69","0.09"
"2011","Angola","AGO","140474318848.0","24220660","42.33","24.64","0.765","0.0","1.403","14.345","13.817","0.0","30.33","0.06","0.0","0.02","0.13","3.9","0.09"
"2012","Angola","AGO","149070692352.0","25107926","41.84","24.13","1.147","0.0","1.422","17.268","13.964","0.0","33.801","0.08","0.0","0.02","0.15","3.83","0.1"
"2013","Angola","AGO","160861175808.0","26015786","41.22","24.04","1.557","0.0","0.766","17.441","13.465","0.0","33.229","0.11","0.0","0.01","0.15","3.64","0.09"
"2014","Angola","AGO","170193272832.0","26941774","40.6","23.77","1.976","0.0","0.579","17.289","13.453","0.0","33.296","0.13","0.0","0.01","0.15","3.53","0.09"
"2015","Angola","AGO","176848732160.0","27884380","43.27","24.98","2.03","0.0","1.44","16.691","13.459","0.0009999999999976694","33.621","0.14","0.0","0.02","0.14","3.61","0.09"
"2016","Angola","AGO","178333876224.0","28842482","43.18","24.61","1.744","0.0","1.495","15.403","12.762","0.0","31.404","0.12","0.0","0.02","0.13","3.29","0.09"
"2017","Angola","AGO","178066374656.0","29816770","44.58","26.32","0.178","0.0","1.572","12.835","13.835","0.0","28.42","0.01","0.0","0.02","0.11","3.27","0.08"
"2018","Angola","AGO","175929573376.0","30809788","38.44","21.67","1.937","0.0","1.608","12.963","7.867","0.0010000000000012221","24.376","0.12","0.0","0.02","0.11","1.91","0.07"
"1992","Argentina","ARG","416679788544.0","33529320","111.32","36.54","2.495","2.803","48.303","63.633","3.997","0.0","121.231","0.47","0.03","1.22","0.69","1.68","0.54"
"1993","Argentina","ARG","444780216320.0","33970100","110.2","36.07","2.761","2.301","40.809","67.154","4.753","0.0","117.777","0.5","0.03","1.0","0.73","2.04","0.52"
"1994","Argentina","ARG","472926748672.0","34402668","111.15","37.03","3.05","3.561","42.677","67.203","5.738","0.0","122.229","0.51","0.04","1.04","0.73","2.42","0.53"
"1995","Argentina","ARG","461601013760.0","34828168","112.63","37.07","2.621","3.701","53.195","62.836","5.412","0.0","127.765","0.42","0.04","1.26","0.67","2.3","0.54"
"1996","Argentina","ARG","489406464000.0","35246376","112.87","37.89","2.422","3.1","57.542","65.921","5.778","0.0","134.762","0.38","0.03","1.31","0.69","2.44","0.56"
"1997","Argentina","ARG","531526418432.0","35657436","113.77","38.37","3.169","2.777","61.504","66.868","3.323","0.0","137.641","0.48","0.03","1.39","0.69","1.37","0.57"
"1998","Argentina","ARG","554567008256.0","36063448","112.56","37.96","3.283","2.84","61.614","69.576","2.14","0.0","139.452","0.5","0.03","1.37","0.71","0.92","0.58"
"1999","Argentina","ARG","538270564352.0","36467220","117.5","38.5","3.29","2.154","67.621","72.725","1.495","0.0","147.285","0.48","0.02","1.46","0.72","0.67","0.6"
"2000","Argentina","ARG","536481038336.0","36870796","117.51","39.91","2.771","1.656","69.438","67.434","1.059","0.0","142.358","0.39","0.02","1.47","0.66","0.39","0.56"
"2001","Argentina","ARG","515221291008.0","37275644","116.24","39.25","2.481","1.29","64.809","64.336","1.088","2.842170943040401e-14","134.004","0.33","0.01","1.36","0.62","0.4","0.53"
"2002","Argentina","ARG","461203406848.0","37681744","119.5","39.8","1.729","1.099","62.62","57.497","1.447","0.0","124.392","0.22","0.01","1.27","0.55","0.5","0.48"
"2003","Argentina","ARG","504301027328.0","38087868","127.2","43.79","2.28","1.99","69.07","59.357","1.935","0.0","134.631","0.27","0.02","1.36","0.56","0.67","0.49"
"2004","Argentina","ARG","552377778176.0","38491968","129.11","44.1","2.701","2.198","82.911","67.812","1.422","0.0","157.043","0.3","0.02","1.57","0.62","0.46","0.55"
"2005","Argentina","ARG","604065431552.0","38892924","128.52","43.67","3.241","3.268","81.967","71.8","1.158","0.0","161.434","0.34","0.03","1.52","0.65","0.35","0.55"
"2006","Argentina","ARG","655699017728.0","39289876","130.77","45.0","3.764","3.866","83.869","81.912","1.198","0.0","174.609","0.36","0.03","1.52","0.73","0.36","0.57"
"2007","Argentina","ARG","718084636672.0","39684304","131.03","47.4","3.998","3.66","87.178","77.952","1.458","2.842170943040401e-14","174.246","0.36","0.03","1.53","0.69","0.42","0.55"
"2008","Argentina","ARG","750663630848.0","40080160","130.45","46.12","3.99","3.877","90.12","88.658","1.462","0.0","188.106","0.35","0.03","1.53","0.79","0.4","0.59"
"2009","Argentina","ARG","709525635072.0","40482784","124.34","40.6","3.81","3.232","87.995","82.381","1.532","0.0","178.949","0.33","0.02","1.53","0.75","0.42","0.57"
"2010","Argentina","ARG","784986275840.0","40895752","116.14","41.67","4.178","3.99","86.928","90.145","1.491","0.0010000000000047748","186.733","0.33","0.03","1.4","0.8","0.41","0.56"
"2011","Argentina","ARG","835970465792.0","41320496","115.37","42.74","4.586","4.723","92.587","86.908","1.469","0.0009999999999763531","190.274","0.34","0.03","1.45","0.77","0.41","0.55"
"2012","Argentina","ARG","827404779520.0","41755188","118.86","42.24","4.184","5.009","95.381","85.587","1.554","0.0","191.715","0.3","0.03","1.47","0.74","0.43","0.55"
"2013","Argentina","ARG","847305113600.0","42196036","120.81","44.01","4.581","4.84","91.338","87.487","1.887","2.842170943040401e-14","190.133","0.32","0.03","1.39","0.76","0.51","0.54"
"2014","Argentina","ARG","825981468672.0","42637508","121.59","43.9","4.336","5.536","92.844","84.292","1.649","0.0","188.657","0.29","0.04","1.39","0.72","0.43","0.53"
"2015","Argentina","ARG","847854960640.0","43075416","122.12","43.62","4.571","5.467","93.535","86.954","1.88","0.0","192.406","0.32","0.04","1.38","0.73","0.5","0.54"
"2016","Argentina","ARG","828372942848.0","43508460","123.69","46.55","4.029","4.192","96.303","84.556","1.898","0.0","190.977","0.27","0.03","1.38","0.71","0.49","0.54"
"2017","Argentina","ARG","850482233344.0","43937144","127.87","49.38","4.421","4.279","96.442","80.856","1.806","0.0010000000000047748","187.805","0.29","0.03","1.36","0.67","0.43","0.52"
"2018","Argentina","ARG","829373284352.0","44361148","127.61","48.28","4.378","4.356","96.125","74.394","1.847","0.0","181.1","0.28","0.03","1.29","0.61","0.45","0.49"
"1992","Armenia","ARM","15777784832.0","3442820","3.16","0.76","0.239","0.374","3.477","1.773","0.0","8.881784197001252e-16","5.863","0.04","0.0","0.09","0.02","0.0","0.03"
"1993","Armenia","ARM","13153102848.0","3363111","2.9","0.64","0.12","0.007","1.508","0.939","0.0","0.0009999999999998899","2.575","0.02","0.0","0.04","0.01","0.0","0.01"
"1994","Armenia","ARM","13441652736.0","3283664","2.73","0.55","0.061","0.095","1.616","0.942","0.0","0.0","2.713","0.01","0.0","0.04","0.01","0.0","0.01"
"1995","Armenia","ARM","14085538816.0","3217349","2.57","0.54","0.139","0.007","2.616","0.671","0.0","0.0","3.433","0.02","0.0","0.06","0.01","0.0","0.01"
"1996","Armenia","ARM","14363169792.0","3168213","2.41","0.54","0.174","0.015","2.041","0.366","0.0","0.0","2.595","0.03","0.0","0.05","0.0","0.0","0.01"
"1997","Armenia","ARM","14402198528.0","3133081","2.26","0.54","0.184","0.015","2.678","0.392","0.0","0.0","3.269","0.03","0.0","0.06","0.0","0.0","0.01"
"1998","Armenia","ARM","14841954304.0","3108691","2.06","0.52","0.187","0.015","2.789","0.406","0.0","0.0","3.397","0.03","0.0","0.06","0.0","0.0","0.01"
"1999","Armenia","ARM","14850691072.0","3089020","1.91","0.51","0.181","0.007","2.275","0.586","0.0","0.0009999999999998899","3.05","0.03","0.0","0.05","0.01","0.0","0.01"
"2000","Armenia","ARM","15244832768.0","3069597","1.8","0.53","0.139","0.0","2.565","0.788","0.0","0.0","3.491","0.02","0.0","0.05","0.01","0.0","0.01"
"2001","Armenia","ARM","16184125440.0","3050686","1.85","0.54","0.144","0.0","2.612","0.777","0.0","0.0","3.533","0.02","0.0","0.05","0.01","0.0","0.01"
"2002","Armenia","ARM","18018121728.0","3033976","1.9","0.63","0.211","0.048","2.002","0.816","0.0","4.440892098500626e-16","3.077","0.03","0.0","0.04","0.01","0.0","0.01"
"2003","Armenia","ARM","19928737792.0","3017938","1.95","0.61","0.22","0.073","2.228","0.934","0.0","0.0009999999999994458","3.456","0.03","0.0","0.04","0.01","0.0","0.01"
"2004","Armenia","ARM","21350940672.0","3000715","2.01","0.66","0.298","0.0","2.473","0.92","0.0","0.0","3.691","0.03","0.0","0.05","0.01","0.0","0.01"
"2005","Armenia","ARM","23626534912.0","2981262","2.05","0.64","0.331","0.0","3.063","0.982","0.0","0.0","4.376","0.03","0.0","0.06","0.01","0.0","0.01"
"2006","Armenia","ARM","25937829888.0","2958301","2.1","0.95","0.338","0.004","3.14","0.92","0.0","0.0","4.402","0.03","0.0","0.06","0.01","0.0","0.01"
"2007","Armenia","ARM","28610387968.0","2932615","2.17","0.79","0.407","0.007","3.762","0.924","0.0","0.0","5.1","0.04","0.0","0.07","0.01","0.0","0.02"
"2008","Armenia","ARM","29672505344.0","2907615","2.21","0.77","0.412","0.007","4.122","1.033","0.0","0.0010000000000012221","5.575","0.04","0.0","0.07","0.01","0.0","0.02"
"2009","Armenia","ARM","24704751616.0","2888094","2.17","0.82","0.241","0.0","3.169","0.953","0.0","8.881784197001252e-16","4.363","0.02","0.0","0.06","0.01","0.0","0.01"
