"id","impact.gap","impact.magnitude","impact.significance","location.depth","location.distance","location.full","location.latitude","location.longitude","location.name","time.day","time.epoch","time.full","time.hour","time.minute","time.month","time.second","time.year"
"ak13831349","79.199993664001","1.2","22","20.2","0.2461384","47km W of Valdez, Alaska","61.1163","-147.2352","Alaska","27","1469603172000","2016-07-27 03:06:12","3","6","7","12","2016"
"ak13805706","28.799997696","2.3","81","11.6","0.367411","104km NW of Talkeetna, Alaska","63.0332","-151.4388","Alaska","27","1469603398000","2016-07-27 03:09:58","3","9","7","58","2016"
"nn00553420","173.77","1.1","19","0.6","0.662","33km SSE of Bunkerville, Nevada","36.49","-113.9923","Nevada","27","1469603931353","2016-07-27 03:18:51","3","18","7","51","2016"
"ak13831351","64.799994816","1.5","35","72.2","0.2937491","32km W of Kalifornsky, Alaska","60.4444","-151.8699","Alaska","27","1469603963000","2016-07-27 03:19:23","3","19","7","23","2016"
"us10006aa8","248.0","2.5","96","26.5","1.348","172km S of False Pass, Alaska","53.302","-163.5048","Alaska","27","1469604148000","2016-07-27 03:22:28","3","22","7","28","2016"
"ak13831353","75.599993952001","1.3","26","64.7","0.3198002","62km N of Nikiski, Alaska","61.251","-151.3632","Alaska","27","1469604313000","2016-07-27 03:25:13","3","25","7","13","2016"
"ak13805716","43.199996544","2.0","62","16.3","0.2578165","16km W of Y, Alaska","62.1521","-150.1588","Alaska","27","1469604738000","2016-07-27 03:32:18","3","32","7","18","2016"
"nc72666956","53.0","1.75","47","1.56","0.0119","0km E of The Geysers, California","38.7781667","-122.7505","California","27","1469606179040","2016-07-27 03:56:19","3","56","7","19","2016"
"nc72666961","74.0","0.62","6","2.25","0.005599","3km S of Cobb, California","38.7885","-122.7218333","California","27","1469606449670","2016-07-27 04:00:49","4","0","7","49","2016"
"pr16209003","342.0","2.7","112","75.0","1.15972503","114km NNE of Road Town, British Virgin Islands","19.3997","-64.2795","British Virgin Islands","27","1469606677400","2016-07-27 04:04:37","4","4","7","37","2016"
"nc72666966","137.0","0.8","10","1.54","0.07576","19km SE of Mammoth Lakes, California","37.5141667","-118.8263333","California","27","1469606803300","2016-07-27 04:06:43","4","6","7","43","2016"
"pr16209002","151.2","1.8","50","15.0","0.04491576","0km NW of Luis Llorens Torres, Puerto Rico","18.0625","-66.5327","Puerto Rico","27","1469607049000","2016-07-27 04:10:49","4","10","7","49","2016"
"hv61354386","289.0","1.83","52","11.266","0.5525","75km S of Leilani Estates, Hawaii","18.7893333","-154.8673333","Hawaii","27","1469607200470","2016-07-27 04:13:20","4","13","7","20","2016"
"ak13805719","158.399987328","2.6","104","12.3","0.1293574","19km NNW of Chernabura Island, Alaska","54.9592","-159.6299","Alaska","27","1469607637000","2016-07-27 04:20:37","4","20","7","37","2016"
"ak13831356","64.799994816","1.3","26","51.3","0.4006486","32km W of Anchorage, Alaska","61.2406","-150.5094","Alaska","27","1469607995000","2016-07-27 04:26:35","4","26","7","35","2016"
"ci37640656","79.0","0.06","0","1.41","0.03807","12km NE of Little Lake, CA","36.0171667","-117.8111667","California","27","1469609040020","2016-07-27 04:44:00","4","44","7","0","2016"
"ci37640648","78.0","0.75","9","11.04","0.04434","15km ESE of Anza, CA","33.5145","-116.5175","California","27","1469609158570","2016-07-27 04:45:58","4","45","7","58","2016"
"ci37640664","75.0","1.6","39","10.02","0.02385","7km NNE of Imperial, CA","32.905","-115.5326667","California","27","1469609323570","2016-07-27 04:48:43","4","48","7","43","2016"
"ak13806082","35.99999712","2.3","81","0.1","0.5551588","51km NNE of Nikiski, Alaska","61.1172","-150.9111","Alaska","27","1469609389000","2016-07-27 04:49:49","4","49","7","49","2016"
"ak13806091","68.399994528","0.3","1","22.2","0.1024079","19km NNW of North Nenana, Alaska","64.7401","-149.2947","Alaska","27","1469610306000","2016-07-27 05:05:06","5","5","7","6","2016"
"ak13831361","179.9999856","2.1","68","63.2","0.3233935","52km SSE of Cold Bay, Alaska","54.7822","-162.2961","Alaska","27","1469610700000","2016-07-27 05:11:40","5","11","7","40","2016"
"ak13806093","68.399994528","1.1","19","2.7","0.06378039","87km NNW of Nikiski, Alaska","61.4464","-151.7569","Alaska","27","1469611258000","2016-07-27 05:20:58","5","20","7","58","2016"
"us20006i27","98.0","4.9","369","30.07","1.049","253km NNW of Tual, Indonesia","-3.7122","131.5537","Indonesia","27","1469611319800","2016-07-27 05:21:59","5","21","7","59","2016"
"ak13806094","93.599992512001","0.5","4","13.3","0.1248658","152km W of Cantwell, Alaska","63.5351","-151.9833","Alaska","27","1469612204000","2016-07-27 05:36:44","5","36","7","44","2016"
"ak13806095","86.399993088","1.0","15","10.4","0.5857016","65km NW of Arctic Village, Alaska","68.5121","-146.7507","Alaska","27","1469612388000","2016-07-27 05:39:48","5","39","7","48","2016"
"us100069gj","87.0","4.2","271","234.15","2.9","42km NNE of Poigar, Indonesia","1.3512","124.434","Indonesia","27","1469613212690","2016-07-27 05:53:32","5","53","7","32","2016"
"nc72666971","62.0","1.84","52","4.84","0.06195","12km S of Ridgemark, California","36.7","-121.3381667","California","27","1469613773880","2016-07-27 06:02:53","6","2","7","53","2016"
"ak13831365","208.799983296","0.9","12","19.1","0.1958327","72km ENE of Cape Yakataga, Alaska","60.2452","-141.1849","Alaska","27","1469613916000","2016-07-27 06:05:16","6","5","7","16","2016"
"ak13806463","97.199992224001","1.5","35","95.9","0.1284591","96km W of Willow, Alaska","61.6271","-151.8501","Alaska","27","1469614248000","2016-07-27 06:10:48","6","10","7","48","2016"
"nc72666976","194.0","1.75","47","8.4","0.1164","6km SW of Huron, California","36.1681667","-120.1663333","California","27","1469614373600","2016-07-27 06:12:53","6","12","7","53","2016"
"ak13831367","93.599992512001","1.2","22","17.2","0.350343","40km NNW of Valdez, Alaska","61.4586","-146.6547","Alaska","27","1469614772000","2016-07-27 06:19:32","6","19","7","32","2016"
"ci37640696","91.0","0.59","5","10.44","0.0874","10km NNE of Trabuco Canyon, CA","33.7398333","-117.5278333","California","27","1469615023900","2016-07-27 06:23:43","6","23","7","43","2016"
"ak13806465","82.799993376001","1.2","22","15.0","0.08623827","13km NW of Willow, Alaska","61.8231","-150.2247","Alaska","27","1469615224000","2016-07-27 06:27:04","6","27","7","4","2016"
"ci37640704","86.0","0.84","11","8.03","0.1368","24km ESE of Julian, CA","33.0166667","-116.3543333","California","27","1469615346340","2016-07-27 06:29:06","6","29","7","6","2016"
"ak13831369","133.199989344","1.1","19","30.2","0.2712912","43km N of Valdez, Alaska","61.5179","-146.4904","Alaska","27","1469616179000","2016-07-27 06:42:59","6","42","7","59","2016"
"nc72666986","101.0","0.71","8","2.11","0.008326","6km NW of The Geysers, California","38.8160019","-122.8150024","California","27","1469616337320","2016-07-27 06:45:37","6","45","7","37","2016"
"hv61354436","75.0","2.1","68","1.84","0.008751","5km WSW of Volcano, Hawaii","19.4034996","-155.2831726","Hawaii","27","1469616598220","2016-07-27 06:49:58","6","49","7","58","2016"
"ak13831370","86.399993088","1.6","39","84.4","0.3350716","57km SW of Anchor Point, Alaska","59.4809","-152.6624","Alaska","27","1469616720000","2016-07-27 06:52:00","6","52","7","0","2016"
"ak13806467","118.799990496","0.6","6","8.8","0.3611227","119km NNW of Talkeetna, Alaska","63.2389","-151.3281","Alaska","27","1469617364000","2016-07-27 07:02:44","7","2","7","44","2016"
"ak13831372","89.999992800001","1.7","44","71.0","0.678228","95km NW of Kodiak Station, Alaska","58.4244","-153.6441","Alaska","27","1469617619000","2016-07-27 07:06:59","7","6","7","59","2016"
"us100067t9","248.0","3.3","168","2.6","0.994","126km S of Unalaska, Alaska","52.7406","-166.6875","Alaska","27","1469618017000","2016-07-27 07:13:37","7","13","7","37","2016"
"uw61172232","74.0","1.3","26","16.7","0.04072","9km SSW of Riverbend, Washington","47.3855","-121.7835","Washington","27","1469618520600","2016-07-27 07:22:00","7","22","7","0","2016"
"us20006i2f","96.0","4.8","354","10.0","6.743","Southern East Pacific Rise","-21.7716","-113.8676","Southern East Pacific Rise","27","1469618833540","2016-07-27 07:27:13","7","27","7","13","2016"
"ak13831374","133.199989344","1.3","26","7.5","0.2551215","59km E of Whittier, Alaska","60.8123","-147.6027","Alaska","27","1469619061000","2016-07-27 07:31:01","7","31","7","1","2016"
"nc72666991","94.0","1.02","16","2.32","0.009271","6km NW of The Geysers, California","38.8123322","-122.8181686","California","27","1469619589240","2016-07-27 07:39:49","7","39","7","49","2016"
"ak13806836","295.199976384","1.9","56","8.2","0.49587","91km S of Little Sitkin Island, Alaska","51.1326","178.6078","Alaska","27","1469619685000","2016-07-27 07:41:25","7","41","7","25","2016"
"us20006i2h","92.0","4.0","246","227.52","1.166","117km NW of San Antonio de los Cobres, Argentina","-23.3566","-66.9895","Argentina","27","1469619953230","2016-07-27 07:45:53","7","45","7","53","2016"
"ak13831376","266.399978688","2.3","81","9.1","1.016893","127km S of Unalaska, Alaska","52.7317","-166.6461","Alaska","27","1469620067000","2016-07-27 07:47:47","7","47","7","47","2016"
"us20006i2i","85.0","4.9","375","35.0","3.968","3km SW of Ipil, Philippines","10.9473","124.6154","Philippines","27","1469620575330","2016-07-27 07:56:15","7","56","7","15","2016"
"ak13806840","79.199993664001","1.1","19","14.8","0.2874609","186km WNW of Haines Junction, Canada","61.4966","-140.6142","Canada","27","1469621081000","2016-07-27 08:04:41","8","4","7","41","2016"
"ci37640736","85.0","1.02","16","12.58","0.1562","27km SSW of Ocotillo Wells, CA","32.9211667","-116.2398333","California","27","1469621133840","2016-07-27 08:05:33","8","5","7","33","2016"
"hv61354531","65.0","1.99","61","5.327","0.0776","11km WSW of Pahala, Hawaii","19.173","-155.5863333","Hawaii","27","1469621205860","2016-07-27 08:06:45","8","6","7","45","2016"
"ak13831378","205.199983584","2.4","89","12.2","0.797704","114km SE of Cold Bay, Alaska","54.4634","-161.4569","Alaska","27","1469621361000","2016-07-27 08:09:21","8","9","7","21","2016"
"nn00553474","317.24","0.8","10","14.3","0.327","35km NE of Fernley, Nevada","39.8674","-119.0119","Nevada","27","1469621737193","2016-07-27 08:15:37","8","15","7","37","2016"
"ci37640744","70.0","1.34","28","12.5","0.03139","13km N of Cabazon, CA","34.0308333","-116.7703333","California","27","1469621806300","2016-07-27 08:16:46","8","16","7","46","2016"
"us20006i2n","101.0","4.8","354","73.33","1.645","83km ESE of Taron, Papua New Guinea","-4.8676","153.6709","Papua New Guinea","27","1469622158000","2016-07-27 08:22:38","8","22","7","38","2016"
"ci37640752","78.0","1.03","16","3.34","0.0749","25km WNW of Desert Center, CA","33.7811667","-115.6553333","California","27","1469622532610","2016-07-27 08:28:52","8","28","7","52","2016"
"ak13806850","197.99998416","3.2","158","31.8","1.143555","133km WSW of Chernabura Island, Alaska","54.1201","-161.2719","Alaska","27","1469622678000","2016-07-27 08:31:18","8","31","7","18","2016"
"nc72667001","59.0","1.22","23","8.37","0.03158","6km NE of East Foothills, California","37.4285","-121.7716667","California","27","1469622875920","2016-07-27 08:34:35","8","34","7","35","2016"
"us20006i2p","51.0","4.5","312","109.2","1.439","9km SSE of Nahrin, Afghanistan","35.9805","69.1573","Afghanistan","27","1469623035490","2016-07-27 08:37:15","8","37","7","15","2016"
"nn00553426","61.22","2.0","62","6.3","0.19","20km NW of Hawthorne, Nevada","38.6459","-118.7994","Nevada","27","1469623107375","2016-07-27 08:38:27","8","38","7","27","2016"
"ak13831380","107.99999136","1.0","15","92.0","0.6243291","69km NNW of Talkeetna, Alaska","62.8542","-150.8216","Alaska","27","1469623617000","2016-07-27 08:46:57","8","46","7","57","2016"
"nc72667006","92.0","1.74","47","4.3","0.05841","8km SSW of Kelseyville, California","38.9155","-122.8926667","California","27","1469624250830","2016-07-27 08:57:30","8","57","7","30","2016"
"ak13807229","158.399987328","2.0","62","4.8","0.2488333","24km NNW of Chignik Lake, Alaska","56.444","-158.9668","Alaska","27","1469625238000","2016-07-27 09:13:58","9","13","7","58","2016"
"ci37640768","54.0","1.53","36","0.58","0.07573","9km E of Yucaipa, CA","34.018","-116.9448333","California","27","1469625467490","2016-07-27 09:17:47","9","17","7","47","2016"
"ci37640776","48.0","1.82","51","6.73","0.1328","24km ESE of Julian, CA","33.0133333","-116.3573333","California","27","1469625571060","2016-07-27 09:19:31","9","19","7","31","2016"
"us20006i2u","124.0","4.1","259","193.92","1.471","97km W of San Antonio de los Cobres, Argentina","-24.1725","-67.2739","Argentina","27","1469625665250","2016-07-27 09:21:05","9","21","7","5","2016"
"ak13831382","79.199993664001","0.9","12","0.3","0.3323767","183km NNE of Cape Yakataga, Alaska","61.45","-140.6041","Alaska","27","1469625893000","2016-07-27 09:24:53","9","24","7","53","2016"
"nn00553442","131.99","1.6","39","10.0","0.146","68km ESE of Lakeview, Oregon","41.8767","-119.6278","Oregon","27","1469626135602","2016-07-27 09:28:55","9","28","7","55","2016"
"uw61172252","93.0","0.52","4","2.09","0.0514","21km E of Mount Hood Village, Oregon","45.3598333","-121.7006667","Oregon","27","1469626468280","2016-07-27 09:34:28","9","34","7","28","2016"
"us100069gp","64.0","4.5","312","10.0","16.716","South of Africa","-52.1331","27.7175","South of Africa","27","1469626490450","2016-07-27 09:34:50","9","34","7","50","2016"
"ci37640792","62.0","0.61","6","1.1","0.0006807","16km NE of Little Lake, CA","36.0255","-117.7645","California","27","1469626674260","2016-07-27 09:37:54","9","37","7","54","2016"
"ak13807238","100.799991936","0.4","2","21.9","0.02694946","21km SSW of Badger, Alaska","64.6281","-147.7578","Alaska","27","1469627048000","2016-07-27 09:44:08","9","44","7","8","2016"
"nc72667016","67.0","2.09","67","5.37","0.02263","20km SSE of Ridgemark, California","36.646","-121.2611667","California","27","1469627411500","2016-07-27 09:50:11","9","50","7","11","2016"
"nc72667021","52.0","1.16","21","1.42","0.006506","7km W of Cobb, California","38.8293333","-122.8135","California","27","1469627420490","2016-07-27 09:50:20","9","50","7","20","2016"
"us20006i31","129.0","3.6","199","28.02","0.352","43km NNE of Chernabura Island, Alaska","55.1608","-159.3778","Alaska","27","1469627464580","2016-07-27 09:51:04","9","51","7","4","2016"
"ci37640816","62.0","0.72","8","1.54","0.002016","16km NE of Little Lake, CA","36.0243333","-117.7675","California","27","1469628136130","2016-07-27 10:02:16","10","2","7","16","2016"
"ci37640824","106.0","0.96","14","1.56","0.00212","16km NE of Little Lake, CA","36.0273333","-117.7651667","California","27","1469628364580","2016-07-27 10:06:04","10","6","7","4","2016"
"us20006i32","85.0","4.3","284","60.16","2.169","37km SSE of Picota, Peru","-7.237","-76.2101","Peru","27","1469628393630","2016-07-27 10:06:33","10","6","7","33","2016"
"us100069gq","84.0","4.4","298","540.25","4.539","192km NE of Ndoi Island, Fiji","-19.3536","-177.4688","Fiji","27","1469629337280","2016-07-27 10:22:17","10","22","7","17","2016"
"ak13831385","104.399991648","1.2","22","1.5","0.3359699","79km WNW of Skagway, Alaska","59.7753","-136.57","Alaska","27","1469630286000","2016-07-27 10:38:06","10","38","7","6","2016"
"us20006i35","88.0","5.3","500","46.0","0.526","15km SE of Hitachi, Japan","36.4922","140.7568","Japan","27","1469630837010","2016-07-27 10:47:17","10","47","7","17","2016"
"nc72667036","164.0","1.11","19","1.66","0.0617","7km SSW of Kelseyville, California","38.9195","-122.8885","California","27","1469632774730","2016-07-27 11:19:34","11","19","7","34","2016"
"ak13807656","32.399997408","1.6","39","1.0","0.2811727","150km SE of McGrath, Alaska","62.1606","-153.2248","Alaska","27","1469633053000","2016-07-27 11:24:13","11","24","7","13","2016"
"nc72667046","307.0","0.65","6","0.66","0.1457","21km SSE of Mammoth Lakes, California","37.4673333","-118.8923333","California","27","1469633273970","2016-07-27 11:27:53","11","27","7","53","2016"
"us20006i3b","36.0","2.6","104","4.586","0.0","10km S of Langston, Oklahoma","35.8525","-97.2357","Oklahoma","27","1469633786100","2016-07-27 11:36:26","11","36","7","26","2016"
"ak13831387","262.799978976","2.2","74","4.6","0.943231","125km S of Unalaska, Alaska","52.7552","-166.7771","Alaska","27","1469633903000","2016-07-27 11:38:23","11","38","7","23","2016"
"ak13808047","208.799983296","3.0","138","2.2","2.171228","73km S of Point Hope, Alaska","67.6877","-166.7916","Alaska","27","1469634080000","2016-07-27 11:41:20","11","41","7","20","2016"
"ak13808051","53.99999568","1.2","22","65.7","0.1554085","59km SSE of Cantwell, Alaska","62.9393","-148.3064","Alaska","27","1469634538000","2016-07-27 11:48:58","11","48","7","58","2016"
"ak13831390","233.99998128","1.8","50","39.3","0.2784777","28km SE of Nikolski, Alaska","52.7361","-168.6086","Alaska","27","1469634674000","2016-07-27 11:51:14","11","51","7","14","2016"
"ak13831391","269.9999784","2.0","62","19.1","0.6521769","96km S of False Pass, Alaska","53.9955","-163.6187","Alaska","27","1469635111000","2016-07-27 11:58:31","11","58","7","31","2016"
"ak13808060","53.99999568","1.2","22","10.1","0.5093448","80km ENE of Cantwell, Alaska","63.5851","-147.3953","Alaska","27","1469635678000","2016-07-27 12:07:58","12","7","7","58","2016"
"ak13808062","104.399991648","0.5","4","11.2","0.1158827","112km WNW of Cantwell, Alaska","63.5873","-151.1715","Alaska","27","1469635834000","2016-07-27 12:10:34","12","10","7","34","2016"
"ak13808063","86.399993088","1.6","39","7.5","0.1060012","84km E of Cape Yakataga, Alaska","60.205","-140.9321","Alaska","27","1469635951000","2016-07-27 12:12:31","12","12","7","31","2016"
"nc72667051","62.0","1.56","37","2.24","0.007541","9km WNW of The Geysers, California","38.8226667","-122.8446667","California","27","1469636154730","2016-07-27 12:15:54","12","15","7","54","2016"
"ak13808065","43.199996544","1.2","22","10.4","0.1697816","43km E of Manley Hot Springs, Alaska","65.0745","-149.7254","Alaska","27","1469636206000","2016-07-27 12:16:46","12","16","7","46","2016"
"ci37640856","38.0","2.17","72","1.68","0.07799","20km ENE of Thermal, CA","33.7266667","-115.9446667","California","27","1469636254070","2016-07-27 12:17:34","12","17","7","34","2016"
"ak13808077","50.399995968","1.7","44","10.1","0.133849","113km W of Cantwell, Alaska","63.5137","-151.2119","Alaska","27","1469637213000","2016-07-27 12:33:33","12","33","7","33","2016"
"ci37640864","75.0","0.68","7","11.2","0.07319","15km ESE of Anza, CA","33.5185","-116.5193333","California","27","1469637946270","2016-07-27 12:45:46","12","45","7","46","2016"
"ak13831397","79.199993664001","1.4","30","97.0","0.1607984","58km WNW of Anchor Point, Alaska","59.9464","-152.8283","Alaska","27","1469638083000","2016-07-27 12:48:03","12","48","7","3","2016"
"ak13808084","68.399994528","0.4","2","21.9","0.07995006","13km WNW of North Nenana, Alaska","64.6442","-149.3513","Alaska","27","1469638120000","2016-07-27 12:48:40","12","48","7","40","2016"
"nc72667056","167.0","2.25","78","21.0","0.02659","22km S of San Joaquin, California","36.4063333","-120.2075","California","27","1469638494440","2016-07-27 12:54:54","12","54","7","54","2016"
"uw61172322","125.0","1.33","27","8.82","0.08469","14km S of Morton, Washington","46.433","-122.3106667","Washington","27","1469638858760","2016-07-27 13:00:58","13","0","7","58","2016"
"ak13808483","61.199995104","0.7","8","9.7","0.5362942","76km ENE of Cantwell, Alaska","63.6092","-147.5036","Alaska","27","1469639502000","2016-07-27 13:11:42","13","11","7","42","2016"
"us20006i5j","36.0","2.7","112","5.411","0.0","10km S of Langston, Oklahoma","35.8519","-97.2366","Oklahoma","27","1469639556200","2016-07-27 13:12:36","13","12","7","36","2016"
"ci37640896","19.0","2.03","64","13.68","0.0459","5km ENE of Cabazon, CA","33.9368333","-116.7363333","California","27","1469640132460","2016-07-27 13:22:12","13","22","7","12","2016"
"ak13808484","46.799996256","1.4","30","5.4","0.3512413","99km S of Coldfoot, Alaska","66.3658","-150.1971","Alaska","27","1469640216000","2016-07-27 13:23:36","13","23","7","36","2016"
"ci37640904","38.0","1.28","25","1.95","0.07724","21km ENE of Thermal, CA","33.7276667","-115.9425","California","27","1469640557520","2016-07-27 13:29:17","13","29","7","17","2016"
"ak13831401","237.599980992","1.6","39","37.5","0.3153087","32km SE of Nikolski, Alaska","52.7041","-168.5775","Alaska","27","1469640611000","2016-07-27 13:30:11","13","30","7","11","2016"
"ak13831402","68.399994528","2.1","68","133.9","0.595583","95km E of King Salmon, Alaska","58.8044","-155.0242","Alaska","27","1469640712000","2016-07-27 13:31:52","13","31","7","52","2016"
"ci37640936","149.0","0.71","8","16.17","0.1197","17km N of Borrego Springs, CA","33.4063333","-116.3943333","California","27","1469641403900","2016-07-27 13:43:23","13","43","7","23","2016"
"ci37640944","37.0","1.59","39","1.43","0.07916","21km ENE of Thermal, CA","33.7288333","-115.9443333","California","27","1469641621450","2016-07-27 13:47:01","13","47","7","1","2016"
"ak13808499","125.99998992","1.0","15","0.0","0.1365439","22km NNE of Badger, Alaska","64.9836","-147.3588","Alaska","27","1469642291000","2016-07-27 13:58:11","13","58","7","11","2016"
"ci37640960","23.0","2.62","107","4.17","0.1253","12km SSE of Big Bear City, CA","34.1613333","-116.8086667","California","27","1469642384910","2016-07-27 13:59:44","13","59","7","44","2016"
"ak13808896","107.99999136","0.8","10","7.4","0.512938","81km ENE of Cantwell, Alaska","63.5895","-147.3766","Alaska","27","1469642406000","2016-07-27 14:00:06","14","0","7","6","2016"
"ak13808898","50.399995968","1.6","39","53.2","0.2937491","51km W of Anchorage, Alaska","61.174","-150.8544","Alaska","27","1469642715000","2016-07-27 14:05:15","14","5","7","15","2016"
"uw61172332","108.0","1.62","40","18.01","0.09023","7km NW of Coupeville, Washington","48.2676667","-122.7643333","Washington","27","1469642851530","2016-07-27 14:07:31","14","7","7","31","2016"
"ak13831406","262.799978976","2.2","74","10.0","1.075283","140km S of Unalaska, Alaska","52.6252","-166.8396","Alaska","27","1469642868000","2016-07-27 14:07:48","14","7","7","48","2016"
