"Utility.Number","Utility.Name","Utility.State","Utility.Type","Demand.Summer Peak","Demand.Winter Peak","Sources.Generation","Sources.Purchased","Sources.Other","Sources.Total","Uses.Retail","Uses.Resale","Uses.No Charge","Uses.Consumed","Uses.Losses","Uses.Total","Revenues.Retail","Revenue.Delivery","Revenue.Resale","Revenue.Adjustments","Revenue.Transmission","Revenue.Other","Revenue.Total","Retail.Residential.Revenue","Retail.Residential.Sales","Retail.Residential.Customers","Retail.Commercial.Revenue","Retail.Commercial.Sales","Retail.Commercial.Customers","Retail.Industrial.Revenue","Retail.Industrial.Sales","Retail.Industrial.Customers","Retail.Transportation.Revenue","Retail.Transportation.Sales","Retail.Transportation.Customers","Retail.Total.Revenue","Retail.Total.Sales","Retail.Total.Customers"
"201","City of Alachua - (FL)","FL","Municipal","28.3","23.8","0.0","132183.0","0.0","132183.0","127049.0","0.0","0.0","1190.0","3944.0","132183.0","13844.0","0.0","0.0","0.0","0.0","57.0","13901.0","4923.0","42300.0","3787.0","8921.0","84749.0","719.0","0.0","0.0","0.0","0.0","0.0","0.0","13844.0","127049.0","4506.0"
"207","City of Alameda","CA","Municipal","59.6","63.7","0.0","357084.0","0.0","357084.0","343270.0","0.0","0.0","0.0","13814.0","357084.0","58111.6","0.0","0.0","0.0","0.0","4907.7","63019.3","22851.0","126480.0","30811.0","35260.6","216790.0","4307.0","0.0","0.0","0.0","0.0","0.0","0.0","58111.6","343270.0","35118.0"
"213","Alaska Electric Light&Power Co","AK","Investor Owned","71.0","79.0","130872.0","302805.0","0.0","433677.0","414210.0","0.0","0.0","4423.0","15044.0","433677.0","47342.2","0.0","0.0","0.0","0.0","518.4","47860.6","17950.6","151017.0","14579.0","11798.6","119953.0","2295.0","17593.0","143240.0","131.0","0.0","0.0","0.0","47342.2","414210.0","17005.0"
"219","Alaska Power and Telephone Co","WA","Investor Owned","1.0","1.0","23304.0","51004.0","0.0","74308.0","65793.0","833.0","0.0","1689.0","5993.0","74308.0","17957.0","0.0","95.0","0.0","0.0","1719.0","19771.0","8095.0","26264.0","5496.0","9862.0","39529.0","2370.0","0.0","0.0","0.0","0.0","0.0","0.0","17957.0","65793.0","7866.0"
"221","Alaska Village Elec Coop, Inc","AK","Cooperative","19.4","23.6","124113.0","0.0","0.0","124113.0","115837.0","0.0","0.0","0.0","8276.0","124113.0","45588.0","0.0","0.0","0.0","0.0","899.0","46487.0","18561.0","41535.0","8158.0","27027.0","74302.0","3256.0","0.0","0.0","0.0","0.0","0.0","0.0","45588.0","115837.0","11414.0"
"230","Albany Water Gas & Light Comm","GA","Municipal","183.4","159.0","0.0","925393.0","0.0","925393.0","876832.0","0.0","0.0","0.0","48561.0","925393.0","95182.0","0.0","0.0","0.0","0.0","690.0","95872.0","36596.0","337765.0","31473.0","58586.0","539067.0","5610.0","0.0","0.0","0.0","0.0","0.0","0.0","95182.0","876832.0","37083.0"
"232","City of Albemarle - (NC)","NC","Municipal","62.6","67.9","0.0","296364.0","0.0","296364.0","278239.0","0.0","0.0","115.0","18010.0","296364.0","32610.2","0.0","0.0","0.0","0.0","326.9","32937.1","16072.9","120632.0","9876.0","14016.0","127049.0","2233.0","2521.3","30558.0","15.0","0.0","0.0","0.0","32610.2","278239.0","12124.0"
"240","Albemarle Electric Member Corp","NC","Cooperative","55.1","73.1","0.0","227274.0","0.0","227274.0","213329.0","0.0","0.0","599.0","13346.0","227274.0","26714.0","0.0","0.0","0.0","0.0","736.0","27450.0","22346.0","171386.0","11679.0","3873.0","35031.0","1120.0","495.0","6912.0","19.0","0.0","0.0","0.0","26714.0","213329.0","12818.0"
"241","Albertville Municipal Utilities Board","AL","Municipal","103.9","102.1","0.0","604928.0","0.0","604928.0","585580.0","0.0","0.0","0.0","19348.0","604928.0","46505.0","0.0","0.0","0.0","0.0","705.8","47210.8","10986.0","111770.0","7931.0","17258.0","168164.0","2237.0","18261.0","305646.0","15.0","0.0","0.0","0.0","46505.0","585580.0","10183.0"
"261","AGC Division of APG Inc","PA","Investor Owned","538.0","531.0","1874348.0","0.0","0.0","1874348.0","431636.0","1442712.0","0.0","0.0","0.0","1874348.0","65899.0","0.0","25734.0","811.0","0.0","14373.0","106817.0","0.0","0.0","0.0","0.0","0.0","0.0","65899.0","431636.0","1.0","0.0","0.0","0.0","65899.0","431636.0","1.0"
"276","Alcorn County Elec Power Assn","MS","Cooperative","126.2","108.3","0.0","607950.0","0.0","607950.0","585887.0","0.0","0.0","699.0","21364.0","607950.0","55375.0","0.0","0.0","0.0","0.0","1289.0","56664.0","23515.0","204068.0","14646.0","19909.0","167000.0","4123.0","11951.0","214819.0","6.0","0.0","0.0","0.0","55375.0","585887.0","18775.0"
"289","City of Alexander City","AL","Municipal","30.7","32.4","0.0","149183.0","0.0","149183.0","123075.0","0.0","0.0","0.0","26108.0","149183.0","13107.0","0.0","0.0","0.0","0.0","0.0","13107.0","5397.0","50590.0","5083.0","3936.0","27354.0","993.0","3774.0","45131.0","68.0","0.0","0.0","0.0","13107.0","123075.0","6144.0"
"295","City of Alexandria - (MN)","MN","Municipal","58.5","47.9","0.0","295978.0","0.0","295978.0","280236.0","0.0","0.0","0.0","15742.0","295978.0","24724.0","0.0","0.0","0.0","0.0","567.3","25291.3","7636.1","72706.0","7995.0","3687.0","36462.0","1672.0","13400.9","171068.0","203.0","0.0","0.0","0.0","24724.0","280236.0","9870.0"
"296","Alfalfa Electric Coop, Inc","OK","Cooperative","144.2","148.9","0.0","1002739.0","0.0","1002739.0","983883.0","0.0","0.0","341.0","18515.0","1002739.0","65254.0","0.0","0.0","0.0","0.0","372.0","65626.0","4996.0","51363.0","2964.0","6558.0","47819.0","5408.0","53700.0","884701.0","251.0","0.0","0.0","0.0","65254.0","983883.0","8623.0"
"298","City of Alexandria - (LA)","LA","Municipal","161.0","126.0","194158.0","734723.0","0.0","928881.0","660204.0","194158.0","9804.0","0.0","64715.0","928881.0","66890.5","0.0","8560.6","0.0","0.0","0.0","75451.1","28514.0","274578.0","20216.0","37961.3","380802.0","3779.0","415.2","4824.0","5.0","0.0","0.0","0.0","66890.5","660204.0","24000.0"
"305","Alger-Delta Coop Electric Assn","MI","Cooperative","14.6","14.1","0.0","91074.0","0.0","91074.0","83141.0","0.0","0.0","0.0","7933.0","91074.0","14836.0","0.0","0.0","0.0","0.0","0.0","14836.0","9842.0","47807.0","9439.0","2125.0","13598.0","511.0","2869.0","21736.0","1.0","0.0","0.0","0.0","14836.0","83141.0","9951.0"
"307","Algoma Utility Comm","WI","Municipal","7.6","8.0","0.0","42514.0","0.0","42514.0","40444.0","0.0","0.0","79.0","1991.0","42514.0","4302.5","0.0","0.0","0.0","0.0","31.5","4334.0","1393.6","10921.0","1658.0","2029.6","19496.0","358.0","879.3","10027.0","2.0","0.0","0.0","0.0","4302.5","40444.0","2018.0"
"308","City of Acworth - (GA)","GA","Municipal","26.9","16.2","0.0","97683.0","3406.0","101089.0","95288.0","0.0","0.0","1538.0","4263.0","101089.0","13082.7","0.0","0.0","0.0","0.0","1097.4","14180.1","8459.9","59403.0","5930.0","4383.0","34101.0","587.0","239.8","1784.0","3.0","0.0","0.0","0.0","13082.7","95288.0","6520.0"
"309","City of Algona - (IA)","IA","Municipal","24.0","18.0","66365.0","55064.0","106098.0","227527.0","114097.0","109603.0","0.0","0.0","3827.0","227527.0","11375.0","0.0","4064.0","0.0","0.0","0.0","15439.0","4045.0","28107.0","3035.0","3476.0","29898.0","681.0","3854.0","56092.0","14.0","0.0","0.0","0.0","11375.0","114097.0","3730.0"
"329","Allamakee-Clayton El Coop, Inc","IA","Cooperative","26.9","28.3","102.0","142742.0","0.0","142844.0","126114.0","8804.0","0.0","498.0","7428.0","142844.0","18427.6","0.0","355.0","0.0","0.0","171.8","18954.4","16669.1","112248.0","9454.0","1758.5","13866.0","517.0","0.0","0.0","0.0","0.0","0.0","0.0","18427.6","126114.0","9971.0"
"367","City of Alliance- (NE)","NE","Municipal","25.6","20.9","26.0","118825.0","-4404.0","114447.0","108117.0","0.0","1911.0","0.0","4419.0","114447.0","12687.5","0.0","0.0","0.0","0.0","919.0","13606.5","4873.6","37878.0","4150.0","4980.5","42016.0","1056.0","2833.4","28223.0","11.0","0.0","0.0","0.0","12687.5","108117.0","5217.0"
"392","Alpena Power Co","MI","Investor Owned","61.0","55.0","0.0","374043.0","0.0","374043.0","358831.0","0.0","0.0","133.0","15079.0","374043.0","34742.1","0.0","0.0","0.0","0.0","247.1","34989.2","11842.0","85293.0","13708.0","12453.7","104553.0","3979.0","10446.4","168985.0","4.0","0.0","0.0","0.0","34742.1","358831.0","17691.0"
"407","Altamaha Electric Member Corp","GA","Cooperative","91.6","95.8","0.0","406461.0","0.0","406461.0","406461.0","0.0","0.0","0.0","0.0","406461.0","49254.9","0.0","0.0","0.0","0.0","0.0","49254.9","31461.4","228658.0","18537.0","8624.5","65704.0","1858.0","9169.0","112099.0","235.0","0.0","0.0","0.0","49254.9","406461.0","20630.0"
"416","City of Altus - (OK)","OK","Municipal","57.9","31.8","0.0","216495.0","0.0","216495.0","199088.0","0.0","9231.0","0.0","8176.0","216495.0","23342.2","0.0","0.0","0.0","0.0","0.0","23342.2","12512.1","86753.0","7571.0","7181.7","66330.0","1193.0","3648.4","46005.0","2.0","0.0","0.0","0.0","23342.2","199088.0","8766.0"
"471","Amana Society Service Co","IA","Investor Owned","16.0","15.0","1924.0","99779.0","0.0","101703.0","99621.0","0.0","0.0","0.0","2082.0","101703.0","7914.0","0.0","0.0","0.0","0.0","59.0","7973.0","889.0","6850.0","703.0","955.0","8312.0","182.0","6070.0","84459.0","1.0","0.0","0.0","0.0","7914.0","99621.0","886.0"
"540","BP Energy Company","TX","Retail Power Marketer","13.0","13.0","0.0","881120.0","0.0","881120.0","881120.0","0.0","0.0","0.0","0.0","881120.0","23647.0","0.0","0.0","0.0","0.0","0.0","23647.0","0.0","0.0","0.0","0.0","0.0","0.0","23647.0","881120.0","4.0","0.0","0.0","0.0","23647.0","881120.0","4.0"
"554","City of Ames - (IA)","IA","Municipal","149.2","110.3","281373.0","505745.0","0.0","787118.0","640964.0","126140.0","0.0","404.0","19610.0","787118.0","60180.3","0.0","3148.1","0.0","1822.0","6568.5","71718.9","19848.1","164873.0","23445.0","29230.5","340083.0","2986.0","11101.7","136008.0","6.0","0.0","0.0","0.0","60180.3","640964.0","26437.0"
"560","City of Amherst- (OH)","OH","Municipal","27.0","18.0","0.0","108152.0","0.0","108152.0","99933.0","0.0","0.0","0.0","8219.0","108152.0","11096.0","0.0","0.0","0.0","0.0","0.0","11096.0","6069.0","55291.0","5443.0","1703.0","13412.0","501.0","3324.0","31230.0","68.0","0.0","0.0","0.0","11096.0","99933.0","6012.0"
"562","Amicalola Electric Member Corp","GA","Cooperative","175.7","212.8","0.0","741061.0","0.0","741061.0","698503.0","0.0","0.0","948.0","41610.0","741061.0","82368.8","0.0","0.0","0.0","0.0","6893.2","89262.0","68442.4","588113.0","43564.0","13926.4","110390.0","4818.0","0.0","0.0","0.0","0.0","0.0","0.0","82368.8","698503.0","48382.0"
"571","City of Amory","MS","Municipal","29.9","21.9","0.0","136792.0","0.0","136792.0","133137.0","0.0","0.0","0.0","3655.0","136792.0","13311.0","0.0","0.0","0.0","0.0","336.2","13647.2","4035.0","37913.0","2915.0","6212.0","55387.0","1092.0","3064.0","39837.0","3.0","0.0","0.0","0.0","13311.0","133137.0","4010.0"
"577","City of Alcoa Utilities","TN","Municipal","137.9","173.8","0.0","620728.0","0.0","620728.0","590397.0","0.0","0.0","15.0","30317.0","620728.0","62499.0","0.0","0.0","0.0","0.0","1542.6","64041.6","38559.0","360955.0","25382.0","23802.0","228445.0","3598.0","138.0","997.0","1.0","0.0","0.0","0.0","62499.0","590397.0","28980.0"
"590","City of Anaheim - (CA)","CA","Municipal","562.0","344.0","418882.0","2925011.0","0.0","3343893.0","2344878.0","908838.0","0.0","0.0","90177.0","3343893.0","375052.0","0.0","33213.0","0.0","30725.0","1120.0","440110.0","99455.0","601952.0","111347.0","137843.0","766709.0","15086.0","137754.0","976217.0","304.0","0.0","0.0","0.0","375052.0","2344878.0","126737.0"
"599","Anchorage Municipal Light and Power","AK","Municipal","145.0","163.0","1286344.0","95933.0","0.0","1382277.0","966678.0","387688.0","0.0","0.0","27911.0","1382277.0","166730.4","0.0","23344.4","-5810.3","0.0","779.0","185043.5","26125.8","127375.0","24680.0","140604.6","839303.0","6392.0","0.0","0.0","0.0","0.0","0.0","0.0","166730.4","966678.0","31072.0"
"604","City of Andalusia","AL","Municipal","59.3","49.1","0.0","373093.0","0.0","373093.0","369185.0","0.0","0.0","0.0","3908.0","373093.0","27337.0","0.0","0.0","0.0","0.0","0.0","27337.0","5245.0","39538.0","3605.0","8639.0","60978.0","987.0","13453.0","268669.0","2.0","0.0","0.0","0.0","27337.0","369185.0","4594.0"
"636","City of Anderson - (IN)","IN","Municipal","166.3","136.5","0.0","858810.0","0.0","858810.0","843558.0","0.0","0.0","0.0","15252.0","858810.0","83762.5","0.0","0.0","0.0","0.0","2256.6","86019.1","34765.8","291037.0","31302.0","31040.6","315130.0","4251.0","17956.1","237391.0","57.0","0.0","0.0","0.0","83762.5","843558.0","35610.0"
"689","Connexus Energy","MN","Cooperative","504.7","347.2","0.0","2315519.0","0.0","2315519.0","1918613.0","320350.0","0.0","0.0","76556.0","2315519.0","235678.3","0.0","25402.6","0.0","0.0","0.0","261080.9","154207.5","1127318.0","120470.0","68811.3","659735.0","11420.0","12659.5","131560.0","399.0","0.0","0.0","0.0","235678.3","1918613.0","132289.0"
"690","City of Bardstown - (KY)","KY","Municipal","37.8","32.1","0.0","200526.0","0.0","200526.0","192741.0","0.0","0.0","0.0","7785.0","200526.0","16095.0","0.0","0.0","0.0","0.0","0.0","16095.0","3815.0","42315.0","3372.0","4817.0","54265.0","1197.0","7463.0","96161.0","15.0","0.0","0.0","0.0","16095.0","192741.0","4584.0"
"691","City of Anoka","MN","Municipal","61.2","40.9","0.0","275812.0","0.0","275812.0","268852.0","0.0","0.0","0.0","6960.0","275812.0","27493.0","0.0","0.0","0.0","0.0","157.0","27650.0","9158.0","71616.0","10765.0","9610.0","96583.0","1323.0","8725.0","100653.0","17.0","0.0","0.0","0.0","27493.0","268852.0","12105.0"
"694","Anza Electric Coop Inc","CA","Cooperative","14.5","11.3","0.0","64082.0","0.0","64082.0","59236.0","0.0","0.0","125.0","4721.0","64082.0","10611.0","0.0","0.0","0.0","0.0","0.0","10611.0","8498.0","47396.0","4338.0","2113.0","11840.0","333.0","0.0","0.0","0.0","0.0","0.0","0.0","10611.0","59236.0","4671.0"
"719","Town of Apex- (NC)","NC","Municipal","95.1","54.4","0.0","325569.0","0.0","325569.0","303798.0","0.0","1735.0","11263.0","8773.0","325569.0","29220.1","0.0","0.0","0.0","0.0","0.0","29220.1","19078.7","188460.0","16934.0","10141.4","115338.0","1469.0","0.0","0.0","0.0","0.0","0.0","0.0","29220.1","303798.0","18403.0"
"727","Appalachian Electric Coop","TN","Cooperative","197.1","252.2","0.0","939489.0","0.0","939489.0","890133.0","0.0","0.0","1144.0","48212.0","939489.0","98267.0","0.0","0.0","0.0","0.0","3191.0","101458.0","66123.0","573078.0","39763.0","28123.0","246674.0","6524.0","4021.0","70381.0","5.0","0.0","0.0","0.0","98267.0","890133.0","46291.0"
"733","Appalachian Power Co","OH","Investor Owned","5596.0","6967.0","25686531.0","9976293.0","0.0","35662824.0","27429334.0","6008360.0","501.0","0.0","2224629.0","35662824.0","2544960.0","889.0","288636.0","-12774.0","92074.0","53117.0","2966902.0","1242766.0","10700872.0","808570.0","664060.0","7289120.0","143172.0","639023.0","9603041.0","4118.0","0.0","0.0","0.0","2545849.0","27593033.0","955860.0"
"750","Arab Electric Coop Inc","AL","Cooperative","69.9","81.6","0.0","315553.0","0.0","315553.0","288438.0","0.0","0.0","378.0","26736.0","315553.0","31823.0","0.0","0.0","0.0","0.0","1282.9","33105.9","19778.0","179106.0","12510.0","11676.0","105036.0","2963.0","369.0","4296.0","1.0","0.0","0.0","0.0","31823.0","288438.0","15473.0"
"803","Arizona Public Service Co","AZ","Investor Owned","7367.0","4303.0","24920924.0","7825768.0","-6122.0","32740570.0","28018011.0","2892159.0","0.0","61297.0","1769103.0","32740570.0","3407017.0","0.0","117096.0","0.0","0.0","66454.0","3590567.0","1792453.0","13207135.0","1080665.0","1423610.0","12526675.0","129904.0","190954.0","2284201.0","4058.0","0.0","0.0","0.0","3407017.0","28018011.0","1214627.0"
"814","Entergy Arkansas Inc","AR","Investor Owned","4616.0","3735.0","26473510.0","4134405.0","640971.0","31248886.0","20888456.0","8331076.0","0.0","52893.0","1976461.0","31248886.0","1739545.3","0.0","249028.4","-430.4","109073.4","28076.1","2125292.8","761280.5","7298416.0","591113.0","509947.3","6061661.0","94323.0","468307.8","7528301.0","23426.0","9.7","78.0","1.0","1739545.3","20888456.0","708863.0"
"817","Arkansas Valley Elec Coop Corp","AR","Cooperative","303.2","320.1","0.0","1252032.0","0.0","1252032.0","1186080.0","0.0","0.0","362.0","65590.0","1252032.0","113969.3","0.0","0.0","0.0","0.0","2902.2","116871.5","80211.2","730227.0","55062.0","19720.7","198136.0","4253.0","14037.4","257717.0","26.0","0.0","0.0","0.0","113969.3","1186080.0","59341.0"
"828","City of Arlington - (MN)","MN","Municipal","15.8","11.3","0.0","16785.0","0.0","16785.0","15679.0","0.0","0.0","0.0","1106.0","16785.0","1518.8","0.0","0.0","0.0","0.0","56.5","1575.3","783.7","8148.0","972.0","735.1","7531.0","162.0","0.0","0.0","0.0","0.0","0.0","0.0","1518.8","15679.0","1134.0"
"887","Arrowhead Electric Coop, Inc","MN","Cooperative","7.8","23.3","0.0","76768.0","0.0","76768.0","71976.0","0.0","0.0","4792.0","0.0","76768.0","9608.0","0.0","0.0","0.0","0.0","77.9","9685.9","6338.6","42863.0","3803.0","3269.4","29113.0","431.0","0.0","0.0","0.0","0.0","0.0","0.0","9608.0","71976.0","4234.0"
"907","City of Ashland - (OR)","OR","Municipal","42.0","38.0","3071.0","180005.0","0.0","183076.0","177290.0","0.0","0.0","0.0","5786.0","183076.0","15377.5","0.0","0.0","0.0","0.0","0.0","15377.5","8112.8","92940.0","10386.0","7264.7","84350.0","1613.0","0.0","0.0","0.0","0.0","0.0","0.0","15377.5","177290.0","11999.0"
"918","City of Aspen- (CO)","CO","Municipal","11.1","14.5","18989.0","50039.0","0.0","69028.0","64474.0","0.0","0.0","0.0","4554.0","69028.0","6970.0","0.0","0.0","0.0","0.0","0.0","6970.0","2622.0","22063.0","2017.0","4348.0","42411.0","1005.0","0.0","0.0","0.0","0.0","0.0","0.0","6970.0","64474.0","3022.0"
"942","Atchison-Holt Electric Coop","MO","Cooperative","17.2","15.1","0.0","88979.0","0.0","88979.0","83215.0","0.0","0.0","203.0","5561.0","88979.0","9320.0","0.0","0.0","0.0","0.0","0.0","9320.0","4863.0","34445.0","3372.0","2165.0","20160.0","282.0","2292.0","28610.0","202.0","0.0","0.0","0.0","9320.0","83215.0","3856.0"
"944","City of Athens - (AL)","AL","Municipal","255.2","315.4","0.0","1159739.0","0.0","1159739.0","1093809.0","0.0","0.0","0.0","65930.0","1159739.0","103405.0","0.0","0.0","0.0","0.0","2396.0","105801.0","59036.0","595013.0","38921.0","33652.0","317955.0","6985.0","10717.0","180841.0","11.0","0.0","0.0","0.0","103405.0","1093809.0","45917.0"
"947","Athens Utility Board","TN","Municipal","113.1","109.3","0.0","657367.0","0.0","657367.0","628761.0","0.0","0.0","435.0","28171.0","657367.0","48777.0","0.0","0.0","0.0","0.0","875.3","49652.3","15008.0","146564.0","10903.0","16578.0","151618.0","2295.0","17191.0","330579.0","8.0","0.0","0.0","0.0","48777.0","628761.0","13207.0"
"963","Atlantic City Electric Co","NJ","Investor Owned","2401.0","1628.0","0.0","6098878.0","254375.0","6353253.0","4448035.0","1238364.0","0.0","9417.0","657437.0","6353253.0","750735.3","236593.9","65465.8","11621.1","135191.4","0.0","1199607.5","618836.4","3852703.0","485990.0","332803.4","3989999.0","64538.0","35689.4","741851.0","804.0","0.0","0.0","0.0","987329.2000000001","8584553.0","551332.0"
"965","Atlantic Municipal Utilities","IA","Municipal","24.5","21.8","117328.0","41072.0","-658.0","157742.0","108113.0","44210.0","0.0","0.0","5419.0","157742.0","8366.0","0.0","1242.0","0.0","824.0","112.0","10544.0","3385.2","39357.0","3825.0","4329.2","57288.0","832.0","651.6","11468.0","1.0","0.0","0.0","0.0","8366.0","108113.0","4658.0"
"970","Homefield Energy","IL","Retail Power Marketer","0.0","0.0","0.0","8812911.0","0.0","8812911.0","8812911.0","0.0","0.0","0.0","0.0","8812911.0","527741.6","0.0","0.0","0.0","0.0","0.0","527741.6","329545.6","5467544.0","567576.0","172680.5","2812500.0","3279.0","23667.0","510028.0","126.0","1848.5","22839.0","1.0","527741.6","8812911.0","570982.0"
"993","Auburn Board of Public Works","NE","Municipal","13.2","13.4","0.0","61516.0","0.0","61516.0","55590.0","0.0","0.0","241.0","5685.0","61516.0","5207.0","0.0","0.0","0.0","0.0","864.0","6071.0","2215.0","23303.0","1857.0","2711.0","29459.0","913.0","281.0","2828.0","1.0","0.0","0.0","0.0","5207.0","55590.0","2771.0"
"994","City of Auburn - (IN)","IN","Municipal","75.7","66.1","0.0","434660.0","0.0","434660.0","426676.0","0.0","876.0","0.0","7108.0","434660.0","38677.6","0.0","0.0","0.0","0.0","2827.1","41504.7","5699.6","61201.0","6436.0","2936.8","27486.0","985.0","30041.2","337989.0","136.0","0.0","0.0","0.0","38677.6","426676.0","7557.0"
"998","City of Augusta - (KS)","KS","Municipal","21.9","11.7","-795.0","79733.0","-2375.0","76563.0","66039.0","81.0","2717.0","0.0","7726.0","76563.0","6996.2","0.0","4.9","1911.4","367.7","0.0","9280.2","4061.5","36003.0","3895.0","2140.9","21373.0","412.0","793.8","8663.0","24.0","0.0","0.0","0.0","6996.2","66039.0","4331.0"
