"Fact","Fact Note","Oklahoma","Value Note for Oklahoma","Oregon","Value Note for Oregon","Maryland","Value Note for Maryland","Massachusetts","Value Note for Massachusetts","Michigan","Value Note for Michigan","Minnesota","Value Note for Minnesota"
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","60.6%","","62.3%","","67.1%","","67.2%","","61.5%","","69.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","55.6%","","57.9%","","63.4%","","63.4%","","57.1%","","65.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","7,121,153","","8,466,788","","12,516,782","","17,508,975","","17,962,356","","11,722,627",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","22,795,438","","24,956,816","","40,821,901","","63,583,090","","63,018,786","","40,403,572",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","74,295,394","","51,349,948","","39,532,989","","81,927,799","","238,892,383","","123,076,309",""
"Total retail sales, 2012 ($1,000)","(c)","50,256,231","","49,481,054","","76,379,707","","92,915,380","","119,302,046","","78,898,182",""
"Total retail sales per capita, 2012","(c)","$13,174","","$12,690","","$12,980","","$13,980","","$12,071","","$14,667",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","21.9","","23.9","","33.2","","30.2","","24.6","","23.7",""
"Median household income (in 2019 dollars), 2015-2019","","$52,919","","$62,818","","$84,805","","$81,215","","$57,144","","$71,306",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$28,422","","$33,763","","$42,122","","$43,761","","$31,713","","$37,625",""
"Persons in poverty, percent","","15.2%","","11.4%","","9.0%","","9.4%","","13.0%","","9.0%",""
"Total employer establishments, 2019","","93,761","","119,074","","139,449","","181,061","","222,226","","151,495",""
"Total employment, 2019","","1,404,725","","1,643,425","","2,380,865","","3,386,372","","3,978,872","","2,729,420",""
"Total annual payroll, 2019 ($1,000)","","65,227,101","","87,517,282","","136,778,313","","238,938,268","","203,510,092","","153,756,494",""
"Total employment, percent change, 2018-2019","","1.4%","","0.9%","","0.6%","","1.9%","","0.8%","","0.0%",""
"Total nonemployer establishments, 2018","","291,452","","302,653","","510,744","","573,754","","730,700","","416,487",""
"All firms, 2012","","327,229","","339,305","","531,953","","607,664","","834,087","","489,494",""
"Men-owned firms, 2012","","174,395","","165,691","","276,630","","357,158","","446,128","","268,710",""
"Women-owned firms, 2012","","105,168","","123,015","","209,119","","199,210","","306,986","","157,821",""
"Minority-owned firms, 2012","","64,875","","41,456","","203,394","","89,967","","158,946","","47,302",""
"Nonminority-owned firms, 2012","","249,027","","285,028","","314,902","","499,959","","657,237","","428,716",""
"Veteran-owned firms, 2012","","36,273","","30,918","","50,976","","58,339","","71,861","","45,582",""
"Nonveteran-owned firms, 2012","","273,491","","288,790","","462,232","","525,667","","733,517","","419,628",""
"Population per square mile, 2010","","54.7","","39.9","","594.8","","839.4","","174.8","","66.6",""
"Land area in square miles, 2010","","68,594.92","","95,988.01","","9,707.24","","7,800.06","","56,538.90","","79,626.74",""
"FIPS Code","","""40""","","""41""","","""24""","","""25""","","""26""","","""27""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
