"Fact","Fact Note","New Jersey","Value Note for New Jersey","New Mexico","Value Note for New Mexico","New York","Value Note for New York","North Carolina","Value Note for North Carolina","North Dakota","Value Note for North Dakota","Ohio","Value Note for Ohio"
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,465","","$1,280","","$2,155","","$1,314","","$1,426","","$1,282",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$1,052","","$356","","$772","","$400","","$466","","$479",""
"Median gross rent, 2015-2019","","$1,334","","$844","","$1,280","","$907","","$826","","$808",""
"Building permits, 2020","","36,146","","5,219","1","37,330","","80,474","","3,493","","29,686",""
"Households, 2015-2019","","3,231,874","","780,249","","7,343,234","","3,965,482","","318,322","","4,676,358",""
"Persons per household, 2015-2019","","2.69","","2.63","","2.59","","2.52","","2.30","","2.43",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","89.8%","","86.7%","","89.5%","","84.8%","","82.2%","","85.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","31.3%","","34.0%","","30.5%","","11.8%","","6.0%","","7.2%",""
"Households with a computer, percent, 2015-2019","","91.4%","","85.9%","","89.6%","","89.1%","","89.8%","","89.1%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","85.8%","","74.6%","","82.8%","","80.7%","","80.7%","","82.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","89.8%","","85.6%","","86.8%","","87.8%","","92.6%","","90.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","39.7%","","27.3%","","36.6%","","31.3%","","30.0%","","28.3%",""
"With a disability, under age 65 years, percent, 2015-2019","","6.5%","","10.5%","","7.6%","","9.4%","","7.2%","","10.0%",""
"Persons  without health insurance, under age 65 years, percent","","9.2%","","12.0%","","6.1%","","13.4%","","8.1%","","7.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","65.5%","","57.3%","","63.0%","","61.3%","","69.2%","","63.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","60.2%","","53.6%","","58.7%","","57.3%","","64.8%","","59.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","19,673,558","","4,349,672","","49,285,508","","18,622,258","","2,045,123","","20,652,777",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","60,375,232","","11,236,630","","155,666,053","","55,227,505","","5,418,355","","80,915,693",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","108,854,971","","29,102,352","","148,879,931","","202,344,646","","14,427,360","","313,629,976",""
"Total retail sales, 2012 ($1,000)","(c)","133,665,728","","25,179,274","","251,167,736","","120,691,007","","15,519,816","","153,553,997",""
"Total retail sales per capita, 2012","(c)","$15,079","","$12,073","","$12,834","","$12,376","","$22,183","","$13,301",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","32.2","","22.3","","33.6","","24.8","","17.3","","23.7",""
"Median household income (in 2019 dollars), 2015-2019","","$82,545","","$49,754","","$68,486","","$54,602","","$64,894","","$56,602",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$42,745","","$27,230","","$39,326","","$30,783","","$36,062","","$31,552",""
"Persons in poverty, percent","","9.2%","","18.2%","","13.0%","","13.6%","","10.6%","","13.1%",""
"Total employer establishments, 2019","","233,888","","43,804","","547,351","","238,015","","24,654","","250,981",""
"Total employment, 2019","","3,805,357","","644,537","","8,597,216","","3,932,620","","353,333","","4,916,956",""
"Total annual payroll, 2019 ($1,000)","","239,861,512","","28,177,071","","603,077,852","","194,776,029","","18,291,999","","243,906,995",""
"Total employment, percent change, 2018-2019","","1.8%","","2.1%","","2.2%","","2.2%","","2.1%","","0.8%",""
"Total nonemployer establishments, 2018","","745,483","","125,925","","1,804,188","","787,883","","56,523","","802,331",""
"All firms, 2012","","792,088","","151,363","","2,008,988","","805,985","","68,270","","904,814",""
"Men-owned firms, 2012","","464,592","","71,132","","1,139,910","","435,677","","37,016","","510,078",""
"Women-owned firms, 2012","","252,944","","59,044","","725,709","","287,058","","20,316","","306,824",""
"Minority-owned firms, 2012","","237,242","","60,622","","709,021","","183,380","","3,190","","122,653",""
"Nonminority-owned firms, 2012","","533,808","","83,857","","1,248,304","","603,182","","62,271","","759,569",""
"Veteran-owned firms, 2012","","57,996","","14,096","","137,532","","86,571","","6,584","","91,316",""
"Nonveteran-owned firms, 2012","","707,975","","128,693","","1,811,544","","684,743","","56,904","","776,193",""
"Population per square mile, 2010","","1,195.5","","17.0","","411.2","","196.1","","9.7","","282.3",""
"Land area in square miles, 2010","","7,354.22","","121,298.15","","47,126.40","","48,617.91","","69,000.80","","40,860.69",""
"FIPS Code","","""34""","","""35""","","""36""","","""37""","","""38""","","""39""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
