"Fact","Fact Note","Alabama","Value Note for Alabama","Alaska","Value Note for Alaska","Arizona","Value Note for Arizona","Arkansas","Value Note for Arkansas","California","Value Note for California","Colorado","Value Note for Colorado"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","26,039,632","","6,375,483","","37,055,881","","15,792,628","","248,953,592","","29,488,161",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","124,809,759","","D","","51,243,473","","62,712,925","","512,303,164","","50,447,098",""
"Total retail sales, 2012 ($1,000)","(c)","58,564,965","","10,474,275","","84,716,542","","36,815,256","","481,800,461","","67,815,200",""
"Total retail sales per capita, 2012","(c)","$12,145","","$14,320","","$12,927","","$12,483","","$12,665","","$13,073",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","24.9","","19.1","","25.7","","21.7","","29.8","","25.8",""
"Median household income (in 2019 dollars), 2015-2019","","$50,536","","$77,640","","$58,945","","$47,597","","$75,235","","$72,331",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$27,928","","$36,787","","$30,694","","$26,577","","$36,955","","$38,226",""
"Persons in poverty, percent","","15.5%","","10.1%","","13.5%","","16.2%","","11.8%","","9.3%",""
"Total employer establishments, 2019","","100,731","","21,399","","147,163","","67,243","","966,224","","174,258",""
"Total employment, 2019","","1,758,609","","264,971","","2,614,641","","1,053,453","","15,516,824","","2,473,192",""
"Total annual payroll, 2019 ($1,000)","","79,548,202","","16,571,790","","129,707,807","","46,259,546","","1,077,175,621","","142,461,322",""
"Total employment, percent change, 2018-2019","","1.6%","","1.5%","","2.6%","","1.0%","","1.9%","","2.0%",""
"Total nonemployer establishments, 2018","","336,445","","57,391","","502,593","","209,179","","3,453,769","","535,299",""
"All firms, 2012","","374,153","","68,032","","499,926","","231,959","","3,548,449","","547,352",""
"Men-owned firms, 2012","","203,604","","35,402","","245,243","","123,158","","1,852,580","","284,554",""
"Women-owned firms, 2012","","137,630","","22,141","","182,425","","75,962","","1,320,085","","194,508",""
"Minority-owned firms, 2012","","92,219","","13,688","","135,313","","35,982","","1,619,857","","85,849",""
"Nonminority-owned firms, 2012","","272,651","","51,147","","344,981","","189,029","","1,819,107","","442,365",""
"Veteran-owned firms, 2012","","41,943","","7,953","","46,780","","25,915","","252,377","","51,722",""
"Nonveteran-owned firms, 2012","","316,984","","56,091","","427,582","","192,988","","3,176,341","","469,524",""
"Population per square mile, 2010","","94.4","","1.2","","56.3","","56.0","","239.1","","48.5",""
"Land area in square miles, 2010","","50,645.33","","570,640.95","","113,594.08","","52,035.48","","155,779.22","","103,641.89",""
"FIPS Code","","""01""","","""02""","","""04""","","""05""","","""06""","","""08""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
