"Fact","Fact Note","Louisiana","Value Note for Louisiana","Maine","Value Note for Maine","Montana","Value Note for Montana","Nebraska","Value Note for Nebraska","Nevada","Value Note for Nevada","New Hampshire","Value Note for New Hampshire"
"Total employment, 2019","","1,719,561","","522,191","","375,176","","856,242","","1,261,577","","620,164",""
"Total annual payroll, 2019 ($1,000)","","82,452,225","","24,129,240","","16,051,422","","39,432,674","","58,121,883","","33,047,745",""
"Total employment, percent change, 2018-2019","","1.7%","","1.2%","","1.1%","","1.3%","","3.3%","","1.3%",""
"Total nonemployer establishments, 2018","","385,074","","117,341","","93,753","","138,728","","245,381","","108,327",""
"All firms, 2012","","414,291","","139,570","","112,419","","164,089","","227,156","","131,638",""
"Men-owned firms, 2012","","215,111","","79,243","","55,913","","83,696","","114,057","","76,716",""
"Women-owned firms, 2012","","151,114","","42,067","","35,449","","51,936","","82,508","","38,525",""
"Minority-owned firms, 2012","","126,100","","4,339","","5,578","","14,571","","71,864","","6,111",""
"Nonminority-owned firms, 2012","","277,676","","131,322","","102,746","","144,122","","144,944","","121,297",""
"Veteran-owned firms, 2012","","42,211","","15,689","","11,486","","16,693","","23,049","","16,119",""
"Nonveteran-owned firms, 2012","","354,460","","115,839","","93,393","","137,254","","191,293","","108,817",""
"Population per square mile, 2010","","104.9","","43.1","","6.8","","23.8","","24.6","","147.0",""
"Land area in square miles, 2010","","43,203.90","","30,842.92","","145,545.80","","76,824.17","","109,781.18","","8,952.65",""
"FIPS Code","","""22""","","""23""","","""30""","","""31""","","""32""","","""33""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
