"Fact","Fact Note","Connecticut","Value Note for Connecticut","Delaware","Value Note for Delaware","District of Columbia","Value Note for District of Columbia","Florida","Value Note for Florida","Georgia","Value Note for Georgia","Hawaii","Value Note for Hawaii"
"Housing units,  July 1, 2019,  (V2019)","","1,524,992","","443,781","","322,793","","9,673,682","","4,378,391","","550,273",""
"Owner-occupied housing unit rate, 2015-2019","","66.1%","","71.2%","","41.6%","","65.4%","","63.3%","","58.9%",""
"Median value of owner-occupied housing units, 2015-2019","","$275,400","","$251,100","","$601,500","","$215,300","","$176,000","","$615,300",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$2,119","","$1,587","","$2,569","","$1,503","","$1,417","","$2,418",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$894","","$470","","$688","","$505","","$427","","$529",""
"Median gross rent, 2015-2019","","$1,180","","$1,130","","$1,541","","$1,175","","$1,006","","$1,617",""
"Building permits, 2020","","5,471","","8,455","","7,370","","164,074","","55,827","","3,164",""
"Households, 2015-2019","","1,370,746","","363,322","","284,386","","7,736,311","","3,758,798","","459,424",""
"Persons per household, 2015-2019","","2.53","","2.57","","2.30","","2.65","","2.70","","3.00",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","87.9%","","87.4%","","80.5%","","84.5%","","84.9%","","86.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","22.3%","","13.3%","","17.2%","","29.4%","","14.0%","","26.6%",""
"Households with a computer, percent, 2015-2019","","90.8%","","91.6%","","91.8%","","91.5%","","90.2%","","91.2%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","85.5%","","85.0%","","82.6%","","83.0%","","81.3%","","84.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","90.6%","","90.0%","","90.9%","","88.2%","","87.1%","","92.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","39.3%","","32.0%","","58.5%","","29.9%","","31.3%","","33.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","7.4%","","8.7%","","8.5%","","8.6%","","8.7%","","6.4%",""
"Persons  without health insurance, under age 65 years, percent","","7.0%","","8.1%","","3.9%","","16.3%","","15.5%","","5.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","66.1%","","62.0%","","69.9%","","58.5%","","62.6%","","61.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","62.1%","","58.5%","","68.3%","","54.3%","","58.5%","","59.6%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","9,542,068","","2,148,437","","5,101,602","","49,817,925","","18,976,611","","9,536,706",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","29,573,119","","7,003,251","","8,963,981","","124,061,425","","51,800,643","","8,136,947",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","55,160,095","","22,597,384","","309,832","","96,924,106","","155,836,792","","D",""
"Total retail sales, 2012 ($1,000)","(c)","51,632,467","","14,456,001","","4,439,933","","273,867,145","","119,801,495","","18,901,745",""
"Total retail sales per capita, 2012","(c)","$14,381","","$15,763","","$7,022","","$14,177","","$12,077","","$13,576",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","26.6","","26.3","","30.8","","27.8","","28.8","","27.5",""
"Median household income (in 2019 dollars), 2015-2019","","$78,444","","$68,287","","$86,420","","$55,660","","$58,700","","$81,275",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$44,496","","$35,450","","$56,147","","$31,619","","$31,067","","$35,567",""
"Persons in poverty, percent","","10.0%","","11.3%","","13.5%","","12.7%","","13.3%","","9.3%",""
"Total employer establishments, 2019","","88,916","","26,142","","23,993","","574,512","","239,034","","32,889",""
"Total employment, 2019","","1,538,341","","413,410","","528,826","","8,860,042","","4,040,559","","553,206",""
"Total annual payroll, 2019 ($1,000)","","100,304,531","","23,948,185","","44,757,660","","426,908,310","","212,578,382","","25,838,555",""
"Total employment, percent change, 2018-2019","","0.6%","","1.9%","","-2.0%","","2.2%","","1.6%","","0.3%",""
"Total nonemployer establishments, 2018","","286,874","","68,623","","62,583","","2,388,050","","955,621","","112,589",""
"All firms, 2012","","326,693","","73,418","","63,408","","2,100,187","","929,864","","118,454",""
"Men-owned firms, 2012","","187,845","","38,328","","30,237","","1,084,885","","480,578","","60,409",""
"Women-owned firms, 2012","","106,678","","23,964","","27,064","","807,817","","376,506","","44,453",""
"Minority-owned firms, 2012","","56,113","","14,440","","29,983","","926,112","","371,588","","74,208",""
"Nonminority-owned firms, 2012","","259,614","","54,782","","29,521","","1,121,749","","538,893","","38,510",""
"Veteran-owned firms, 2012","","31,056","","7,206","","5,070","","185,756","","96,787","","11,148",""
"Nonveteran-owned firms, 2012","","281,182","","60,318","","54,217","","1,846,686","","800,585","","101,334",""
"Population per square mile, 2010","","738.1","","460.8","","9,856.5","","350.6","","168.4","","211.8",""
"Land area in square miles, 2010","","4,842.36","","1,948.54","","61.05","","53,624.76","","57,513.49","","6,422.63",""
"FIPS Code","","""09""","","""10""","","""11""","","""12""","","""13""","","""15""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
