"Fact","Fact Note","West Virginia","Value Note for West Virginia","Wisconsin","Value Note for Wisconsin","Wyoming","Value Note for Wyoming"
"Median household income (in 2019 dollars), 2015-2019","","$46,711","","$61,747","","$64,049",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$26,480","","$33,375","","$33,366",""
"Persons in poverty, percent","","16.0%","","10.4%","","10.1%",""
"Total employer establishments, 2019","","35,795","","141,635","","21,578",""
"Total employment, 2019","","554,433","","2,610,712","","207,016",""
"Total annual payroll, 2019 ($1,000)","","23,906,683","","130,984,676","","10,422,564",""
"Total employment, percent change, 2018-2019","","0.0%","","0.3%","","0.6%",""
"Total nonemployer establishments, 2018","","88,150","","355,166","","53,042",""
"All firms, 2012","","114,435","","432,980","","62,427",""
"Men-owned firms, 2012","","63,112","","236,252","","30,039",""
"Women-owned firms, 2012","","39,065","","133,859","","19,344",""
"Minority-owned firms, 2012","","5,777","","40,507","","4,077",""
"Nonminority-owned firms, 2012","","104,785","","379,934","","55,397",""
"Veteran-owned firms, 2012","","12,912","","39,830","","6,470",""
"Nonveteran-owned firms, 2012","","94,960","","370,755","","51,353",""
"Population per square mile, 2010","","77.1","","105.0","","5.8",""
"Land area in square miles, 2010","","24,038.21","","54,157.80","","97,093.14",""
"FIPS Code","","""54""","","""55""","","""56""",""
"","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","",""
"","","","","","","",""
"Value Notes","","","","","","",""
"None","","","","","","",""
"","","","","","","",""
"Fact Notes","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","",""
"","","","","","","",""
"Value Flags","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","",""
"F","Fewer than 25 firms","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","",""
"FN","Footnote on this item in place of data","","","","","",""
"X","Not applicable","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","",""
"NA","Not available","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","",""
