"Fact","Fact Note","Tennessee","Value Note for Tennessee","Texas","Value Note for Texas","Utah","Value Note for Utah","Vermont","Value Note for Vermont","Virginia","Value Note for Virginia","Washington","Value Note for Washington"
"Housing units,  July 1, 2019,  (V2019)","","3,028,213","","11,283,353","","1,133,521","","339,439","","3,562,143","","3,195,004",""
"Owner-occupied housing unit rate, 2015-2019","","66.3%","","62.0%","","70.2%","","70.8%","","66.3%","","63.0%",""
"Median value of owner-occupied housing units, 2015-2019","","$167,200","","$172,500","","$279,100","","$227,700","","$273,100","","$339,000",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$1,244","","$1,606","","$1,551","","$1,621","","$1,799","","$1,886",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$388","","$514","","$430","","$677","","$479","","$583",""
"Median gross rent, 2015-2019","","$869","","$1,045","","$1,037","","$985","","$1,234","","$1,258",""
"Building permits, 2020","","49,719","","230,503","","31,775","","2,077","","33,813","","43,881",""
"Households, 2015-2019","","2,597,292","","9,691,647","","977,313","","260,029","","3,151,045","","2,848,396",""
"Persons per household, 2015-2019","","2.52","","2.85","","3.12","","2.30","","2.61","","2.55",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","85.5%","","84.4%","","83.1%","","86.7%","","84.7%","","82.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","7.2%","","35.5%","","15.4%","","5.8%","","16.3%","","19.7%",""
"Households with a computer, percent, 2015-2019","","87.1%","","91.0%","","95.3%","","89.9%","","91.1%","","93.8%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","78.4%","","81.9%","","87.5%","","81.5%","","83.9%","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","87.5%","","83.7%","","92.3%","","92.7%","","89.7%","","91.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","27.3%","","29.9%","","34.0%","","38.0%","","38.8%","","36.0%",""
"With a disability, under age 65 years, percent, 2015-2019","","11.0%","","7.9%","","6.8%","","10.6%","","8.0%","","8.7%",""
"Persons  without health insurance, under age 65 years, percent","","12.1%","","20.8%","","10.8%","","5.6%","","9.3%","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","61.0%","","64.2%","","68.3%","","65.4%","","64.1%","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","56.6%","","57.8%","","60.6%","","62.8%","","60.5%","","58.5%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","12,499,013","","54,480,811","","4,789,281","","1,564,272","","17,795,901","","14,297,278",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","42,383,683","","145,035,130","","14,521,857","","4,457,996","","47,705,003","","43,966,889",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","139,960,482","","702,603,073","","50,046,429","","9,315,494","","96,389,872","","131,530,601",""
"Total retail sales, 2012 ($1,000)","(c)","91,641,605","","356,116,376","","38,024,486","","9,933,751","","110,002,385","","118,924,049",""
"Total retail sales per capita, 2012","(c)","$14,194","","$13,666","","$13,317","","$15,868","","$13,438","","$17,243",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.2","","26.6","","21.9","","23.3","","28.7","","28.0",""
"Median household income (in 2019 dollars), 2015-2019","","$53,320","","$61,874","","$71,621","","$61,973","","$74,222","","$73,775",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$29,859","","$31,277","","$29,775","","$34,577","","$39,278","","$38,915",""
"Persons in poverty, percent","","13.9%","","13.6%","","8.9%","","10.2%","","9.9%","","9.8%",""
"Total employer establishments, 2019","","139,760","","609,476","","83,924","","20,829","","203,467","","195,105",""
"Total employment, 2019","","2,724,545","","11,104,054","","1,373,876","","261,196","","3,455,993","","2,898,378",""
"Total annual payroll, 2019 ($1,000)","","129,928,960","","611,142,429","","67,687,688","","11,884,937","","197,418,070","","191,591,608",""
"Total employment, percent change, 2018-2019","","1.5%","","2.9%","","2.7%","","0.0%","","2.0%","","1.8%",""
"Total nonemployer establishments, 2018","","539,987","","2,514,301","","246,766","","62,027","","632,995","","491,908",""
"All firms, 2012","","550,453","","2,356,748","","251,419","","75,827","","653,193","","541,522",""
"Men-owned firms, 2012","","302,249","","1,251,696","","132,163","","41,270","","353,012","","262,650",""
"Women-owned firms, 2012","","195,694","","866,678","","76,269","","23,417","","236,290","","187,677",""
"Minority-owned firms, 2012","","105,234","","1,070,392","","24,423","","2,354","","185,043","","92,807",""
"Nonminority-owned firms, 2012","","434,025","","1,224,845","","218,826","","70,491","","450,109","","426,697",""
"Veteran-owned firms, 2012","","59,379","","213,590","","18,754","","8,237","","76,434","","49,331",""
"Nonveteran-owned firms, 2012","","469,392","","2,057,218","","219,807","","63,317","","548,439","","461,401",""
"Population per square mile, 2010","","153.9","","96.3","","33.6","","67.9","","202.6","","101.2",""
"Land area in square miles, 2010","","41,234.90","","261,231.71","","82,169.62","","9,216.66","","39,490.09","","66,455.52",""
"FIPS Code","","""47""","","""48""","","""49""","","""50""","","""51""","","""53""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
