"County","Population","State","Housing Data.Residing in Group Quarters","Housing Data.Total Housing Units","Vehicle Access.1 Mile","Vehicle Access.1/2 Mile","Vehicle Access.10 Miles","Vehicle Access.20 Miles","Low Access Numbers.Children.1 Mile","Low Access Numbers.Children.1/2 Mile","Low Access Numbers.Children.10 Miles","Low Access Numbers.Children.20 Miles","Low Access Numbers.Low Income People.1 Mile","Low Access Numbers.Low Income People.1/2 Mile","Low Access Numbers.Low Income People.10 Miles","Low Access Numbers.Low Income People.20 Miles","Low Access Numbers.People.1 Mile","Low Access Numbers.People.1/2 Mile","Low Access Numbers.People.10 Miles","Low Access Numbers.People.20 Miles","Low Access Numbers.Seniors.1 Mile","Low Access Numbers.Seniors.1/2 Mile","Low Access Numbers.Seniors.10 Miles","Low Access Numbers.Seniors.20 Miles"
"Walker County","67023","Alabama","866.0","26571","1175.0","1425.0","0.0","0.0","12094.0","13868.0","28.0","0.0","22899.0","26247.0","49.0","0.0","53204.0","61228.0","167.0","0.0","8161.0","9662.0","36.0","0.0"
"Washington County","17581","Alabama","147.0","6758","228.0","236.0","49.0","0.0","4100.0","4349.0","516.0","0.0","7199.0","7601.0","788.0","0.0","16113.0","17045.0","1966.0","0.0","2323.0","2503.0","315.0","0.0"
"Wilcox County","11670","Alabama","108.0","4484","666.0","683.0","220.0","0.0","3040.0","3127.0","1305.0","1.0","6152.0","6260.0","2763.0","3.0","11304.0","11591.0","4897.0","5.0","1696.0","1738.0","738.0","1.0"
"Winston County","24484","Alabama","301.0","10163","474.0","614.0","19.0","0.0","4142.0","4718.0","213.0","0.0","8930.0","10159.0","415.0","0.0","19554.0","22073.0","1033.0","0.0","3320.0","3821.0","204.0","0.0"
"Aleutians East Borough","3141","Alaska","1726.0","553","126.0","131.0","56.0","34.0","346.0","360.0","56.0","35.0","1047.0","1081.0","458.0","418.0","2950.0","3041.0","1226.0","1119.0","145.0","151.0","44.0","42.0"
"Aleutians West Census Area","5561","Alaska","2543.0","1212","133.0","159.0","103.0","103.0","497.0","602.0","204.0","204.0","999.0","1317.0","434.0","433.0","3409.0","4570.0","1190.0","1185.0","139.0","168.0","75.0","75.0"
"Anchorage Municipality","291826","Alaska","8450.0","107332","987.0","3578.0","3.0","0.0","23380.0","55038.0","105.0","2.0","14114.0","41102.0","62.0","3.0","89739.0","212595.0","631.0","18.0","5869.0","14832.0","41.0","0.0"
"Bethel Census Area","17013","Alaska","338.0","4651","2299.0","2403.0","1826.0","1473.0","5029.0","5548.0","3380.0","2780.0","7887.0","8295.0","6009.0","4835.0","13260.0","14732.0","8747.0","7127.0","822.0","896.0","626.0","500.0"
"Bristol Bay Borough","997","Alaska","16.0","423","42.0","42.0","24.0","0.0","225.0","225.0","127.0","1.0","203.0","203.0","116.0","2.0","996.0","997.0","561.0","7.0","83.0","83.0","51.0","2.0"
"Denali Borough","1826","Alaska","36.0","806","25.0","25.0","25.0","25.0","411.0","411.0","411.0","411.0","604.0","604.0","604.0","603.0","1826.0","1826.0","1826.0","1822.0","137.0","137.0","137.0","137.0"
"Dillingham Census Area","4847","Alaska","52.0","1563","548.0","574.0","467.0","331.0","1394.0","1523.0","894.0","668.0","1941.0","2063.0","1525.0","1138.0","4074.0","4513.0","2462.0","1730.0","290.0","326.0","187.0","122.0"
"Fairbanks North Star Borough","97581","Alaska","4313.0","36441","607.0","1025.0","8.0","5.0","17901.0","22929.0","1296.0","198.0","14699.0","20017.0","825.0","229.0","69363.0","87959.0","5178.0","910.0","4055.0","5405.0","392.0","110.0"
"Haines Borough","2508","Alaska","0.0","1149","32.0","48.0","0.0","0.0","284.0","389.0","99.0","84.0","507.0","608.0","253.0","212.0","1479.0","1920.0","519.0","434.0","183.0","240.0","58.0","46.0"
"Hoonah-Angoon Census Area","2150","Alaska","0.0","913","281.0","281.0","279.0","270.0","424.0","424.0","418.0","404.0","674.0","674.0","669.0","644.0","2150.0","2150.0","2137.0","2047.0","288.0","288.0","287.0","275.0"
"Juneau City and Borough","31275","Alaska","887.0","12187","526.0","661.0","13.0","3.0","4868.0","6215.0","18.0","0.0","3266.0","3936.0","21.0","8.0","20058.0","25445.0","157.0","30.0","1520.0","1969.0","13.0","2.0"
"Kenai Peninsula Borough","55400","Alaska","1722.0","22161","974.0","1254.0","240.0","68.0","10773.0","12430.0","2066.0","357.0","13222.0","15172.0","2949.0","549.0","45784.0","52147.0","8785.0","1558.0","5023.0","5777.0","1133.0","176.0"
"Ketchikan Gateway Borough","13477","Alaska","246.0","5305","70.0","313.0","4.0","3.0","1140.0","1903.0","0.0","0.0","843.0","1839.0","1.0","1.0","4732.0","7976.0","39.0","24.0","437.0","702.0","12.0","7.0"
"Kodiak Island Borough","13592","Alaska","336.0","4630","338.0","404.0","110.0","78.0","2064.0","3101.0","422.0","192.0","1857.0","2850.0","532.0","310.0","7301.0","10942.0","1633.0","644.0","537.0","762.0","116.0","56.0"
"Kusilvak Census Area","7459","Alaska","0.0","1745","952.0","1196.0","327.0","276.0","1984.0","2453.0","653.0","558.0","3472.0","4292.0","1193.0","1015.0","4691.0","5855.0","1562.0","1324.0","254.0","326.0","70.0","55.0"
"Lake and Peninsula Borough","1631","Alaska","37.0","553","259.0","259.0","259.0","259.0","492.0","492.0","492.0","492.0","679.0","679.0","679.0","678.0","1631.0","1631.0","1631.0","1630.0","127.0","127.0","127.0","127.0"
"Matanuska-Susitna Borough","88995","Alaska","1370.0","31824","703.0","938.0","91.0","32.0","20543.0","23938.0","1131.0","300.0","17607.0","20652.0","2007.0","520.0","71009.0","82786.0","5525.0","1436.0","5403.0","6562.0","665.0","188.0"
"Nome Census Area","9492","Alaska","219.0","2815","1032.0","1185.0","520.0","519.0","1809.0","2306.0","807.0","801.0","2984.0","3415.0","1442.0","1440.0","4819.0","6260.0","2196.0","2178.0","256.0","335.0","133.0","132.0"
"North Slope Borough","9430","Alaska","2652.0","2029","379.0","614.0","201.0","196.0","699.0","1412.0","342.0","327.0","1073.0","1791.0","670.0","651.0","4758.0","6855.0","3575.0","3469.0","180.0","285.0","109.0","107.0"
"Northwest Arctic Borough","7523","Alaska","382.0","1919","760.0","858.0","653.0","542.0","1478.0","1800.0","1269.0","996.0","2476.0","2903.0","2179.0","1807.0","3971.0","4857.0","3434.0","2754.0","210.0","249.0","177.0","134.0"
"Petersburg Borough","3815","Alaska","43.0","1599","133.0","180.0","16.0","6.0","313.0","544.0","47.0","15.0","215.0","418.0","25.0","9.0","1402.0","2385.0","168.0","58.0","149.0","274.0","14.0","5.0"
"Prince of Wales-Hyder Census Area","5559","Alaska","50.0","2194","109.0","174.0","76.0","64.0","547.0","986.0","254.0","209.0","849.0","1368.0","491.0","400.0","2306.0","3960.0","1262.0","1043.0","246.0","391.0","151.0","133.0"
"Sitka City and Borough","8881","Alaska","255.0","3545","116.0","189.0","10.0","6.0","738.0","1125.0","9.0","5.0","555.0","941.0","0.0","0.0","3066.0","4541.0","60.0","35.0","283.0","398.0","3.0","2.0"
"Skagway Municipality","968","Alaska","32.0","436","3.0","6.0","0.0","0.0","10.0","24.0","0.0","0.0","14.0","28.0","1.0","0.0","82.0","158.0","3.0","0.0","7.0","13.0","1.0","0.0"
"Southeast Fairbanks Census Area","7029","Alaska","369.0","2567","119.0","128.0","77.0","60.0","1656.0","1764.0","506.0","266.0","1776.0","1901.0","695.0","439.0","6244.0","6668.0","2090.0","1189.0","585.0","635.0","215.0","132.0"
"Valdez-Cordova Census Area","9636","Alaska","201.0","3966","259.0","279.0","182.0","133.0","1438.0","1772.0","628.0","358.0","1903.0","2035.0","996.0","676.0","6026.0","7214.0","2724.0","1649.0","550.0","607.0","280.0","193.0"
"Wrangell City and Borough","2369","Alaska","19.0","1053","17.0","47.0","9.0","3.0","188.0","258.0","105.0","34.0","207.0","330.0","119.0","38.0","876.0","1270.0","506.0","161.0","135.0","200.0","70.0","20.0"
"Yakutat City and Borough","662","Alaska","18.0","270","11.0","20.0","0.0","0.0","68.0","139.0","0.0","0.0","104.0","201.0","1.0","0.0","280.0","541.0","2.0","0.0","29.0","50.0","0.0","0.0"
"Yukon-Koyukuk Census Area","5588","Alaska","31.0","2217","1019.0","1049.0","1013.0","1013.0","1399.0","1450.0","1385.0","1385.0","2440.0","2528.0","2418.0","2418.0","5048.0","5222.0","5005.0","5005.0","523.0","532.0","522.0","522.0"
"Apache County","71518","Arizona","941.0","22771","2555.0","2677.0","1657.0","772.0","19889.0","21617.0","11490.0","5918.0","39413.0","41823.0","24663.0","12405.0","62704.0","68078.0","37500.0","17768.0","7215.0","7830.0","4687.0","1862.0"
"Cochise County","131346","Arizona","6271.0","50865","1509.0","2219.0","307.0","93.0","19352.0","25994.0","3305.0","836.0","31290.0","44020.0","6637.0","2201.0","90307.0","114686.0","17460.0","5071.0","16467.0","19927.0","4056.0","1502.0"
"Coconino County","134421","Arizona","8834.0","46711","1152.0","1581.0","731.0","592.0","17781.0","25188.0","5587.0","4192.0","24691.0","36752.0","10623.0","8117.0","69595.0","100138.0","21007.0","15248.0","7679.0","9927.0","2530.0","1683.0"
"Gila County","53597","Arizona","917.0","22000","880.0","1080.0","121.0","9.0","7419.0","9649.0","890.0","165.0","15181.0","19955.0","2408.0","363.0","33950.0","45605.0","6427.0","946.0","7598.0","10758.0","1976.0","238.0"
"Graham County","37220","Arizona","3751.0","11120","530.0","647.0","185.0","171.0","8552.0","10061.0","1087.0","810.0","12504.0","14623.0","2282.0","1745.0","30264.0","35270.0","4374.0","2281.0","3221.0","3941.0","373.0","171.0"
"Greenlee County","8437","Arizona","35.0","3188","88.0","90.0","33.0","25.0","1451.0","1808.0","668.0","416.0","2392.0","2648.0","1167.0","786.0","5465.0","6555.0","2678.0","1617.0","943.0","991.0","518.0","308.0"
"La Paz County","20489","Arizona","388.0","9198","570.0","604.0","397.0","350.0","2490.0","3297.0","1241.0","852.0","8372.0","9733.0","5409.0","4078.0","16181.0","19008.0","10891.0","8351.0","6116.0","6544.0","5147.0","4165.0"
"Maricopa County","3817117","Arizona","53177.0","1411583","13735.0","47353.0","239.0","95.0","237450.0","662285.0","5524.0","1690.0","236820.0","757010.0","9410.0","2983.0","903299.0","2497632.0","25946.0","5508.0","123489.0","319028.0","2822.0","599.0"
"Mohave County","200186","Arizona","2629.0","82539","2710.0","3732.0","434.0","93.0","24298.0","35041.0","2621.0","557.0","52982.0","73413.0","9375.0","2463.0","129844.0","174904.0","20584.0","5198.0","32290.0","41456.0","5801.0","1796.0"
"Navajo County","107449","Arizona","2227.0","35658","2530.0","3027.0","1498.0","914.0","23511.0","28399.0","9931.0","5255.0","43223.0","50482.0","20933.0","10868.0","80003.0","95837.0","32705.0","16086.0","10750.0","12801.0","4321.0","1668.0"
"Pima County","980263","Arizona","22224.0","388660","5190.0","18261.0","696.0","213.0","82305.0","159554.0","6383.0","903.0","103921.0","244903.0","12857.0","2103.0","357216.0","692797.0","24470.0","2893.0","63976.0","111545.0","3064.0","286.0"
"Pinal County","375770","Arizona","26245.0","125590","2994.0","4657.0","354.0","68.0","62094.0","86769.0","5320.0","622.0","80775.0","112950.0","8401.0","1088.0","248068.0","331923.0","20273.0","2349.0","34874.0","46443.0","3281.0","409.0"
"Santa Cruz County","47420","Arizona","384.0","15437","259.0","583.0","24.0","0.0","8835.0","12517.0","568.0","156.0","13740.0","21114.0","1160.0","231.0","28587.0","40169.0","3356.0","1106.0","3464.0","4989.0","903.0","338.0"
"Yavapai County","211033","Arizona","3525.0","90903","1782.0","2747.0","192.0","11.0","27351.0","35945.0","2930.0","296.0","48356.0","63476.0","7271.0","1064.0","142482.0","185552.0","16796.0","2138.0","34652.0","44351.0","4200.0","563.0"
"Yuma County","195751","Arizona","5921.0","64767","1135.0","2280.0","30.0","16.0","17910.0","37855.0","912.0","309.0","30612.0","60387.0","1168.0","496.0","71728.0","135747.0","3059.0","1091.0","14021.0","22590.0","360.0","143.0"
"Arkansas County","19019","Arkansas","247.0","8005","554.0","715.0","19.0","0.0","2770.0","3928.0","362.0","0.0","5478.0","7410.0","726.0","0.0","12310.0","16974.0","1850.0","0.0","1957.0","2754.0","363.0","0.0"
"Ashley County","21853","Arkansas","191.0","8765","372.0","605.0","123.0","0.0","3125.0","4672.0","533.0","0.0","5507.0","8631.0","1095.0","0.0","13131.0","19156.0","2213.0","0.0","2039.0","3110.0","377.0","0.0"
"Baxter County","41513","Arkansas","595.0","18748","349.0","532.0","19.0","0.0","5060.0","6536.0","126.0","0.0","10955.0","13802.0","301.0","0.0","29210.0","37137.0","752.0","0.0","8234.0","10690.0","175.0","0.0"
"Benton County","221339","Arkansas","2061.0","82087","1036.0","1996.0","3.0","0.0","32973.0","52546.0","129.0","0.0","33653.0","54150.0","178.0","0.0","123288.0","189073.0","729.0","0.0","16764.0","23227.0","166.0","0.0"
