"data.date","data.owned or leased","data.parking spaces","data.status","data.type","location.congressional district","location.id","location.region id","data.disabilities.ADA Accessible","data.disabilities.ansi usable","data.history.status","data.history.type","location.address.city","location.address.county","location.address.line 1","location.address.line 2","location.address.state","location.address.zip"
"0","LEASED","2","ACTIVE","BUILDING","1","CT3444","1","Yes","4655","Evaluated - Not Historic","Field Not In Use","HARTFORD","HARTFORD","280 TRUMBULL ST"," ","CT","61033509"
"0","LEASED","38","ACTIVE","BUILDING","4","CT3446","1","Yes","16682","Not Evaluated","Field Not In Use","STAMFORD","FAIRFIELD","850 CANAL ST"," ","CT","69026943"
"0","LEASED","10","ACTIVE","BUILDING","2","CT3448","1","Yes","2237","Not Evaluated","None","GROTON","NEW LONDON","15 THAMES ST"," ","CT","63403629"
"0","LEASED","14","ACTIVE","BUILDING","2","CT3451","1","Yes","5375","Not Evaluated","Field Not In Use","NORWICH","NEW LONDON","55 MAIN ST"," ","CT","63605703"
"0","LEASED","5","ACTIVE","BUILDING","4","CT3452","1","Yes","850","Not Evaluated","Field Not In Use","NORWALK","FAIRFIELD","111 EAST AVE"," ","CT","68515014"
"0","LEASED","0","ACTIVE","BUILDING","1","CT3453","1","Yes","6322","Not Evaluated","None","WINDSOR LOCKS","HARTFORD","Bradley Field","Terminal A Ground Floor","CT","6096"
"1-Jan-18","OWNED","3","ACTIVE","BUILDING","8","MA0011","1","Yes","92762","Evaluated - Not Historic","Field Not In Use","BOSTON","SUFFOLK","408 ATLANTIC AV"," ","MA","21103349"
"1-Jan-33","OWNED","32","ACTIVE","BUILDING","8","MA0013","1","Will Conform","401504","National Register Listed","Field Not In Use","BOSTON","SUFFOLK","5 POST OFFICE SQUARE"," ","MA","21093901"
"1-Sep-98","OWNED","69","ACTIVE","BUILDING","8","MA0050","1","Will Conform","562620","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","1 COURTHOUSE WAY","BOSTON","MA","22103002"
"1-Aug-08","OWNED","86","ACTIVE","BUILDING","1","MA0051","1","Will Conform","80248","Not Evaluated","Field Not In Use","SPRINGFIELD","HAMPDEN","300 STATE ST"," ","MA","11051686"
"01-Jan-1836","OWNED","6","ACTIVE","BUILDING","9","MA0076","1","Will Conform","3654","National Historic Landmark","Field Not In Use","NEW BEDFORD","BRISTOL","37 NORTH SECOND STREET"," ","MA","27406329"
"1-Jan-32","OWNED","4","ACTIVE","BUILDING","2","MA0113","1","Will Conform","62795","National Register Listed","Field Not In Use","WORCESTER","WORCESTER","595 MAIN ST"," ","MA","16082093"
"1-Jan-73","OWNED","201","ACTIVE","BUILDING","3","MA0129","1","Will Conform","58847","Not Evaluated","Field Not In Use","FITCHBURG","WORCESTER","881 MAIN STREET"," ","MA","14203007"
"1-Jan-66","OWNED","257","ACTIVE","BUILDING","8","MA0131","1","Yes","620063","National Register Eligible","Field Not In Use","BOSTON","SUFFOLK","15 NEW SUDBURY STREET"," ","MA","22030002"
"1-Jan-69","OWNED","50","ACTIVE","BUILDING","4","MA0135","1","Will Conform","6984","Not Evaluated","Field Not In Use","FALL RIVER","BRISTOL","400 NORTH MAIN STREET"," ","MA","27202131"
"1-Jan-66","OWNED","0","ACTIVE","BUILDING","5","MA0136","1","Yes","129115","Not Evaluated","Field Not In Use","WALTHAM","MIDDLESEX","380 TRAPELO RD","FED CTR","MA","24526322"
"1-Jan-66","OWNED","1688","ACTIVE","BUILDING","3","MA0137","1","Will Conform","323741","Not Evaluated","Field Not In Use","ANDOVER","ESSEX","1 LOWELL ST"," ","MA","18102927"
"1-Jan-73","OWNED","20","ACTIVE","BUILDING","3","MA0138","1","Yes","5080","Not Evaluated","Field Not In Use","HAVERHILL","ESSEX","MAIN & FOUNTAIN STREETS"," ","MA","18304053"
"30-Jun-86","OWNED","267","ACTIVE","BUILDING","8","MA0153","1","Yes","521935","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","10 CAUSEWAY ST"," ","MA","22221048"
"1-Jan-74","OWNED","51","ACTIVE","BUILDING","9","MA0158","1","Will Conform","24031","Not Evaluated","Field Not In Use","NEW BEDFORD","BRISTOL","53 NORTH SIXTH STREET"," ","MA","27406110"
"1-Jan-77","OWNED","62","ACTIVE","BUILDING","1","MA0180","1","Will Conform","17833","Not Evaluated","Field Not In Use","PITTSFIELD","BERKSHIRE","78 CENTER ST"," ","MA","12016171"
"1-Jan-46","OWNED","0","ACTIVE","BUILDING","5","MA0801","1","Will Conform","0","Not Evaluated","Field Not In Use","WALTHAM","MIDDLESEX","424 TRAPELO RD"," ","MA","24526322"
"0","LEASED","0","ACTIVE","BUILDING","7","MA5386","1","Will Conform","2624","Not Evaluated","Field Not In Use","EVERETT","MIDDLESEX","34 MARKET ST"," ","MA","21495806"
"0","LEASED","30","ACTIVE","BUILDING","6","MA5431","1","Will Conform","9857","Not Evaluated","Field Not In Use","LYNN","ESSEX","140 UNION ST"," ","MA","19011336"
"0","LEASED","400","ACTIVE","BUILDING","6","MA5466","1","Will Conform","81056","Not Evaluated","Field Not In Use","BURLINGTON","MIDDLESEX","12 New England Executive Park"," ","MA","18035213"
"0","LEASED","1","ACTIVE","BUILDING","9","MA5490","1","Will Conform","7910","Not Evaluated","Field Not In Use","HANOVER","PLYMOUTH","198 COLUMBIA ROAD"," ","MA","23392322"
"0","LEASED","21","ACTIVE","BUILDING","2","MA5612","1","Will Conform","2664","Not Evaluated","Field Not In Use","AMHERST","HAMPSHIRE","463 WEST ST"," ","MA","10022946"
"0","LEASED","242","ACTIVE","BUILDING","5","MA5632","1","Will Conform","66160","Not Evaluated","Field Not In Use","STONEHAM","MIDDLESEX","ONE MONTVALE AVENUE"," ","MA","21803559"
"0","LEASED","4","ACTIVE","BUILDING","5","MA5633","1","Will Conform","7063","Not Evaluated","Field Not In Use","FRAMINGHAM","MIDDLESEX","100 CONCORD ST"," ","MA","17028328"
"0","LEASED","10","ACTIVE","BUILDING","9","MA5645","1","Will Conform","16339","Not Evaluated","Field Not In Use","FALMOUTH","BARNSTABLE","11 WOODS HOLE ROAD"," ","MA","25409998"
"0","LEASED","0","ACTIVE","BUILDING","9","MA5646","1","Yes","900","Not Evaluated","Field Not In Use","HYANNIS","BARNSTABLE","270 COMMUNICATION WAY"," ","MA","26011883"
"0","LEASED","6","ACTIVE","BUILDING","8","MA5649","1","Will Conform","4358","Not Evaluated","Field Not In Use","BRAINTREE","NORFOLK","639 GRANITE STREET"," ","MA","21845366"
"1-Oct-10","LEASED","0","ACTIVE","BUILDING","3","MA5650","1","Yes","6481","Not Evaluated","Field Not In Use","METHUEN","ESSEX","13 BRANCH STREET"," ","MA","18441900"
"0","LEASED","352","ACTIVE","STRUCTURE","8","MA5654","1","Yes","0","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","1 CONGRESS ST"," ","MA","21142010"
"0","LEASED","0","ACTIVE","BUILDING","9","MA5655","1","Will Conform","1145","Not Evaluated","Field Not In Use","FAIRHAVEN","BRISTOL","147 WASHINGTON ST","Unit #B","MA","27194013"
"0","LEASED","0","ACTIVE","BUILDING","8","MA5663","1","Yes","32879","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","15 NEW CHARDON ST"," ","MA","21144711"
"0","LEASED","23","ACTIVE","BUILDING","7","MA5671","1","Yes","9242","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","10 MALCOLM X BOULEVARD","AKA 80 DUDLEY STREET","MA","21191775"
"0","LEASED","0","ACTIVE","BUILDING","9","MA5672","1","Yes","1248","Not Evaluated","Field Not In Use","HYANNIS","BARNSTABLE","973 IYANNOUGH ROAD"," ","MA","26011869"
"0","LEASED","43","ACTIVE","BUILDING","9","MA5673","1","Yes","4600","Not Evaluated","Field Not In Use","HYANNIS","BARNSTABLE","20 INDUSTRIAL BOULEVARD"," ","MA","26013112"
"0","LEASED","26","ACTIVE","BUILDING","9","MA5675","1","Yes","13202","Not Evaluated","Field Not In Use","NEW BEDFORD","BRISTOL","850 PLEASANT STREET"," ","MA","27406664"
"0","LEASED","25","ACTIVE","BUILDING","9","MA5676","1","Yes","6000","Not Evaluated","Field Not In Use","HYANNIS","BARNSTABLE","259B NORTH STREET"," ","MA","26013834"
"0","LEASED","0","ACTIVE","BUILDING","1","MA5678","1","Yes","742","Not Evaluated","Field Not In Use","SPRINGFIELD","HAMPDEN","BUILDING 101","ONE FEDERAL STREET","MA","11051199"
"0","LEASED","175","ACTIVE","BUILDING","3","MA5679","1","Yes","22500","Not Evaluated","Field Not In Use","LOWELL","MIDDLESEX","900 CHELMSFORD ST","TOWER 1","MA","18518100"
"0","LEASED","30","ACTIVE","BUILDING","2","MA5681","1","Yes","15215","Not Evaluated","Field Not In Use","WORCESTER","WORCESTER","446 MAIN ST"," ","MA","16082359"
"0","LEASED","39","ACTIVE","BUILDING","8","MA5682","1","Yes","6841","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","88 BLACK FALCON AVE"," ","MA","22102425"
"0","LEASED","5","ACTIVE","BUILDING","7","MA5683","1","Yes","2125","Not Evaluated","Field Not In Use","CHELSEA","SUFFOLK","70 EVERETT AVE"," ","MA","21502376"
"0","LEASED","285","ACTIVE","BUILDING","2","MA5771","1","Will Conform","62800","Not Evaluated","Field Not In Use","HADLEY","HAMPSHIRE","300 WESTGATE CENTER DRI"," ","MA","10359587"
"0","LEASED","16","ACTIVE","BUILDING","2","MA5775","1","Will Conform","2870","Not Evaluated","Field Not In Use","SUTTON","WORCESTER","156 WORC. PROV. TPK."," ","MA","15902984"
"0","LEASED","130","ACTIVE","BUILDING","8","MA5780","1","Yes","98878","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","1 CENTER PLAZA"," ","MA","21081887"
"0","LEASED","27","ACTIVE","BUILDING","2","MA5785","1","Will Conform","23366","Not Evaluated","Field Not In Use","WORCESTER","WORCESTER","120 FRONT ST"," ","MA","16081413"
"0","LEASED","0","ACTIVE","BUILDING","7","MA5786","1","Yes","3120","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","99 SUMMER STREET"," ","MA","21101213"
"0","LEASED","116","ACTIVE","BUILDING","3","MA5790","1","Will Conform","24123","Not Evaluated","Field Not In Use","LAWRENCE","ESSEX","439 S UNION ST"," ","MA","18432810"
"0","LEASED","52","ACTIVE","BUILDING","1","MA5793","1","Will Conform","31897","Not Evaluated","Field Not In Use","SPRINGFIELD","HAMPDEN","1441 MAIN ST","10TH FLOOR","MA","11031406"
"0","LEASED","0","ACTIVE","BUILDING","1","MA5794","1","Will Conform","133443","Not Evaluated","Field Not In Use","PITTSFIELD","BERKSHIRE","CONTE DR"," ","MA","12018298"
"0","LEASED","16","ACTIVE","BUILDING","2","MA5809","1","Will Conform","19996","Not Evaluated","Field Not In Use","WORCESTER","WORCESTER","90 MADISON ST"," ","MA","16082058"
"0","LEASED","362","ACTIVE","BUILDING","3","MA5813","1","Yes","39586","Not Evaluated","Field Not In Use","LOWELL","MIDDLESEX","900 CHELMSFORD ST"," ","MA","18518100"
"0","LEASED","26","ACTIVE","BUILDING","5","MA5817","1","Will Conform","5775","Not Evaluated","Field Not In Use","LEXINGTON","MIDDLESEX","110 HARTWELL AVE"," ","MA","24213118"
"0","LEASED","4","ACTIVE","BUILDING","8","MA5819","1","No","2600","Not Evaluated","Field Not In Use","QUINCY","NORFOLK","1 BATTERY MARCH PARK"," ","MA","21697448"
"0","LEASED","10","ACTIVE","BUILDING","3","MA5822","1","Will Conform","3310","Not Evaluated","Field Not In Use","LAWRENCE","ESSEX","499 ESSEX STREET"," ","MA","18401269"
"1-Apr-09","LEASED","39","ACTIVE","BUILDING","4","MA5826","1","Will Conform","11086","Not Evaluated","Field Not In Use","TAUNTON","BRISTOL","104 DEAN STREET"," ","MA","27802714"
"0","LEASED","2","ACTIVE","BUILDING","3","MA5828","1","Will Conform","1006","Not Evaluated","Field Not In Use","LOWELL","MIDDLESEX","10 GEORGE STREET"," ","MA","18522293"
"0","LEASED","14","ACTIVE","BUILDING","1","MA5829","1","Yes","11262","Not Evaluated","Field Not In Use","SPRINGFIELD","HAMPDEN","1441 MAIN ST"," ","MA","11031406"
"0","LEASED","8","ACTIVE","BUILDING","3","MA5831","1","Yes","3900","Not Evaluated","Field Not In Use","LOWELL","MIDDLESEX","325 CHELMSFORD ST"," ","MA","18514429"
"0","LEASED","80","ACTIVE","BUILDING","3","MA5832","1","Yes","23401","Not Evaluated","Field Not In Use","LOWELL","MIDDLESEX","59 LOWE'S WAY"," ","MA","18515019"
"0","LEASED","387","ACTIVE","BUILDING","3","MA5834","1","Yes","97256","Not Evaluated","Field Not In Use","CONCORD","MIDDLESEX","696 VIRGINIA RD","CONCORD,MA 01742","MA","17422718"
"0","LEASED","0","ACTIVE","BUILDING","5","MA5835","1","Yes","2155","Not Evaluated","Field Not In Use","WALTHAM","MIDDLESEX","411 WAVERLEY OAKS RD"," ","MA","24528405"
"1-Aug-85","LEASED","37","ACTIVE","BUILDING","8","MA5837","1","Yes","10883","Not Evaluated","Field Not In Use","QUINCY","NORFOLK","1250 HANCOCK ST"," ","MA","21694339"
"0","LEASED","89","ACTIVE","BUILDING","2","MA5842","1","Yes","20874","Not Evaluated","Field Not In Use","NORTHBOROUGH","WORCESTER","10 BEARFOOT ROAD"," ","MA","15321994"
"1-Jan-10","LEASED","17","ACTIVE","BUILDING","7","MA5844","1","Yes","7302","Evaluated - Not Historic","Field Not In Use","BRIGHTON","SUFFOLK","221 N BEACON ST"," ","MA","21351943"
"1-Jan-99","LEASED","1","ACTIVE","BUILDING","4","MA5845","1","Yes","7285","Not Evaluated","Field Not In Use","ATTLEBORO","BRISTOL","106 PLEASANT STREET"," ","MA","27032359"
"0","LEASED","95","ACTIVE","BUILDING","6","MA5847","1","Yes","49950","Not Evaluated","Field Not In Use","WILMINGTON","MIDDLESEX","1 PROGRESS WAY"," ","MA","18874611"
"0","LEASED","140","ACTIVE","BUILDING","3","MA5851","1","Yes","49262","Not Evaluated","Field Not In Use","CHELMSFORD","MIDDLESEX","DRUM HILL TECH PARK"," ","MA","18241517"
"0","LEASED","4","ACTIVE","BUILDING","6","MA5861","1","Yes","1041","Not Evaluated","Field Not In Use","BEVERLY","ESSEX","101 CUMMINGS CTR","SUITE 422A","MA","19156115"
"1-Oct-85","LEASED","0","ACTIVE","BUILDING","5","MA5863","1","Yes","9190","Not Evaluated","Field Not In Use","SOUTHBOROUGH","WORCESTER","SOUTHBOROUGH OFFICE PARK","118 TURNPIKE ROAD","MA","17721661"
"1-Dec-99","LEASED","23","ACTIVE","BUILDING","3","MA5866","1","Yes","11128","Not Evaluated","Field Not In Use","LOWELL","MIDDLESEX","151 WARREN STREET"," ","MA","18522647"
"0","LEASED","1","ACTIVE","BUILDING","1","MA5867","1","Yes","16950","Not Evaluated","Field Not In Use","HOLYOKE","HAMPDEN","210 HIGH ST","2ND FLOOR","MA","10406507"
"1-Aug-09","LEASED","4","ACTIVE","BUILDING","7","MA5868","1","Yes","20385","Not Evaluated","Field Not In Use","CHELSEA","SUFFOLK","160-180 Second Street"," ","MA","21501803"
"25-May-01","LEASED","1","ACTIVE","BUILDING","9","MA5869","1","Yes","4200","Not Evaluated","Field Not In Use","EAST FALMOUTH","BARNSTABLE","48 RESEARCH RD","FALMOUTH TECH. PARK","MA","25364440"
"0","LEASED","4","ACTIVE","BUILDING","9","MA5871","1","Yes","1112","Not Evaluated","Field Not In Use","HYANNIS","BARNSTABLE","480 BARNSTABLE RD"," ","MA","26012900"
"5-May-08","LEASED","1","ACTIVE","BUILDING","9","MA5874","1","Yes","530","Not Evaluated","Field Not In Use","NANTUCKET","NANTUCKET","14 AIRPORT ROAD"," ","MA","25542894"
"0","LEASED","0","ACTIVE","BUILDING","8","MA5876","1","Yes","5592","Not Evaluated","Field Not In Use","NORWOOD","NORFOLK","1 EDGEWATER DRIVE"," ","MA","20624674"
"0","LEASED","0","ACTIVE","BUILDING","9","MA5877","1","Yes","0","Not Evaluated","Field Not In Use","PROVINCETOWN","BARNSTABLE","RACE POINT ROAD","P.O. BOX 657","MA","26570657"
"0","LEASED","8","ACTIVE","BUILDING","8","MA5881","1","Yes","63253","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","99 HIGH ST"," ","MA","21102320"
"0","LEASED","6","ACTIVE","BUILDING","6","MA5883","1","Yes","2464","Not Evaluated","Field Not In Use","NORTH ANDOVER","ESSEX","97 COMMERCE WAY","NORTH EAST JET CENTER","MA","18451049"
"0","LEASED","85","ACTIVE","BUILDING","1","MA5890","1","Will Conform","19000","Not Evaluated","Field Not In Use","SPRINGFIELD","HAMPDEN","70 BOND STREET"," ","MA","11043402"
"0","LEASED","6","ACTIVE","BUILDING","8","MA5891","1","Yes","1718","Not Evaluated","Field Not In Use","WESTWOOD","NORFOLK","364 UNIVERSITY AVE"," ","MA","20902311"
"0","LEASED","35","ACTIVE","BUILDING","7","MA5893","1","Yes","7196","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","115-117 FREEPORT STREET"," ","MA","21222829"
"0","LEASED","0","ACTIVE","BUILDING","8","MA5895","1","Yes","8800","Not Evaluated","Field Not In Use","BOSTON","SUFFOLK","2 CENTER PLAZA"," ","MA","21081909"
"0","LEASED","0","ACTIVE","BUILDING","5","MA5897","1","Yes","4500","Not Evaluated","Field Not In Use","WOBURN","MIDDLESEX","222 WEST CUMMINGS PARK"," ","MA","18016346"
