Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
MA5650,1,13 Branch St, ,METHUEN,ESSEX COUNTY,MA,18441900,3,ACTIVE,BUILDING,6481,26,LEASED,1.Oct.10,Field Not In Use,Not Evaluated,Yes
MA5654,1,1 CONGRESS ST, ,BOSTON,SUFFOLK COUNTY,MA,21142010,8,ACTIVE,STRUCTURE,0,243,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5663,1,15 NEW CHARDON ST, ,BOSTON,SUFFOLK COUNTY,MA,21144711,8,ACTIVE,BUILDING,32879,2,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5671,1,10 Malcolm X Blvd,AKA 80 DUDLEY STREET,BOSTON,SUFFOLK COUNTY,MA,21191775,7,ACTIVE,BUILDING,9242,23,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5673,1,20 Industrial Blvd, ,HYANNIS,BARNSTABLE COUNTY,MA,26013112,9,ACTIVE,BUILDING,4600,43,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5675,1,850 Pleasant St, ,NEW BEDFORD,BRISTOL COUNTY,MA,27406664,9,ACTIVE,BUILDING,13202,26,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5678,1,1 Federal St,Building 101,SPRINGFIELD,HAMPDEN COUNTY,MA,11051263,1,ACTIVE,BUILDING,742,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5681,1,446 MAIN ST, ,WORCESTER,WORCESTER COUNTY,MA,16082359,2,ACTIVE,BUILDING,15103,26,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5682,1,88 BLACK FALCON AVE, ,BOSTON,SUFFOLK COUNTY,MA,22102425,8,ACTIVE,BUILDING,6841,30,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5683,1,70 EVERETT AVE, ,CHELSEA,SUFFOLK COUNTY,MA,21502376,7,ACTIVE,BUILDING,2125,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5771,1,300 Westgate Center Dr, ,HADLEY,HAMPSHIRE COUNTY,MA,10359587,2,ACTIVE,BUILDING,62800,285,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5785,1,120 FRONT ST, ,WORCESTER,WORCESTER COUNTY,MA,16081413,2,ACTIVE,BUILDING,24605,30,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5790,1,439 S UNION ST, ,LAWRENCE,ESSEX COUNTY,MA,18432810,3,ACTIVE,BUILDING,25273,819,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5793,1,1441 MAIN ST,10TH FLOOR,SPRINGFIELD,HAMPDEN COUNTY,MA,11031406,1,ACTIVE,BUILDING,30919,53,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5794,1,CONTE DR, ,PITTSFIELD,BERKSHIRE COUNTY,MA,12018298,1,ACTIVE,BUILDING,133443,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5809,1,90 MADISON ST, ,WORCESTER,WORCESTER COUNTY,MA,16082058,2,ACTIVE,BUILDING,16500,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5813,1,900 CHELMSFORD ST, ,LOWELL,MIDDLESEX COUNTY,MA,18518100,3,ACTIVE,BUILDING,30844,119,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5819,1,1 Batterymarch Park, ,QUINCY,NORFOLK COUNTY,MA,21697468,8,ACTIVE,BUILDING,582,2,LEASED,0,Field Not In Use,Not Evaluated,No
MA5826,1,104 Dean St, ,TAUNTON,BRISTOL COUNTY,MA,27802714,4,ACTIVE,BUILDING,11086,73,LEASED,1.Apr.09,Field Not In Use,Not Evaluated,Will Conform
MA5829,1,1441 MAIN ST, ,SPRINGFIELD,HAMPDEN COUNTY,MA,11031406,1,ACTIVE,BUILDING,14162,29,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5831,1,325 CHELMSFORD ST, ,LOWELL,MIDDLESEX COUNTY,MA,18514429,3,ACTIVE,BUILDING,3900,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5832,1,59 Lowes Way, ,LOWELL,MIDDLESEX COUNTY,MA,18515018,3,ACTIVE,BUILDING,25616,60,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5834,1,696 VIRGINIA RD,"CONCORD,MA 01742",CONCORD,MIDDLESEX COUNTY,MA,17422718,3,ACTIVE,BUILDING,97256,387,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5835,1,411 WAVERLEY OAKS RD, ,WALTHAM,MIDDLESEX COUNTY,MA,24528405,5,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5837,1,1250 HANCOCK ST, ,QUINCY,NORFOLK COUNTY,MA,21694339,8,ACTIVE,BUILDING,2500,3,LEASED,1.Aug.85,Field Not In Use,Not Evaluated,Yes
MA5842,1,10 Bearfoot Rd, ,NORTHBOROUGH,WORCESTER COUNTY,MA,15321994,2,ACTIVE,BUILDING,20394,23,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5845,1,106 Pleasant St, ,ATTLEBORO,BRISTOL COUNTY,MA,27032359,4,ACTIVE,BUILDING,7285,1,LEASED,1.Jan.99,Field Not In Use,Not Evaluated,Yes
MA5847,1,1 PROGRESS WAY, ,WILMINGTON,MIDDLESEX COUNTY,MA,18874611,6,ACTIVE,BUILDING,49950,95,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5851,1,11 Technology Dr, ,NORTH CHELMSFORD,MIDDLESEX COUNTY,MA,1863,3,ACTIVE,BUILDING,49262,140,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5861,1,101 CUMMINGS CTR,SUITE 422A,BEVERLY,ESSEX COUNTY,MA,19156115,6,ACTIVE,BUILDING,1016,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5863,1,Park St,118 TURNPIKE ROAD,SOUTHBOROUGH,WORCESTER COUNTY,MA,17721660,5,ACTIVE,BUILDING,9190,0,LEASED,1.Oct.85,Field Not In Use,Not Evaluated,Yes
MA5866,1,151 WARREN STREET, ,LOWELL,MIDDLESEX COUNTY,MA,18522647,3,ACTIVE,BUILDING,11128,23,LEASED,1.Dec.99,Field Not In Use,Not Evaluated,Yes
MA5867,1,210 HIGH ST,2ND FLOOR,HOLYOKE,HAMPDEN COUNTY,MA,10406507,1,ACTIVE,BUILDING,10450,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5868,1,180 2nd St, ,CHELSEA,SUFFOLK COUNTY,MA,21501806,7,ACTIVE,BUILDING,20385,10,LEASED,1.Aug.09,Field Not In Use,Not Evaluated,Yes
MA5869,1,48 RESEARCH RD,FALMOUTH TECH. PARK,EAST FALMOUTH,BARNSTABLE COUNTY,MA,25364440,9,ACTIVE,BUILDING,4200,1,LEASED,25.May.01,Field Not In Use,Not Evaluated,Yes
MA5871,1,480 BARNSTABLE RD, ,HYANNIS,BARNSTABLE COUNTY,MA,26012900,9,ACTIVE,BUILDING,1112,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5874,1,14 AIRPORT ROAD, ,NANTUCKET,NANTUCKET COUNTY,MA,25542894,9,ACTIVE,BUILDING,530,1,LEASED,5.May.08,Field Not In Use,Not Evaluated,Yes
MA5876,1,1 Edgewater Dr, ,NORWOOD,NORFOLK COUNTY,MA,20624691,8,ACTIVE,BUILDING,5422,18,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5881,1,99 HIGH ST, ,BOSTON,SUFFOLK COUNTY,MA,21102320,8,ACTIVE,BUILDING,41005,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5883,1,97 COMMERCE WAY,NORTH EAST JET CENTER,NORTH ANDOVER,ESSEX COUNTY,MA,18451049,6,ACTIVE,BUILDING,4528,3,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5890,1,70 Bond St, ,SPRINGFIELD,HAMPDEN COUNTY,MA,11043402,1,ACTIVE,BUILDING,19000,76,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5891,1,364 UNIVERSITY AVE, ,WESTWOOD,NORFOLK COUNTY,MA,20902311,8,ACTIVE,BUILDING,1718,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5893,1,115-117 FREEPORT STREET, ,BOSTON,SUFFOLK COUNTY,MA,21222829,7,ACTIVE,BUILDING,7196,35,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5897,1,222 W Cummings Park, ,WOBURN,MIDDLESEX COUNTY,MA,18016346,5,ACTIVE,BUILDING,4237,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5900,1,10 NEW ENGLAND EXECUTIVE PARK, ,BURLINGTON,MIDDLESEX COUNTY,MA,18305214,6,ACTIVE,BUILDING,38386,126,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5905,1,45-47 SPRUCE STREET, ,CHELSEA,SUFFOLK COUNTY,MA,21502345,7,ACTIVE,BUILDING,3740,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5907,1,2 Debush Ave,BUILDING B UNITS 7 & 8,MIDDLETON,ESSEX COUNTY,MA,19491602,6,ACTIVE,BUILDING,8000,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5908,1,CHRISTY DRIVE, ,BROCKTON,PLYMOUTH COUNTY,MA,23011843,8,ACTIVE,BUILDING,12500,63,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5912,1,71 Airport Rd, ,VINEYARD HAVEN,DUKES COUNTY,MA,25688144,9,ACTIVE,BUILDING,221,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5915,1,1 CLARKS HL, ,FRAMINGHAM,MIDDLESEX COUNTY,MA,17028172,5,ACTIVE,BUILDING,8639,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5917,1,30 RIVERSIDE DR, ,LAKEVILLE,PLYMOUTH COUNTY,MA,23473629,4,ACTIVE,BUILDING,7151,9,LEASED,5.May.08,Field Not In Use,Not Evaluated,Yes
MA5924,1,201 Maple St, ,CHELSEA,SUFFOLK COUNTY,MA,2150,7,ACTIVE,BUILDING,200600,400,LEASED,14.Oct.16,Field Not In Use,Not Evaluated,Yes
MA5930,1,401 Edgewater Pl, ,WAKEFIELD,MIDDLESEX COUNTY,MA,18806241,6,ACTIVE,BUILDING,6686,14,LEASED,1.Nov.08,Field Not In Use,Not Evaluated,Yes
MA5932,1,9 MAIN ST, ,SUTTON,WORCESTER COUNTY,MA,15901660,2,ACTIVE,BUILDING,1097,7,LEASED,2.Nov.07,Field Not In Use,Not Evaluated,Yes
